obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""44.7473""","=""0.0005""","=""44.74717+""","=""15""","=""""",,"=""0.00000""","=""27.70772""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.6s""","=""2S""","=""1/2""",2,2,,"=""""","=""L6985""",
"=""48.1054""","=""0.0005""","=""48.1050+""","=""40""","=""""",,"=""1.93403""","=""27.70772""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.6s""","=""2S""","=""1/2""",4,2,,"=""""","=""L6985""",
"=""49.497""","=""0.002""","=""49.4976+""","=""5""","=""""",,"=""16.02247""","=""41.07101""","=""5s.5p2""","=""2D""","=""5/2""","=""5s2.5f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L7258""",
"=""52.1408""","=""0.0005""","=""52.1408+""","=""72""","=""""",,"=""15.48189""","=""39.26064""","=""5s.5p2""","=""2D""","=""3/2""","=""5s.5p.5d""","=""316658*""","=""5/2""",4,6,,"=""""","=""L11820""",
"=""53.5651""","=""0.0005""","=""53.565+""","=""55""","=""""",,"=""12.4453""","=""35.59188""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.5d""","=""287068*""","=""1/2""",4,2,,"=""""","=""L11820""",
"=""53.7612""","=""0.0005""","=""53.7609+""","=""80""","=""""",,"=""16.02247""","=""39.08461""","=""5s.5p2""","=""2D""","=""5/2""","=""5s.5p.5d""","=""315239*""","=""7/2""",6,8,,"=""""","=""L11820""",
"=""54.3510""","=""0.0005""","=""54.351+""","=""15""","=""""",,"=""12.4453""","=""35.25689""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.5d""","=""284366*""","=""5/2""",4,6,,"=""""","=""L11820""",
"=""54.5236""","=""0.0005""","=""54.524+""","=""80""","=""""",,"=""11.4792""","=""34.21877""","=""5s.5p2""","=""4P""","=""1/2""","=""5s.5p.5d""","=""275993*""","=""1/2""",2,2,,"=""""","=""L11820""",
"=""54.7399""","=""0.0005""","=""54.740+""","=""90""","=""""",,"=""11.4792""","=""34.12889""","=""5s.5p2""","=""4P""","=""1/2""","=""5s.5p.5d""","=""275268*""","=""3/2""",2,4,,"=""""","=""L11820""",
"=""54.9219""","=""0.0005""","=""54.9218+""","=""36""","=""""",,"=""17.58557""","=""40.16027""","=""5s.5p2""","=""2P""","=""1/2""","=""5s.5p.5d""","=""323914*""","=""1/2""",2,2,,"=""""","=""L11820""",
"=""55.4785""","=""0.0005""","=""55.4786+""","=""100""","=""""",,"=""0.00000""","=""22.34810""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.5d""","=""2D""","=""3/2""",2,4,,"=""""","=""L6985""",
"=""55.8248""","=""0.0005""","=""55.824+""","=""20""","=""""",,"=""13.2917""","=""35.50139""","=""5s.5p2""","=""4P""","=""5/2""","=""5s.5p.5d""","=""286338*""","=""5/2""",6,6,,"=""""","=""L11820""",
"=""56.1705""","=""0.0005""","=""56.171+""","=""78""","=""""",,"=""13.2917""","=""35.36455""","=""5s.5p2""","=""4P""","=""5/2""","=""5s.5p.5d""","=""285234*""","=""7/2""",6,8,,"=""""","=""L11820""",
"=""56.4466""","=""0.0005""","=""56.446+""","=""27""","=""""",,"=""13.2917""","=""35.25689""","=""5s.5p2""","=""4P""","=""5/2""","=""5s.5p.5d""","=""284366*""","=""5/2""",6,6,,"=""""","=""L11820""",
"=""57.423""","=""0.002""","=""57.421+""","=""5""","=""""",,"=""11.4792""","=""33.07133""","=""5s.5p2""","=""4P""","=""1/2""","=""5p3""","=""266738*""","=""3/2""",2,4,,"=""""","=""L7258""",
"=""57.7252""","=""0.0005""","=""57.725+""","=""50""","=""""",,"=""12.4453""","=""33.92381""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.5d""","=""273614*""","=""5/2""",4,6,,"=""""","=""L11820""",
"=""58.4761""","=""0.0005""","=""58.4758+""","=""65""","=""""",,"=""16.02247""","=""37.22513""","=""5s.5p2""","=""2D""","=""5/2""","=""5s.5p.5d""","=""300241*""","=""7/2""",6,8,,"=""""","=""L11820""",
"=""59.334""","=""0.002""","=""59.329+""","=""5""","=""""",,"=""11.4792""","=""32.37685""","=""5s.5p2""","=""4P""","=""1/2""","=""5p3""","=""261137*""","=""1/2""",2,2,,"=""""","=""L7258""",
"=""59.4246""","=""0.0005""","=""59.4243+""","=""12""","=""""",,"=""19.58896""","=""40.45319""","=""5s.5p2""","=""2S""","=""1/2""","=""5s.5p.5d""","=""326277*""","=""3/2""",2,4,,"=""""","=""L11820""",
