obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""5.813""","=""5.813322512""","=""0.000000003""","=""""","=""3.1668e+09""",AA,"=""0.00000000""","=""(213.275967718)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
"=""5.813""","=""5.813329901""","=""0.000000003""","=""""","=""3.1659e+09""",AA,"=""0.00000000""","=""(213.275696607)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
"=""5.857""","=""5.857383101""","=""0.000000003""","=""""","=""5.0539e+09""",AA,"=""0.00000000""","=""(211.671656610)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
"=""5.857""","=""5.857395014""","=""0.000000003""","=""""","=""5.0525e+09""",AA,"=""0.00000000""","=""(211.671226089)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
"=""5.932""","=""5.931947431""","=""0.000000003""","=""""","=""8.8061e+09""",AA,"=""0.00000000""","=""(209.0109527844)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
"=""5.932""","=""5.931968545""","=""0.000000003""","=""""","=""8.8041e+09""",AA,"=""0.00000000""","=""(209.010208832)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
"=""6.074""","=""6.074297580""","=""0.000000003""","=""""","=""1.7468e+10""",AA,"=""0.00000000""","=""(204.112816024)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
"=""6.074""","=""6.074340822""","=""0.000000003""","=""""","=""1.7465e+10""",AA,"=""0.00000000""","=""(204.111362964)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
"=""6.406""","=""6.406444130""","=""0.000000003""","=""""","=""4.2845e+10""",AA,"=""0.00000000""","=""(193.530445162)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
"=""6.406""","=""6.406558150""","=""0.000000003""","=""""","=""4.2844e+10""",AA,"=""0.00000000""","=""(193.527000810)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
"=""7.593""","=""7.592593562""","=""0.000000007""","=""""","=""1.6047e+11""",AA,"=""0.00000000""","=""(163.296240501)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
"=""7.593""","=""7.593134095""","=""0.000000007""","=""""","=""1.6052e+11""",AA,"=""0.00000000""","=""(163.28461592)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
"=""""","=""25.62343110""","=""0.00000006""","=""""","=""1.0993e+09""",AA,"=""(163.28461592)""","=""(211.671655876)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""25.62364395""","=""0.00000006""","=""""","=""6.2803e+07""",AA,"=""(163.28461592)""","=""(211.671253934)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
