obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""645.3""","=""0.6""","=""""","=""1.90e+06""",A,"=""(1576.7981)""","=""(1578.7194)""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T5231c4,LS""","=""""",
"=""""","=""647.0""","=""0.6""","=""""","=""1.05e+06""",A,"=""(1576.7981)""","=""(1578.7145)""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""""","=""674.8""","=""0.6""","=""""","=""2.22e+06""",A,"=""(1576.9291)""","=""(1578.7666)""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",5,7,,"=""T5231c4,LS""","=""""",
"=""""","=""692.5""","=""0.6""","=""""","=""5.13e+05""",A,"=""(1576.9291)""","=""(1578.7194)""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",5,5,,"=""T5231c4,LS""","=""""",
"=""""","=""694.4""","=""0.6""","=""""","=""5.65e+04""",A,"=""(1576.9291)""","=""(1578.7145)""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",5,3,,"=""T5231c4,LS""","=""""",
"=""""","=""880.2""","=""1.6""","=""""","=""4.37e+06""",A,"=""(1656.6795)""","=""(1658.0881)""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T5231c4,LS""","=""""",
"=""""","=""916.1""","=""1.8""","=""""","=""3.88e+06""",A,"=""(1656.6795)""","=""(1658.0329)""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""""","=""925.8""","=""1.8""","=""""","=""3.76e+06""",A,"=""(1656.6795)""","=""(1658.0187)""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",3,1,,"=""T5231c4,LS""","=""""",
"=""""","=""1211""","=""3""","=""""","=""1.73e+06""",A,"=""(1658.0419)""","=""(1659.0660)""","=""1s.4s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5231c4""","=""""",
"=""""","=""1546""","=""5""","=""""","=""4.59e+05""",A,"=""(1658.0187)""","=""(1658.8208)""","=""1s.4p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",1,3,,"=""T5231c4,LS""","=""""",
"=""""","=""1568""","=""5""","=""""","=""5.92e+05""",A,"=""(1658.0329)""","=""(1658.8238)""","=""1s.4p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T5231c4,LS""","=""""",
"=""""","=""1574""","=""5""","=""""","=""3.28e+05""",A,"=""(1658.0329)""","=""(1658.8208)""","=""1s.4p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""""","=""1643""","=""6""","=""""","=""6.91e+05""",A,"=""(1658.0881)""","=""(1658.843)""","=""1s.4p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T5231c4,LS""","=""""",
"=""""","=""1685""","=""6""","=""""","=""1.59e+05""",A,"=""(1658.0881)""","=""(1658.8238)""","=""1s.4p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T5231c4,LS""","=""""",
"=""""","=""1692""","=""6""","=""""","=""1.76e+04""",A,"=""(1658.0881)""","=""(1658.8208)""","=""1s.4p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",5,3,,"=""T5231c4,LS""","=""""",
"=""""","=""1741""","=""6""","=""""","=""1.42e+06""",A,"=""(1694.8190)""","=""(1695.5312)""","=""1s.5s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T5231c4,LS""","=""""",
