obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""426.92098""","=""0.00020""","=""426.92062""","=""0.00011""","=""700""","=""""",,"=""18.38162323""","=""21.2857743""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L4498""",
"=""427.09240""","=""0.00020""","=""427.09238""","=""0.00020""","=""700""","=""""",,"=""18.38162323""","=""21.2846064""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",3,3,,"=""""","=""L4498""",
"=""427.14270""","=""0.00020""","=""427.14266""","=""0.00020""","=""500""","=""""",,"=""18.38162323""","=""21.2842647""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""",3,1,,"=""""","=""L4498""",
"=""427.58647""","=""0.00020""","=""427.58629""","=""0.00006""","=""500""","=""""",,"=""18.38162323""","=""21.2812531""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",3,3,,"=""""","=""L4498""",
"=""427.6370""","=""0.0020""","=""427.63610""","=""0.00003""","=""10""","=""""",,"=""18.38162323""","=""21.28091538""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",3,5,,"=""""","=""L3469""",
"=""427.67622""","=""0.00020""","=""427.67604""","=""0.00003""","=""700""","=""""",,"=""18.38162323""","=""21.28064461""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L4498""",
"=""428.0054""","=""0.0020""","=""428.0043""","=""0.0016""","=""50""","=""""",,"=""18.55510805""","=""21.451906""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""",7,7,,"=""""","=""L3469""",
"=""428.0483""","=""0.0020""","=""428.0483""","=""0.0020""","=""150""","=""""",,"=""18.55510805""","=""21.451608""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""4""",7,9,,"=""""","=""L3469""",
"=""428.4447""","=""0.0020""","=""428.4446""","=""0.0020""","=""100""","=""""",,"=""18.57583601""","=""21.469657""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""3""",5,7,,"=""""","=""L3469""",
"=""428.9748""","=""0.0020""","=""428.9734""","=""0.0015""","=""50""","=""""",,"=""18.55510805""","=""21.445362""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",7,5,,"=""""","=""L3469""",
"=""429.1006""","=""0.0020""","=""429.0993""","=""0.0022""","=""20""","=""""",,"=""18.57583601""","=""21.465242""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""",5,3,,"=""""","=""L3469""",
"=""429.3184""","=""0.0020""","=""429.3200""","=""0.0009""","=""20*""","=""""",,"=""18.63679156""","=""21.524712""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",5,5,,"=""""","=""L3469""",
"=""429.3184""","=""0.0020""","=""429.3200""","=""0.0015""","=""20*""","=""""",,"=""18.63679156""","=""21.524712""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",5,5,,"=""""","=""L3469""",
"=""429.3184""","=""0.0020""","=""429.3194""","=""0.0013""","=""20*""","=""""",,"=""18.63679156""","=""21.524716""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L3469""",
"=""430.4458""","=""0.0020""","=""430.44640""","=""0.00009""","=""300""","=""""",,"=""18.38162323""","=""21.2619865""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",3,3,,"=""""","=""L3469""",
"=""430.4906""","=""0.0020""","=""430.4929""","=""0.0017""","=""10""","=""""",,"=""18.61270528""","=""21.492758""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",3,3,,"=""""","=""L3469""",
"=""430.5166""","=""0.0020""","=""430.5173""","=""0.0015""","=""50""","=""""",,"=""18.61270528""","=""21.492594""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""2""",3,5,,"=""""","=""L3469""",
"=""430.74621""","=""0.00020""","=""430.74631""","=""0.00008""","=""700""","=""""",,"=""18.38162323""","=""21.2599810""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L4498""",
"=""431.1342""","=""0.0020""","=""431.1343""","=""0.0020""","=""20""","=""""",,"=""18.57583601""","=""21.451603""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""3""",5,7,,"=""""","=""L3469""",
"=""431.5323""","=""0.0020""","=""431.5328""","=""0.0015""","=""10""","=""""",,"=""18.55510805""","=""21.428220""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",7,7,,"=""""","=""L3469""",
"=""431.5908""","=""0.0020""","=""431.5909""","=""0.0020""","=""300""","=""""",,"=""18.55510805""","=""21.427833""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""4""",7,9,,"=""""","=""L3469""",
"=""431.7222""","=""0.0020""","=""431.72186""","=""0.00010""","=""150""","=""""",,"=""18.57583601""","=""21.4476896""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L3469""",
"=""432.0049""","=""0.0020""","=""432.00151""","=""0.00008""","=""50""","=""""",,"=""18.57583601""","=""21.4458306""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",5,3,,"=""""","=""L3469""",
"=""432.0726""","=""0.0020""","=""432.0720""","=""0.0015""","=""10""","=""""",,"=""18.57583601""","=""21.445362""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",5,5,,"=""""","=""L3469""",
"=""432.2707""","=""0.0020""","=""432.2708""","=""0.0011""","=""20""","=""""",,"=""18.61270528""","=""21.480912""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""0""",3,1,,"=""""","=""L3469""",
"=""432.8482""","=""0.0020""","=""432.8483""","=""0.0011""","=""100""","=""""",,"=""18.55510805""","=""21.419488""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",7,5,,"=""""","=""L3469""",
"=""433.53453""","=""0.00004""","=""433.53439""","=""0.00003""","=""700""","=""""",,"=""18.38162323""","=""21.24147014""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",3,3,,"=""""","=""L3451""",
"=""433.74459""","=""0.00020""","=""433.74442""","=""0.00003""","=""500""","=""""",,"=""18.38162323""","=""21.24008531""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",3,1,,"=""""","=""L4498""",
"=""433.9420""","=""0.0020""","=""433.9419""","=""0.0021""","=""20""","=""""",,"=""18.61270528""","=""21.469866""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""2""",3,5,,"=""""","=""L3469""",
"=""434.1476""","=""0.0020""","=""434.1473""","=""0.0011""","=""20""","=""""",,"=""18.63679156""","=""21.492601""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L3469""",
"=""434.1640""","=""0.0020""","=""434.1639""","=""0.0009""","=""20""","=""""",,"=""18.57583601""","=""21.431537""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",5,3,,"=""""","=""L3469""",
