State,Lifetime /s,Energy /eV
Ne 1S;v=2s2.2p6,,0.0
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,2.27273e-08,16.6704067703729
Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,1.70068e-09,16.8477000841833
Ne 2[1/2]_1;v=2s2.2p5(2Po_3/2)3p,2.54453e-08,18.3812252579742
Ne 2[5/2]_3;v=2s2.2p5(2Po_3/2)3p,1.94212e-08,18.5546751502964
Ne 2[5/2]_2;v=2s2.2p5(2Po_3/2)3p,2.04207e-08,18.5753800337973
Ne 2[3/2]_1;v=2s2.2p5(2Po_3/2)3p,1.95465e-08,18.6123264726193
Ne 2[3/2]_2;v=2s2.2p5(2Po_3/2)3p,2.00965e-08,18.6363788522552
Ne 2[3/2]_1;v=2s2.2p5(2Po_1/2)3p,1.96928e-08,18.6929143425332
Ne 2[3/2]_2;v=2s2.2p5(2Po_1/2)3p,1.89753e-08,18.7037007189678
Ne 2[1/2]_0;v=2s2.2p5(2Po_3/2)3p,1.65044e-08,18.7108916365909
Ne 2[1/2]_1;v=2s2.2p5(2Po_1/2)3p,1.82116e-08,18.7258933785287
Ne 2[1/2]_0;v=2s2.2p5(2Po_1/2)3p,1.60256e-08,18.9655493055185
Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)4s,3.96699e-08,19.6635642403105
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)4s,1.03288e-08,19.6877406012847
Ne 2[1/2]o_0;v=2s2.2p5(2Po_1/2)4s,3.97456e-08,19.7601457028688
Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)4s,8.41829e-09,19.7793628103098
Ne 2[1/2]o_0;v=2s2.2p5(2Po_3/2)3d,1.85977e-08,20.0242259535095
Ne 2[1/2]o_1;v=2s2.2p5(2Po_3/2)3d,1.29698e-08,20.0259616922461
Ne 2[7/2]o_4;v=2s2.2p5(2Po_3/2)3d,2.00401e-08,20.0341444605758
Ne 2[7/2]o_3;v=2s2.2p5(2Po_3/2)3d,2.06292e-08,20.0343924232525
Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3d,1.97887e-08,20.0362521433274
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3d,8.22477e-09,20.0399715834773
Ne 2[5/2]o_2;v=2s2.2p5(2Po_3/2)3d,2.14468e-08,20.047782407792
Ne 2[5/2]o_3;v=2s2.2p5(2Po_3/2)3d,2.14823e-08,20.0479063891303
Ne 2[5/2]o_2;v=2s2.2p5(2Po_1/2)3d,2.0556e-08,20.1356851766672
Ne 2[5/2]o_3;v=2s2.2p5(2Po_1/2)3d,2.08969e-08,20.1358091580055
Ne 2[3/2]o_2;v=2s2.2p5(2Po_1/2)3d,2.06148e-08,20.1370489713888
Ne 2[3/2]o_1;v=2s2.2p5(2Po_1/2)3d,1.18075e-08,20.1390326728021
Ne 2[1/2]_1;v=2s2.2p5(2Po_3/2)4p,2.0656e-07,20.1491991425451
Ne 2[5/2]_3;v=2s2.2p5(2Po_3/2)4p,1.36054e-07,20.188005301442
Ne 2[5/2]_2;v=2s2.2p5(2Po_3/2)4p,1.42598e-07,20.1964360324484
Ne 2[3/2]_1;v=2s2.2p5(2Po_3/2)4p,1.28728e-07,20.2105699050179
Ne 2[3/2]_2;v=2s2.2p5(2Po_3/2)4p,1.13456e-07,20.2136694384761
Ne 2[1/2]_0;v=2s2.2p5(2Po_3/2)4p,8.8098e-08,20.2586746642895
Ne 2[3/2]_1;v=2s2.2p5(2Po_1/2)4p,1.30421e-07,20.2904138869017
Ne 2[1/2]_1;v=2s2.2p5(2Po_1/2)4p,1.18995e-07,20.2967369351565
Ne 2[3/2]_2;v=2s2.2p5(2Po_1/2)4p,1.32413e-07,20.2968609164949
Ne 2[1/2]_0;v=2s2.2p5(2Po_1/2)4p,6.31206e-08,20.3683981487107
Ne 2[1/2]o_0;v=2s2.2p5(2Po_3/2)4d,5.12873e-08,20.7009160981089
Ne 2[1/2]o_1;v=2s2.2p5(2Po_3/2)4d,3.01505e-08,20.7017839674772
Ne 2[7/2]o_4;v=2s2.2p5(2Po_3/2)4d,5.53403e-08,20.7048835009354
Ne 2[7/2]o_3;v=2s2.2p5(2Po_3/2)4d,5.7926e-08,20.7050074822738
Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)4d,5.49454e-08,20.7063712769954
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)4d,1.74827e-08,20.7082309970703
Ne 2[5/2]o_2;v=2s2.2p5(2Po_3/2)4d,5.90016e-08,20.7108346051752
Ne 2[5/2]o_3;v=2s2.2p5(2Po_3/2)4d,5.89066e-08,20.7109585865136
Ne 2[5/2]o_2;v=2s2.2p5(2Po_1/2)4d,5.6969e-08,20.803448664907
Ne 2[5/2]o_3;v=2s2.2p5(2Po_1/2)4d,5.79468e-08,20.8035726462453
Ne 2[3/2]o_2;v=2s2.2p5(2Po_1/2)4d,5.58011e-08,20.8036966275836
Ne 2[3/2]o_1;v=2s2.2p5(2Po_1/2)4d,2.29975e-08,20.8050604223052
Ne 2[1/2]o_0;v=2s2.2p5(2Po_1/2)3s,,16.7149954809
Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3s,,16.6186867153
