obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""82.2968""","=""0.0005""","=""82.29683""","=""1""","=""""",,"=""0.0000000""","=""15.065489""","=""4s2.4p""","=""2P*""","=""1/2""","=""4s2.9d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3335""",
"=""83.5083""","=""0.0005""","=""83.50838""","=""3""","=""""",,"=""0.2191243""","=""15.066042""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.9d""","=""2D""","=""5/2""",4,6,,"=""""","=""L3335""",
"=""83.7947""","=""0.0005""","=""83.79483""","=""5""","=""""",,"=""0.0000000""","=""14.796164""","=""4s2.4p""","=""2P*""","=""1/2""","=""4s2.8d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3335""",
"=""85.0495""","=""0.0005""","=""85.04964""","=""10""","=""""",,"=""0.2191243""","=""14.796987""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.8d""","=""2D""","=""5/2""",4,6,,"=""""","=""L3335""",
"=""86.2233""","=""0.0005""","=""86.22340""","=""10""","=""""",,"=""0.0000000""","=""14.379415""","=""4s2.4p""","=""2P*""","=""1/2""","=""4s2.7d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3335""",
"=""87.5492""","=""0.0005""","=""87.54926""","=""15""","=""""",,"=""0.2191243""","=""14.380775""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.7d""","=""2D""","=""5/2""",4,6,,"=""""","=""L3335""",
"=""88.5966""","=""0.0005""","=""88.59663""","=""1""","=""""",,"=""0.2191243""","=""14.213359""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.8s""","=""2S""","=""1/2""",4,2,,"=""""","=""L3335""",
"=""90.5976""","=""0.0005""","=""90.59771""","=""15""","=""""",,"=""0.0000000""","=""13.685137""","=""4s2.4p""","=""2P*""","=""1/2""","=""4s2.6d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3335""",
"=""92.0553""","=""0.0005""","=""92.05537""","=""20""","=""""",,"=""0.2191243""","=""13.687562""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.6d""","=""2D""","=""5/2""",4,6,,"=""""","=""L3335""",
"=""92.6473""","=""0.0005""","=""92.64736""","=""1""","=""""",,"=""0.0000000""","=""13.382378""","=""4s2.4p""","=""2P*""","=""1/2""","=""4s2.7s""","=""2S""","=""1/2""",2,2,,"=""""","=""L3335""",
"=""94.1896""","=""0.0005""","=""94.18963""","=""5""","=""""",,"=""0.2191243""","=""13.382378""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.7s""","=""2S""","=""1/2""",4,2,,"=""""","=""L3335""",
"=""99.91009""","=""0.00006""","=""99.910111""","=""50""","=""1.9e+08""",D,"=""0.0000000""","=""12.4095747""","=""4s2.4p""","=""2P*""","=""1/2""","=""4s2.5d""","=""2D""","=""3/2""",2,4,,"=""T4515""","=""L22""",
"=""101.66381""","=""0.00006""","=""101.663773""","=""100""","=""2.1e+08""",D,"=""0.2191243""","=""12.4146385""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.5d""","=""2D""","=""5/2""",4,6,,"=""T4515""","=""L22""",
"=""101.70592""","=""0.00010""","=""101.706003""","=""20""","=""3.5e+07""",D,"=""0.2191243""","=""12.4095747""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.5d""","=""2D""","=""3/2""",4,4,,"=""T4515""","=""L3335""",
"=""105.50252""","=""0.00010""","=""105.502614""","=""20""","=""6.9e+07""",D,"=""0.0000000""","=""11.7517655""","=""4s2.4p""","=""2P*""","=""1/2""","=""4s2.6s""","=""2S""","=""1/2""",2,2,,"=""T4515""","=""L3335""",
"=""107.50715""","=""0.00006""","=""107.507202""","=""100""","=""1.3e+08""",D,"=""0.2191243""","=""11.7517655""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.6s""","=""2S""","=""1/2""",4,2,,"=""T4515""","=""L22""",
