obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""43.746""","=""""","=""43.746""","=""""","=""""","=""3.37e+09""",A+,"=""44.256""","=""72.598""","=""2s.2p2""","=""2P""","=""3/2""","=""2p3""","=""2P*""","=""3/2""",4,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""L1471""",
"=""43.818""","=""""","=""43.815""","=""""","=""""","=""1.20e+09""",A+,"=""44.256""","=""72.553""","=""2s.2p2""","=""2P""","=""3/2""","=""2p3""","=""2P*""","=""1/2""",4,2,,"=""T7194c8,T6424,T7003,T7066c18""","=""L654""",
"=""""","=""""","=""49.702""","=""""","=""""","=""8.91e+03""",C,"=""32.202""","=""57.148""","=""2s.2p2""","=""2D""","=""5/2""","=""2p3""","=""4S*""","=""3/2""",6,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""""",
"=""""","=""""","=""49.709""","=""""","=""""","=""3.98e+03""",C,"=""32.206""","=""57.148""","=""2s.2p2""","=""2D""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",4,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""""",
"=""""","=""""","=""50.72""","=""""","=""""","=""4.41e+08""",D,"=""209.650?""","=""234.09?""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2S""","=""1/2""",2,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""51.55""","=""""","=""""","=""8.43e+08""",C,"=""210.045""","=""234.09?""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2S""","=""1/2""",4,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""51.78""","=""""","=""""","=""2.36e+08""",C+,"=""186.103""","=""210.045""","=""2s2.3s""","=""2S""","=""1/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",2,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""52.10""","=""""","=""""","=""2.21e+06""",C,"=""203.629""","=""227.425""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""",6,8,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""52.65""","=""""","=""""","=""2.25e+08""",C+,"=""186.103""","=""209.650?""","=""2s2.3s""","=""2S""","=""1/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",2,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""52.87""","=""""","=""""","=""1.97e+06""",D,"=""203.599""","=""227.05""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""",4,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""52.93""","=""""","=""""","=""1.40e+05""",E,"=""203.629""","=""227.05""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""",6,6,,"=""T7192c4,LS""","=""""",
"=""53.350""","=""""","=""53.353""","=""""","=""""","=""""",,"=""41.251""","=""64.489""","=""2s.2p2""","=""2S""","=""1/2""","=""2p3""","=""2D*""","=""3/2""",2,4,,"=""""","=""L5892""",
"=""""","=""""","=""58.45""","=""""","=""""","=""2.11e+07""",C+,"=""259.684""","=""280.897?""","=""2s2.4d""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""",6,8,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""59.32""","=""""","=""""","=""1.88e+07""",C+,"=""259.625""","=""280.527?""","=""2s2.4d""","=""2D""","=""3/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",4,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""59.48""","=""""","=""""","=""1.33e+06""",D,"=""259.684""","=""280.527?""","=""2s2.4d""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",6,6,,"=""T7192c4,LS""","=""""",
"=""60.218""","=""""","=""60.219""","=""""","=""""","=""8.25e+08""",A+,"=""43.900""","=""64.489""","=""2s.2p2""","=""2P""","=""1/2""","=""2p3""","=""2D*""","=""3/2""",2,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""L654""",
"=""""","=""""","=""61.278""","=""""","=""""","=""1.23e+08""",A,"=""44.256""","=""64.489""","=""2s.2p2""","=""2P""","=""3/2""","=""2p3""","=""2D*""","=""3/2""",4,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""""",
"=""61.310""","=""""","=""61.301""","=""""","=""""","=""8.96e+08""",A+,"=""44.256""","=""64.482""","=""2s.2p2""","=""2P""","=""3/2""","=""2p3""","=""2D*""","=""5/2""",4,6,,"=""T7194c8,T6424,T7003,T7066c18""","=""L654""",
"=""""","=""""","=""61.94""","=""""","=""""","=""9.64e+07""",C,"=""239.666?""","=""259.684""","=""2s.2p.(1P*).3d""","=""2F*""","=""7/2""","=""2s2.4d""","=""2D""","=""5/2""",8,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""61.94""","=""""","=""""","=""4.82e+06""",E,"=""239.666?""","=""259.684""","=""2s.2p.(1P*).3d""","=""2F*""","=""5/2""","=""2s2.4d""","=""2D""","=""5/2""",6,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""62.12""","=""""","=""""","=""1.00e+08""",D,"=""239.666?""","=""259.625""","=""2s.2p.(1P*).3d""","=""2F*""","=""5/2""","=""2s2.4d""","=""2D""","=""3/2""",6,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""62.98""","=""""","=""""","=""5.48e+05""",D,"=""203.599""","=""223.284""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",4,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""63.08""","=""""","=""""","=""7.63e+06""",C+,"=""203.629""","=""223.284""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""63.14""","=""""","=""""","=""7.34e+06""",C,"=""203.599""","=""223.235""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""63.24""","=""""","=""""","=""8.13e+05""",D,"=""203.629""","=""223.235""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",6,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""63.57""","=""""","=""""","=""1.12e+06""",C+,"=""186.103""","=""205.605""","=""2s2.3s""","=""2S""","=""1/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",2,4,,"=""T7194c8""","=""""",
"=""""","=""""","=""64.24""","=""""","=""""","=""3.85e+05""",C+,"=""186.103""","=""205.402?""","=""2s2.3s""","=""2S""","=""1/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",2,2,,"=""T7194c8""","=""""",
"=""""","=""""","=""68.032""","=""""","=""g""","=""3.84e+03""",C+,"=""0.0000""","=""18.224""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""4P""","=""3/2""",2,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""""",
"=""68.84""","=""""","=""68.837""","=""""","=""g""","=""1.52e+05""",C+,"=""0.0000""","=""18.011""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""4P""","=""1/2""",2,2,,"=""T7194c8,T6424,T7003,T7066c18""","=""L6128""",
"=""69.17""","=""""","=""69.171""","=""""","=""g""","=""1.18e+05""",C+,"=""[0.6063]""","=""18.531""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""4P""","=""5/2""",4,6,,"=""T7194c8,T6424,T7003,T7066c18""","=""L6128""",
"=""""","=""""","=""70.373""","=""""","=""g""","=""3.09e+04""",C+,"=""[0.6063]""","=""18.224""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""4P""","=""3/2""",4,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""""",
"=""""","=""""","=""71.235""","=""""","=""g""","=""1.25e+05""",C+,"=""[0.6063]""","=""18.011""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""4P""","=""1/2""",4,2,,"=""T7194c8,T6424,T7003,T7066c18""","=""""",
"=""""","=""""","=""71.56""","=""""","=""""","=""1.13e+08""",C,"=""242.358""","=""259.684""","=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""5/2""",4,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""71.80""","=""""","=""""","=""9.25e+07""",C,"=""242.358""","=""259.625""","=""2s.2p.(1P*).3d""","=""2P*""","=""1/2""","=""2s2.4d""","=""2D""","=""3/2""",2,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""71.80""","=""""","=""""","=""1.85e+07""",E,"=""242.358""","=""259.625""","=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""77.99""","=""""","=""""","=""5.40e+03""",C,"=""41.251""","=""57.148""","=""2s.2p2""","=""2S""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",2,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""""",
"=""""","=""""","=""81.92""","=""""","=""""","=""4.94e+05""",D,"=""222.930""","=""238.065""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""5/2""",4,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""82.21""","=""""","=""""","=""4.39e+06""",C+,"=""222.983""","=""238.065""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2p2.(3P).3s""","=""4P""","=""5/2""",6,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""82.26""","=""""","=""""","=""4.52e+08""",B+,"=""213.356""","=""228.43""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",2,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""83.22""","=""""","=""""","=""1.89e+07""",C+,"=""223.165""","=""238.065""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2p2.(3P).3s""","=""4P""","=""5/2""",8,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""83.34""","=""""","=""""","=""2.17e+08""",B,"=""213.552""","=""228.43""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",4,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""83.46""","=""""","=""""","=""7.47e+06""",C+,"=""222.930""","=""237.786""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""83.46""","=""""","=""""","=""1.17e+06""",C,"=""222.930""","=""237.786""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",2,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""83.54""","=""""","=""""","=""1.08e+08""",B,"=""213.356""","=""228.197""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",2,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""83.76""","=""""","=""""","=""1.45e+07""",C+,"=""222.983""","=""237.786""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",6,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""84.11""","=""""","=""""","=""1.14e+07""",C+,"=""222.930""","=""237.670""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""1/2""",4,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""84.11""","=""""","=""""","=""1.14e+07""",C+,"=""222.930""","=""237.670""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""","=""2p2.(3P).3s""","=""4P""","=""1/2""",2,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""84.66""","=""""","=""""","=""5.19e+08""",B+,"=""213.552""","=""228.197""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""87.99""","=""""","=""""","=""3.77e+06""",C+,"=""223.974""","=""238.065""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2p2.(3P).3s""","=""4P""","=""5/2""",6,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""88.79""","=""""","=""""","=""1.57e+06""",C,"=""224.10""","=""238.065""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""5/2""",4,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""89.77""","=""""","=""""","=""2.28e+06""",C,"=""223.974""","=""237.786""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",6,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""90.60""","=""""","=""""","=""6.59e+05""",D,"=""224.10""","=""237.786""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""91.18""","=""""","=""""","=""2.02e+06""",C,"=""224.19?""","=""237.786""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",2,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""91.37""","=""""","=""""","=""4.01e+06""",C,"=""224.10""","=""237.670""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""1/2""",4,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""91.96""","=""""","=""""","=""7.87e+05""",D,"=""224.19?""","=""237.670""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2p2.(3P).3s""","=""4P""","=""1/2""",2,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""93.59""","=""""","=""""","=""3.91e+04""",C+,"=""43.900""","=""57.148""","=""2s.2p2""","=""2P""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",2,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""""",
"=""""","=""""","=""96.17""","=""""","=""""","=""1.33e+05""",C+,"=""44.256""","=""57.148""","=""2s.2p2""","=""2P""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",4,4,,"=""T7194c8,T6424,T7003,T7066c18""","=""""",
"=""""","=""""","=""105.988""","=""""","=""""","=""5.10e+07""",AA,"=""32.202""","=""43.900""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p2""","=""2P""","=""1/2""",6,2,E2,"=""T7003""","=""""",
"=""""","=""""","=""111.09""","=""""","=""""","=""2.56e+08""",B+,"=""209.650?""","=""220.811""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",2,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""115.17""","=""""","=""""","=""4.60e+08""",B+,"=""210.045""","=""220.811""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",4,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""117.79""","=""""","=""""","=""4.72e+07""",C+,"=""217.902""","=""228.43""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",4,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""120.44""","=""""","=""""","=""4.42e+06""",C+,"=""217.902""","=""228.197""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""123.43""","=""""","=""""","=""2.87e+08""",C+,"=""224.049""","=""234.09?""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2S""","=""1/2""",4,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""123.43""","=""""","=""""","=""1.44e+08""",C+,"=""224.049""","=""234.09?""","=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2S""","=""1/2""",2,2,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""125.50""","=""""","=""""","=""2.71e+08""",A,"=""213.356""","=""223.235""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",2,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""125.69""","=""""","=""""","=""3.50e+07""",B,"=""218.332""","=""228.197""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",6,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""127.39""","=""""","=""""","=""3.12e+08""",A,"=""213.552""","=""223.284""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",4,6,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""128.04""","=""""","=""""","=""5.13e+07""",B,"=""213.552""","=""223.235""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""""","=""""","=""129.18""","=""""","=""""","=""7.55e+07""",C,"=""232.760""","=""242.358""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""1/2""",2,2,,"=""T7192c4,LS""","=""""",
