obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""89.239""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""110.816""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""118.330""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""118.386""","=""""","=""25w""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""119.849""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""121.980""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""122.897""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""128.358""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""128.759""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""129.162""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""136.072""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""136.520""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""136.943""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""137.165""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""159.695""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""160.917""","=""""","=""500w""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""161.414""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""162.060""","=""""","=""2000""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""162.391""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""162.912""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""163.380""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""164.746""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""165.357""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""180.406""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""180.647""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""181.102""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""187.762""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""188.521""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""194.128""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""194.289""","=""""","=""250w""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""194.321""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""195.236""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""195.252""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""195.661""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""196.204""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""197.895""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""198.276""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""198.959""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
