obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""356.990""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""357.681""","=""""","=""1100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""358.731""","=""""","=""880""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""360.222""","=""""","=""3500""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""362.489""","=""""","=""1100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""363.519""","=""""","=""320""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""366.224""","=""""","=""260""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""366.469""","=""""","=""1100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""376.546""","=""""","=""480""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""376.779""","=""""","=""480""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""378.161""","=""""","=""720""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""379.248""","=""""","=""560""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""382.349""","=""""","=""560""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""383.705""","=""""","=""2200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""384.810""","=""""","=""550""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""385.034""","=""""","=""550""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""386.497""","=""""","=""2900""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""386.544""","=""""","=""770""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""387.870""","=""""","=""990""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""388.015""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""388.652""","=""""","=""1500""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""389.142""","=""""","=""2900""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""389.248""","=""""","=""2000""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
