obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""631.477""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""631.646""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""632.310""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""634.211""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""634.697""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""640.877""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""642.795""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""643.611""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""644.752""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""645.340""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""645.941""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""647.200""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""648.614""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""649.143""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""649.489""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""650.506""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""650.816""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""655.235""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""657.124""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""657.838""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""659.381""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""659.853""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""660.066""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""660.509""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""662.239""","=""""","=""15""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""669.003""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""670.397""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""671.146""","=""""","=""17""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""671.973""","=""""","=""27""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""675.459""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""676.425""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""677.103""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""677.476""","=""""","=""27""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""679.272""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""683.066""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""683.478""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""684.722""","=""""","=""13""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""684.823""","=""""","=""17""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""684.886""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""685.115""","=""""","=""27""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""685.445""","=""""","=""13""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""689.019""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""690.249""","=""""","=""29""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""690.626""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""690.928""","=""""","=""29""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""691.878""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""693.429""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""695.038""","=""""","=""29""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""695.576""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""696.836""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""697.783""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""699.277""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""699.625""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""700.739""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""702.934""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""705.931""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""705.991""","=""""","=""14""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""708.925""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""709.138""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""709.642""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""709.755""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""709.966""","=""""","=""540""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""710.487""","=""""","=""280""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""710.568""","=""""","=""170""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""711.364""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""711.478""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""711.548""","=""""","=""18""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""713.492""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""714.271""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""714.644""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""717.107""","=""""","=""590""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""720.360""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""726.017""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""726.676""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""730.822""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""731.363""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""731.574""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""732.010""","=""""","=""90""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""732.984""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""733.799""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""734.598""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""737.553""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""738.566""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""740.294""","=""""","=""14""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""741.343""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""742.479""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""743.515""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""744.191""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""746.963""","=""""","=""18""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""748.164""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""751.777""","=""""","=""14w""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""752.002""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""754.270""","=""""","=""20w""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""754.667""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""755.354""","=""""","=""29""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""755.678""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""756.053""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""756.217""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""756.420""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""760.924""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""761.418""","=""""","=""14""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""762.327""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""766.071""","=""""","=""29""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""769.295""","=""""","=""18""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""770.639""","=""""","=""14""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""771.054""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""776.869""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""781.847""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""782.150""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""782.509""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""782.887""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""785.151""","=""""","=""90""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""787.216""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""787.842""","=""""","=""14""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""788.435""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""790.015""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""791.064""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""794.265""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""794.680""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""795.885""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""796.217""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""796.582""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""800.747""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""804.826""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""805.527""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""805.751""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""805.798""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""806.030""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""806.531""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""807.230""","=""""","=""790""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""811.651""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""812.240""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""813.523""","=""""","=""390""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""815.482""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""819.102""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""819.698""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""820.398""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""821.479""","=""""","=""280""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""824.264""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""828.609""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""830.818""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""833.473""","=""""","=""14""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""837.253""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""839.172""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""841.631""","=""""","=""70""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""845.549""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""846.698""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""850.077""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""858.657""","=""""","=""18""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""873.726""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""875.188""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""878.864""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""880.740""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""883.852""","=""""","=""70""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""890.196""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
