obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""191.2864""","=""""","=""1.0e+08""",E,"=""18.826554""","=""25.308155""","=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",6,4,,"=""T1619CA,LS""","=""""",
"=""""","=""191.4023""","=""""","=""5.3e+07""",E,"=""18.830480""","=""25.308155""","=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",4,4,,"=""T1619CA,LS""","=""""",
"=""""","=""191.6462""","=""""","=""8.3e+06""",E,"=""18.838723""","=""25.308155""","=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",2,4,,"=""T1619CA,LS""","=""""",
"=""""","=""191.7796""","=""""","=""8.3e+07""",E,"=""18.830480""","=""25.295412""","=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",4,2,,"=""T1619CA,LS""","=""""",
"=""""","=""192.0244""","=""""","=""8.3e+07""",E,"=""18.838723""","=""25.295412""","=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",2,2,,"=""T1619CA,LS""","=""""",
"=""198.361""","=""""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""200.749""","=""""","=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""""","=""223.183""","=""""","=""6.7e+06""",E,"=""24.961853""","=""30.51712?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""T1619CA,LS""","=""""",
"=""225.377""","=""225.361""","=""700""","=""6.1e+07""",D,"=""25.015530""","=""30.51712?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""5/2""",6,6,,"=""T1619CA,LS""","=""L480""",
"=""""","=""225.632""","=""""","=""1.7e+07""",E,"=""24.929802""","=""30.42478?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""3/2""",2,4,,"=""T1619CA,LS""","=""""",
