State,Lifetime /s,Energy /eV
V a4F;v=3d3.4s2,,0.0
V 4H;v=3d3.4s(5F)4d,2.77778e-08,5.46336165480372
V f6G;v=3d3.4s(5F)4d,1.75439e-08,5.46549413382298
V e2F;v=3d3(4F)4s(3F)5s,1.25565e-08,5.46814733446322
V f6P;v=3d3.4s(5F)4d,6.49351e-09,5.47248668130473
V 4Fo;v=3d4(3D)4p,7.93651e-09,5.47800385086037
V t2Ho;v=3d4(1G{2})4p,1.06383e-07,5.47915687730683
V 4G;v=3d3.4s(5F)4d,1.04167e-08,5.49568358970608
V 6F;v=3d3.4s(5F)4d,2.22222e-08,5.51142921967385
V 2Io;v=3d4(1I)4p,1.2987e-08,5.51662403774984
V s2Go;v=3d4(1G{2})4p,1e-07,5.51708276870166
V 4F;v=3d3.4s(5F)4d,9.09091e-08,5.54775575180424
V 4F;v=3d3(4F)4s(3F)5s,1.21951e-07,5.5629682620172
V 4Go;v=3d3.4s(5F)5p,2.5e-07,5.62300002603608
V p4Fo;v=3d3(2F)4s.4p(3Po),3.44828e-07,5.66449657997478
V 6D;v=3d4(5D)6s,1.92308e-07,5.67179908080236
V o4Do;v=3d3.4s(5F)5p,2.94118e-07,5.67367119901113
V 4D;v=3d4(5D)6s,2.80899e-07,5.71479580893484
V r4Go;v=3d3(2F)4s.4p(3Po),1.6129e-07,5.74820877961449
V 2Ho;v=3d3(2G)4s.4p(1Po),3.40136e-09,5.91413300470013
V f6H;v=3d3.4s(5F)5d,2.17391e-07,6.19307861780645
V x2Io;v=3d3(2H)4s.4p(1Po),2.38095e-09,6.19636412327216
V z6Fo;v=3d3(4F)4s.4p(3Po),,2.2465547446
V b2G;v=3d4(1G{2})4s,,2.6784009631
V 2I;v=3d4(1I)4s,,2.7870264688
V b4D;v=3d4(3D)4s,,2.5747959577
V 2D;v=3d4(3D)4s,,3.0537306605
V a2F;v=3d4(3F{2})4s,,2.358909361
V a4G;v=3d4(3G)4s,,2.1144923026
V 2G;v=3d4(3G)4s,,2.6162032451
V b2H;v=3d4(3H)4s,,2.3585628331
V b2P;v=3d4(3P{2})4s,,2.3314750184
V a6S;v=3d5,,2.5047393106
V 6Go;v=3d3(4F)4s.4p(3Po),,2.0285193033
