Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
V a6D;v=3d4(5D)4s,V a4F;v=3d3.4s2,714290.0,-0.261883301325485
V a4D;v=3d4(5D)4s,V a4F;v=3d3.4s2,10.204,-1.04305623917488
V a4D;v=3d4(5D)4s,V a6D;v=3d4(5D)4s,2564.1,-0.7811729378493951
V a4P;v=3d3.4s2,V a4F;v=3d3.4s2,250.0,-1.18335724106807
V a4P;v=3d3.4s2,V a6D;v=3d4(5D)4s,342.47,-0.921473939742585
V a4P;v=3d3.4s2,V a4D;v=3d4(5D)4s,27778.0,-0.14030100189318984
V a2G;v=3d3.4s2,V a4F;v=3d3.4s2,106.27,-1.35046672774814
V a2P;v=3d3.4s2,V a4P;v=3d3.4s2,111.11,-0.5289366244592901
V a2P;v=3d3.4s2,V a4D;v=3d4(5D)4s,440.53,-0.66923762635248
V a2P;v=3d3.4s2,V a4F;v=3d3.4s2,1428.6,-1.71229386552736
V a2P;v=3d3.4s2,V a6D;v=3d4(5D)4s,50000.0,-1.4504105642018752
V 2D{2};v=3d3.4s2,V a4F;v=3d3.4s2,27.778,-1.79956432957711
V 2D{2};v=3d3.4s2,V a4P;v=3d3.4s2,1190.5,-0.61620708850904
V 2D{2};v=3d3.4s2,V a2P;v=3d3.4s2,1492.5,-0.08727046404974992
V 2D{2};v=3d3.4s2,V a4D;v=3d4(5D)4s,3846.1,-0.7565080904022299
V 2D{2};v=3d3.4s2,V a6D;v=3d4(5D)4s,22727.0,-1.5376810282516251
V a4H;v=3d4(3H)4s,V a4F;v=3d3.4s2,1.1834,-1.85983165813882
V b4P;v=3d4(3P{2})4s,V a4F;v=3d3.4s2,0.83333,-1.86944021185931
V b4P;v=3d4(3P{2})4s,V a6D;v=3d4(5D)4s,27.027,-1.607556910533825
V b4P;v=3d4(3P{2})4s,V a4D;v=3d4(5D)4s,303.03,-0.82638397268443
V a2H;v=3d3.4s2,V a4F;v=3d3.4s2,256.41,-1.89255033332383
V a2H;v=3d3.4s2,V a2G;v=3d3.4s2,476.19,-0.5420836055756901
