obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""425.26""","=""""","=""5.18e+05""",C,"=""126.5067""","=""129.422""","=""2s.2p4.(2D).3s""","=""3D""","=""1""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""2""",3,5,,"=""c57,LS""","=""""",
"=""""","=""425.26""","=""""","=""2.59e+06""",C+,"=""126.5067""","=""129.422""","=""2s.2p4.(2D).3s""","=""3D""","=""1""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""1""",3,3,,"=""c57,LS""","=""""",
"=""""","=""426.60""","=""""","=""3.80e+05""",C,"=""126.5158""","=""129.422""","=""2s.2p4.(2D).3s""","=""3D""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""3""",5,7,,"=""c57,LS""","=""""",
"=""""","=""426.60""","=""""","=""8.55e+05""",C,"=""126.5158""","=""129.422""","=""2s.2p4.(2D).3s""","=""3D""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""""","=""426.60""","=""""","=""2.38e+06""",C+,"=""126.5158""","=""129.422""","=""2s.2p4.(2D).3s""","=""3D""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""2""",5,5,,"=""c57,LS""","=""""",
"=""""","=""428.49""","=""""","=""5.24e+05""",C,"=""126.5286""","=""129.422""","=""2s.2p4.(2D).3s""","=""3D""","=""3""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""2""",7,5,,"=""c57,LS""","=""""",
"=""""","=""428.49""","=""""","=""3.00e+06""",B,"=""126.5286""","=""129.422""","=""2s.2p4.(2D).3s""","=""3D""","=""3""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""3""",7,7,,"=""c57,LS""","=""""",
"=""""","=""445.34""","=""""","=""3.03e+03""",E,"=""126.5067""","=""129.291""","=""2s.2p4.(2D).3s""","=""3D""","=""1""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""2""",3,5,,"=""c57,LS""","=""""",
"=""""","=""446.81""","=""""","=""4.48e+04""",E,"=""126.5158""","=""129.291""","=""2s.2p4.(2D).3s""","=""3D""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""2""",5,5,,"=""c57,LS""","=""""",
"=""""","=""448.87""","=""""","=""2.47e+05""",D+,"=""126.5286""","=""129.291""","=""2s.2p4.(2D).3s""","=""3D""","=""3""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""2""",7,5,,"=""c57,LS""","=""""",
"=""""","=""449.94""","=""""","=""7.31e+04""",E,"=""126.5067""","=""129.262""","=""2s.2p4.(2D).3s""","=""3D""","=""1""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""1""",3,3,,"=""c57,LS""","=""""",
"=""""","=""451.45""","=""""","=""2.18e+05""",D,"=""126.5158""","=""129.262""","=""2s.2p4.(2D).3s""","=""3D""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""""","=""454.63""","=""""","=""2.44e+06""",B,"=""116.6008""","=""119.3280""","=""2s.2p4.(4P).3s""","=""3P""","=""2""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""",5,7,,"=""c57,LS""","=""""",
"=""""","=""455.41""","=""""","=""6.05e+05""",C,"=""116.6008""","=""119.3233""","=""2s.2p4.(4P).3s""","=""3P""","=""2""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""",5,5,,"=""c57,LS""","=""""",
"=""""","=""455.41""","=""""","=""6.75e+04""",E,"=""116.6008""","=""119.3233""","=""2s.2p4.(4P).3s""","=""3P""","=""2""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""""","=""461.57""","=""""","=""6.47e+04""",E,"=""116.6008""","=""119.2869""","=""2s.2p4.(4P).3s""","=""3P""","=""2""","=""2s2.2p3.(2D*).4s""","=""3D*""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""""","=""461.81""","=""""","=""5.82e+05""",C,"=""116.6008""","=""119.2856""","=""2s.2p4.(4P).3s""","=""3P""","=""2""","=""2s2.2p3.(2D*).4s""","=""3D*""","=""2""",5,5,,"=""c57,LS""","=""""",
"=""""","=""462.41""","=""""","=""2.32e+06""",B,"=""116.6008""","=""119.2821""","=""2s.2p4.(4P).3s""","=""3P""","=""2""","=""2s2.2p3.(2D*).4s""","=""3D*""","=""3""",5,7,,"=""c57,LS""","=""""",
"=""""","=""474.05""","=""""","=""1.39e+00""",D+,"=""91.1961""","=""93.8115""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""",5,5,M1,"=""T7370c16""","=""""",
"=""""","=""475.74""","=""""","=""7.70e-01""",D,"=""91.1961""","=""93.8022""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""",5,3,M1,"=""T7370c16""","=""""",
"=""""","=""488.69""","=""""","=""8.18e+05""",C,"=""116.7862""","=""119.3233""","=""2s.2p4.(4P).3s""","=""3P""","=""1""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""",3,3,,"=""c57,LS""","=""""",
"=""""","=""488.69""","=""""","=""1.47e+06""",C+,"=""116.7862""","=""119.3233""","=""2s.2p4.(4P).3s""","=""3P""","=""1""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""",3,5,,"=""c57,LS""","=""""",
"=""""","=""495.79""","=""""","=""7.82e+05""",C,"=""116.7862""","=""119.2869""","=""2s.2p4.(4P).3s""","=""3P""","=""1""","=""2s2.2p3.(2D*).4s""","=""3D*""","=""1""",3,3,,"=""c57,LS""","=""""",
"=""""","=""496.06""","=""""","=""1.41e+06""",C+,"=""116.7862""","=""119.2856""","=""2s.2p4.(4P).3s""","=""3P""","=""1""","=""2s2.2p3.(2D*).4s""","=""3D*""","=""2""",3,5,,"=""c57,LS""","=""""",
"=""""","=""505.74""","=""""","=""9.82e+05""",C,"=""116.8717""","=""119.3233""","=""2s.2p4.(4P).3s""","=""3P""","=""0""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""",1,3,,"=""c57,LS""","=""""",
"=""""","=""513.35""","=""""","=""9.37e+05""",C,"=""116.8717""","=""119.2869""","=""2s.2p4.(4P).3s""","=""3P""","=""0""","=""2s2.2p3.(2D*).4s""","=""3D*""","=""1""",1,3,,"=""c57,LS""","=""""",
"=""""","=""1496.3""","=""""","=""4.92e+04""",B,"=""125.7000""","=""126.5286""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""3""","=""2s.2p4.(2D).3s""","=""3D""","=""3""",7,7,,"=""c57,LS""","=""""",
"=""""","=""1509""","=""""","=""6.02e+03""",D+,"=""125.7072""","=""126.5286""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""2""","=""2s.2p4.(2D).3s""","=""3D""","=""3""",5,7,,"=""c57,LS""","=""""",
