label,energy_eV
Mg VI (2p3 4S*<3/2>),141.33
Mg VI (2p3 2D*<5/2>),148.134
Mg VI (2p3 2P*<1/2>),151.675
Mg VI (2p3 2P*<3/2>),151.688
Mg VI (2s.2p4 4P<5/2>),172.012
