obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""291.5295""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""294.829""","=""""","=""2c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""294.939""","=""""","=""3c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""298.7747""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""301.727""","=""""","=""10c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""371.5039""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""411.192""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""411.451""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""415.399""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""424.333""","=""""","=""9c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""424.612""","=""424.6117+""","=""20c""","=""""",,"=""8.5504847""","=""11.470428""","=""6s2.6d""","=""2D""","=""5/2""","=""6s2.5f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L2579""",
"=""429.503""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""429.786""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""435.396""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""438.769""","=""438.7686+""","=""20c""","=""""",,"=""8.6466088""","=""11.472340""","=""6s2.6d""","=""2D""","=""3/2""","=""6s2.5f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L2579""",
"=""458.0334""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""458.355""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""504.399""","=""504.399+""","=""50""","=""""",,"=""9.231738""","=""11.689798""","=""6s2.7p""","=""2P*""","=""1/2""","=""6s2.7d""","=""2D""","=""3/2""",2,4,,"=""""","=""L2579""",
"=""507.199""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""507.594""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""511.306""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""536.913""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""537.3593""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""554.579""","=""""","=""10c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""561.041""","=""561.041+""","=""20c""","=""""",,"=""7.370682""","=""9.580578""","=""6s2.7s""","=""2S""","=""1/2""","=""6s2.7p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L2579""",
"=""601.124""","=""""","=""9c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""604.284""","=""""","=""8c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""607.742""","=""607.742+""","=""40""","=""""",,"=""11.470428""","=""13.510506""","=""6s2.5f""","=""2F*""","=""7/2""","=""6s2.6g""","=""2G""","=""9/2""",8,18,,"=""""","=""L2579""",
"=""608.3093""","=""608.309+""","=""40""","=""""",,"=""11.472340""","=""13.510517""","=""6s2.5f""","=""2F*""","=""5/2""","=""6s2.6g""","=""2G""","=""7/2""",6,8,,"=""""","=""L2579""",
"=""616.159""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7474""",
"=""666.204""","=""666.203+""","=""50c""","=""""",,"=""7.370682""","=""9.231738""","=""6s2.7s""","=""2S""","=""1/2""","=""6s2.7p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L2579""",
"=""719.558""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7474""",
"=""756.105""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7474""",
"=""763.466""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7474""",
"=""773.509""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7474""",
"=""815.915""","=""""","=""2bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3699""",
"=""833.783""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7474""",
"=""839.799""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""854.730""","=""""","=""7c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""871.229""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7474""",
"=""872.178""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7474""",
"=""905.330""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""906.592""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2579""",
"=""924.782""","=""""","=""2bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3699""",
"=""1148.263""","=""""","=""2bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3699""",
"=""1163.109""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7474""",
