obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""189.4124""","=""0.0008""","=""189.4126""","=""0.0006""","=""1300""","=""2.0e+07""",C,"=""27.998883""","=""34.544603""","=""3s2.3p5.3d""","=""1D*""","=""2""","=""3s2.3p5.4p""","=""3D""","=""1""",5,3,,"=""T7942""","=""L262""",
"=""189.4582""","=""0.0008""","=""189.45785""","=""0.00022""","=""400""","=""""",,"=""34.544603""","=""41.088760""","=""3s2.3p5.4p""","=""3D""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",3,3,,"=""""","=""L262""",
"=""190.7385""","=""0.0008""","=""190.7383""","=""0.0003""","=""1000""","=""2.0e+08""",C,"=""34.544603""","=""41.044828""","=""3s2.3p5.4p""","=""3D""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,"=""u33""","=""L262""",
"=""191.0097""","=""0.0008""","=""191.0101""","=""0.0004""","=""1700""","=""3.8e+07""",B,"=""28.192588""","=""34.683563""","=""3s2.3p5.3d""","=""3D*""","=""2""","=""3s2.3p5.4p""","=""1D""","=""2""",5,5,,"=""T7942""","=""L262""",
"=""191.1692""","=""0.0008""","=""191.1692""","=""0.0005""","=""1000""","=""2.3e+06""",C,"=""28.197988""","=""34.683563""","=""3s2.3p5.3d""","=""3D*""","=""1""","=""3s2.3p5.4p""","=""1D""","=""2""",3,5,,"=""T7942""","=""L262""",
"=""""","=""""","=""193.56812""","=""0.00022""","=""m(Al III)""","=""9.8e+07""",B,"=""34.683563""","=""41.088760""","=""3s2.3p5.4p""","=""1D""","=""2""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",5,3,,"=""u33""","=""L262""",
"=""193.8572""","=""0.0008""","=""193.85713""","=""0.00023""","=""250""","=""""",,"=""34.346400""","=""40.742048""","=""3s2.3p5.4p""","=""3D""","=""3""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",7,5,,"=""""","=""L262""",
"=""193.9244""","=""0.0008""","=""193.92488""","=""0.00023""","=""700""","=""""",,"=""34.346400""","=""40.739814""","=""3s2.3p5.4p""","=""3D""","=""3""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""",7,7,,"=""""","=""L262""",
"=""193.9683""","=""0.0008""","=""193.9690""","=""0.0006""","=""1200""","=""1.8e+07""",C,"=""27.998883""","=""34.390844""","=""3s2.3p5.3d""","=""1D*""","=""2""","=""3s2.3p5.4p""","=""3D""","=""2""",5,5,,"=""T7942""","=""L262""",
"=""194.3012""","=""0.0008""","=""194.3017""","=""0.0003""","=""1600""","=""4.9e+08""",B,"=""33.747098""","=""40.128113""","=""3s2.3p5.4p""","=""3S""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",3,5,,"=""u33""","=""L262""",
"=""194.8257""","=""0.0008""","=""194.8260""","=""0.0005""","=""2000""","=""5.7e+07""",B,"=""28.319721""","=""34.683563""","=""3s2.3p5.3d""","=""1F*""","=""3""","=""3s2.3p5.4p""","=""1D""","=""2""",7,5,,"=""T7942""","=""L262""",
"=""195.1888""","=""0.0008""","=""195.1888""","=""0.0004""","=""240""","=""1.8e+06""",D+,"=""28.192588""","=""34.544603""","=""3s2.3p5.3d""","=""3D*""","=""2""","=""3s2.3p5.4p""","=""3D""","=""1""",5,3,,"=""T7942""","=""L262""",
"=""195.2133""","=""0.0008""","=""195.21367""","=""0.00023""","=""900""","=""""",,"=""34.390844""","=""40.742048""","=""3s2.3p5.4p""","=""3D""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",5,5,,"=""""","=""L262""",
"=""195.2823""","=""0.0008""","=""195.28237""","=""0.00023""","=""290""","=""""",,"=""34.390844""","=""40.739814""","=""3s2.3p5.4p""","=""3D""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L262""",
"=""195.3064""","=""0.0008""","=""195.30643""","=""0.00023""","=""900""","=""2.38e+08""",B,"=""34.390844""","=""40.739032""","=""3s2.3p5.4p""","=""3D""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",5,3,,"=""u33""","=""L262""",
