obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""67.763""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""67.796""","=""""","=""750""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""71.390""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""143.215""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""145.672""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""146.420""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""146.575""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""147.341""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""148.926""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""149.096""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""149.879""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""149.942""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""150.042""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""150.592""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""151.585""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""153.309""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""155.230""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""155.294""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""155.311""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""156.079""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""156.255""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""158.153""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""158.206""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""159.852""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""160.087""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""161.961""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""162.251""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""162.919""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""163.933""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""164.482""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""165.174""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""167.305""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""168.859""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""169.540""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""170.665""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""174.963""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""175.384""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""176.769""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L65""",
"=""183.932""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L65""",
