obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""624.38""","=""0.07""","=""624.286""","=""0.016""","=""380""","=""""",,"=""11.2022072""","=""13.18822""","=""5s2.6d""","=""2D""","=""5/2""","=""5s2.9p""","=""2P*""","=""3/2""",6,4,,"=""""","=""L17864""",
"=""643.02""","=""0.07""","=""643.086""","=""0.010""","=""760""","=""""",,"=""12.2003442""","=""14.12830""","=""5s2.8s""","=""2S""","=""1/2""","=""5s.5p.(3P*).6s""","=""2P*""","=""1/2""",2,2,,"=""""","=""L17864,L18891""",
"=""645.53257""","=""0.00012""","=""645.53256""","=""0.00013""","=""2500""","=""7.0e+07""",B+,"=""7.0530101""","=""8.97365992""","=""5s2.6s""","=""2S""","=""1/2""","=""5s2.6p""","=""2P*""","=""3/2""",2,4,,"=""T8718""","=""L3149""",
"=""657.15""","=""0.07""","=""657.033""","=""0.013""","=""830""","=""""",,"=""13.517467""","=""15.404499""","=""5s2.9d""","=""2D""","=""5/2""","=""5s.5p.(3P*).5d""","=""4P*""","=""3/2""",6,4,,"=""""","=""L17864""",
"=""666.29""","=""0.08""","=""666.29""","=""0.08""","=""1000""","=""1.6e+07""",D+,"=""11.2022072""","=""13.06301""","=""5s2.6d""","=""2D""","=""5/2""","=""5s2.6f""","=""2F*""","=""7/2""",6,8,,"=""T9352""","=""L17864""",
"=""676.2678""","=""0.0003""","=""676.26764""","=""0.00023""","=""840""","=""3.82e+07""",B+,"=""8.8640361""","=""10.6973961""","=""5s2.6p""","=""2P*""","=""1/2""","=""5s2.7s""","=""2S""","=""1/2""",2,2,,"=""T8718""","=""L3149""",
"=""684.60745""","=""0.00020""","=""684.60749""","=""0.00014""","=""1300""","=""6.0e+07""",B+,"=""7.0530101""","=""8.8640361""","=""5s2.6s""","=""2S""","=""1/2""","=""5s2.6p""","=""2P*""","=""1/2""",2,2,,"=""T8718""","=""L3149""",
"=""719.2758""","=""0.0003""","=""719.27597""","=""0.00026""","=""1100""","=""7.2e+07""",B+,"=""8.97365992""","=""10.6973961""","=""5s2.6p""","=""2P*""","=""3/2""","=""5s2.7s""","=""2S""","=""1/2""",4,2,,"=""T8718""","=""L3149""",
"=""723.21""","=""0.09""","=""723.204""","=""0.016""","=""670""","=""1.2e+07""",D+,"=""11.3946370""","=""13.10901""","=""5s2.7p""","=""2P*""","=""1/2""","=""5s2.8d""","=""2D""","=""3/2""",2,4,,"=""T9352""","=""L17864""",
"=""731.65""","=""0.09""","=""731.618""","=""0.012""","=""500""","=""""",,"=""12.4336451""","=""14.12830""","=""5s2.7d""","=""2D""","=""3/2""","=""5s.5p.(3P*).6s""","=""2P*""","=""1/2""",4,2,,"=""""","=""L17864,L18891""",
"=""738.92000""","=""0.00024""","=""738.91986""","=""0.00016""","=""480""","=""2.27e+06""",B+,"=""7.2957486""","=""8.97365992""","=""5s.5p2""","=""2D""","=""3/2""","=""5s2.6p""","=""2P*""","=""3/2""",4,4,,"=""T8718""","=""L3149""",
