obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""8.301700638""","=""0.000000015""","=""""","=""1.7689e+10""",AA,"=""(1465.75298776)""","=""(1615.10093928)""","=""3d""","=""2D""","=""5/2""","=""7f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""L3620""",
"=""""","=""""","=""8.301844314""","=""0.000000015""","=""""","=""1.1777e+09""",AA,"=""(1465.75298776)""","=""(1615.09835458)""","=""3d""","=""2D""","=""5/2""","=""7f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""L3620""",
"=""""","=""""","=""8.302129800""","=""0.000000022""","=""""","=""6.1576e+08""",AA,"=""(1465.75298776)""","=""(1615.0932190)""","=""3d""","=""2D""","=""5/2""","=""7p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""L3620""",
"=""""","=""""","=""9.0193440""","=""0.0000004""","=""""","=""2.2994e+10""",AA,"=""(1465.489929)""","=""(1602.9546919)""","=""3p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
"=""""","=""""","=""9.0198981""","=""0.0000006""","=""""","=""1.3979e+10""",AA,"=""(1465.498417)""","=""(1602.9547353)""","=""3s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
"=""""","=""""","=""9.0208929""","=""0.0000004""","=""""","=""2.4851e+09""",AA,"=""(1465.489929)""","=""(1602.9310890)""","=""3p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
"=""""","=""""","=""9.0215193""","=""0.0000006""","=""""","=""1.4037e+10""",AA,"=""(1465.498417)""","=""(1602.9300338)""","=""3s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
"=""""","=""""","=""9.03177205""","=""0.00000003""","=""""","=""2.9398e+10""",AA,"=""(1465.68728457)""","=""(1602.9628908)""","=""3d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""L3620""",
"=""""","=""""","=""9.03179324""","=""0.00000025""","=""""","=""2.7533e+10""",AA,"=""(1465.687622)""","=""(1602.9629058)""","=""3p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""L3620""",
"=""""","=""""","=""9.03230866""","=""0.00000003""","=""""","=""1.1485e+08""",AA,"=""(1465.68728457)""","=""(1602.9547353)""","=""3d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""L3620""",
