obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""164.800""","=""164.88""","=""0.05""","=""2h""","=""""",,"=""0.0000000""","=""7.520""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s.5p2""","=""2P""","=""3/2""",2,4,,"=""""","=""L611""",
"=""167.616""","=""167.62""","=""0.06""","=""1w""","=""""",,"=""0.0000000""","=""7.397""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s.5p2""","=""2P""","=""1/2""",2,2,,"=""""","=""L611""",
"=""171.154""","=""171.12""","=""0.06""","=""5w""","=""""",,"=""0.2743273""","=""7.520""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s.5p2""","=""2P""","=""3/2""",4,4,,"=""""","=""L611""",
"=""174.123""","=""174.08""","=""0.06""","=""2w""","=""""",,"=""0.2743273""","=""7.397""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s.5p2""","=""2P""","=""1/2""",4,2,,"=""""","=""L611""",
"=""175.849""","=""""","=""""","=""1w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""218.058""","=""218.0583""","=""0.0010""","=""2""","=""""",,"=""0.0000000""","=""5.68583""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.14d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3547""",
"=""218.308""","=""218.3078""","=""0.0010""","=""2""","=""""",,"=""0.0000000""","=""5.67933""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.15s""","=""2S""","=""1/2""",2,2,,"=""""","=""L3547""",
"=""218.808""","=""218.8084""","=""0.0011""","=""2""","=""""",,"=""0.0000000""","=""5.66634""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.13d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3547""",
"=""219.152""","=""219.1520""","=""0.0011""","=""2""","=""""",,"=""0.0000000""","=""5.65745""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.14s""","=""2S""","=""1/2""",2,2,,"=""""","=""L3547""",
"=""219.8093""","=""219.8093""","=""0.0011""","=""2""","=""""",,"=""0.0000000""","=""5.64053""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.12d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3547""",
"=""220.2927""","=""220.2928""","=""0.0011""","=""2""","=""""",,"=""0.0000000""","=""5.62815""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.13s""","=""2S""","=""1/2""",2,2,,"=""""","=""L3547""",
"=""221.1826""","=""221.1826""","=""0.0011""","=""3""","=""""",,"=""0.0000000""","=""5.60551""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.11d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3547""",
"=""223.1392""","=""223.1393""","=""0.0011""","=""5""","=""""",,"=""0.0000000""","=""5.55636""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.10d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3547""",
"=""224.2360""","=""224.2361""","=""0.0011""","=""3""","=""1.14e+06""",C+,"=""0.0000000""","=""5.52918""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.11s""","=""2S""","=""1/2""",2,2,,"=""T7227""","=""L3547""",
"=""226.0691""","=""226.0669""","=""0.0005""","=""10""","=""""",,"=""0.0000000""","=""5.484404""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.9d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3547""",
