Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""5s2.24d""","=""2D""","=""5/2""",6,"=""""","=""5.7572887""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.25d""","=""2D""","=""3/2""",4,"=""""","=""5.7597063""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.25d""","=""2D""","=""5/2""",6,"=""""","=""5.7598176""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.26d""","=""2D""","=""3/2""",4,"=""""","=""5.7619152""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.26d""","=""2D""","=""5/2""",6,"=""""","=""5.7620147""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.27d""","=""2D""","=""3/2""",4,"=""""","=""5.7638579""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.27d""","=""2D""","=""5/2""",6,"=""""","=""5.7639459""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.28d""","=""2D""","=""3/2""",4,"=""""","=""5.7655800""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.28d""","=""2D""","=""5/2""",6,"=""""","=""5.7656568""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.29d""","=""2D""","=""3/2""",4,"=""""","=""5.7671091""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.29d""","=""2D""","=""5/2""",6,"=""""","=""5.7671795""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.30d""","=""2D""","=""3/2""",4,"=""""","=""5.7684765""","=""""","=""0.0000012""","=""L14506"""
"=""5s2.30d""","=""2D""","=""5/2""",6,"=""""","=""5.7685403""","=""""","=""0.0000012""","=""L14506"""
"=""In II (5s2 1S<0>)""","=""Limit""","=""---""",,"=""""","=""5.7863558""","=""""","=""0.0000005""","=""L21649"""
"=""5s.5p2""","=""2S""","=""1/2""",2,"=""""","=""7.055""","=""""","=""0.003""","=""L291"""
"=""5s.5p2""","=""2P""","=""1/2""",2,"=""""","=""7.397""","=""""","=""0.003""","=""L3466"""
"=""5s.5p2""","=""2P""","=""3/2""",4,"=""""","=""7.520""","=""""","=""0.003""","=""L3466"""
"=""5s.5p.(3P*).6s""","=""4P*""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""5s.5p.(3P*).6s""","=""4P*""","=""3/2""",4,"=""""","=""""","=""""","=""""","="""""
"=""5s.5p.(3P*).6s""","=""4P*""","=""5/2""",6,"=""""","=""8.5328""","=""""","=""0.0003""","=""L3466"""
"=""5s.5p.(3P*).6p""","=""2S""","=""1/2""",2,"=""""","=""9.670""","=""""","=""0.003""","=""L3466"""
"=""5d.5p.(3P*).7p""","=""2S""","=""1/2""",2,"=""""","=""10.495""","=""""","=""0.003""","=""L3466"""
"=""5s.5p.(3P*).8p""","=""2S""","=""1/2""",2,"=""""","=""10.873""","=""""","=""0.003""","=""L3466"""
