Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
C 1Fo;v=2s2.2p.3d,C 1D;v=2s2.2p2,5.5866e-09,-8.47250031925194
C 1Fo;v=2s2.2p.3d,C 1D;v=2s2.2p.3p,8.0645e-08,-0.7338331434352501
C 1Fo;v=2s2.2p.3d,C 3P;v=2s2.2p2,8.3333e-07,-9.73620490643748
C 1Fo;v=2s2.2p.3d,C 3D;v=2s2.2p.3p,6.6667e-06,-1.0960074289617907
C 1Fo;v=2s2.2p.3d,C 3P;v=2s2.2p.3p,2.3256e-05,-0.8898264633207411
C 1Po;v=2s2.2p.3d,C 1S;v=2s2.2p2,1.1851e-08,-7.0772639302332205
C 1Po;v=2s2.2p.3d,C 1D;v=2s2.2p2,1.81e-08,-8.49750735519289
C 1Po;v=2s2.2p.3d,C 1P;v=2s2.2p.3p,4.9775e-08,-1.2243033178645906
C 1Po;v=2s2.2p.3d,C 1S;v=2s2.2p.3p,4.9527e-07,-0.5895808562895102
C 1Po;v=2s2.2p.3d,C 3P;v=2s2.2p2,1.4988e-06,-9.76121194237843
C 3Po;v=2s2.2p.3d,C 3P;v=2s2.2p2,5.6817e-09,-9.83459649653534
C 3Po;v=2s2.2p.3d,C 3P;v=2s2.2p.3p,7.8739e-08,-0.9882180534186009
C 3Po;v=2s2.2p.3d,C 3S;v=2s2.2p.3p,1.1905e-07,-1.0636606977917697
C 3Po;v=2s2.2p.3d,C 3D;v=2s2.2p.3p,5.6817e-05,-1.1943990190596505
C 3Po;v=2s2.2p.3d,C 1S;v=2s2.2p2,6.6666e-05,-7.15064848439013
C 1P;v=2s2.2p.4p,C 1Po;v=2s2.2p.3s,5.3354e-07,-2.3037096456241404
C 1P;v=2s2.2p.4p,C 1Do;v=2s2.2p.3d,8.41e-07,-0.3574505965362107
C 1P;v=2s2.2p.4p,C 1Po;v=2s2.2p.4s,1.3411e-06,-0.2755609225699409
C 1P;v=2s2.2p.4p,C 1Po;v=2s2.2p.3d,1.8377e-06,-0.22708421928332
C 1P;v=2s2.2p.4p,C 3Po;v=2s2.2p.4s,1.9612e-05,-0.3047337314787413
C 3D;v=2s2.2p.4p,C 3Po;v=2s2.2p.4s,4.9446e-07,-0.3319476352419901
C 3D;v=2s2.2p.4p,C 3Fo;v=2s2.2p.3d,8.2409e-07,-0.3202809913052391
C 3D;v=2s2.2p.4p,C 3Po;v=2s.2p3,1.3436e-06,-0.6851456718735189
C 3D;v=2s2.2p.4p,C 3Do;v=2s2.2p.3d,7.5663e-06,-0.3085771529669792
C 3D;v=2s2.2p.4p,C 3Po;v=2s2.2p.3d,3.596e-05,-0.18091356888965926
C 3S;v=2s2.2p.4p,C 3Po;v=2s2.2p.4s,2.3544e-07,-0.3719564131206905
C 3S;v=2s2.2p.4p,C 3Po;v=2s.2p3,4.8695e-06,-0.7251544497522193
C 3S;v=2s2.2p.4p,C 3Po;v=2s2.2p.3s,5.2264e-06,-2.57530316536754
C 3S;v=2s2.2p.4p,C 3Po;v=2s2.2p.3d,5.4164e-06,-0.22092234676835965
C 3S;v=2s2.2p.4p,C 1Po;v=2s2.2p.4s,5.5458e-05,-0.34278360421189014
C 3P;v=2s2.2p.4p,C 3Po;v=2s2.2p.4s,4.535e-07,-0.3974965688164911
C 3P;v=2s2.2p.4p,C 3Do;v=2s2.2p.3d,6.2745e-07,-0.37412608654148016
C 3P;v=2s2.2p.4p,C 3Po;v=2s.2p3,7.0467e-07,-0.7506946054480199
C 3P;v=2s2.2p.4p,C 3Po;v=2s2.2p.3s,8.3279e-07,-2.6008433210633406
C 3P;v=2s2.2p.4p,C 3Po;v=2s2.2p.3d,1.6072e-06,-0.24646250246416024
C 1D;v=2s2.2p.4p,C 1Po;v=2s2.2p.4s,2.6933e-07,-0.42520639793299075
C 1D;v=2s2.2p.4p,C 1Po;v=2s2.2p.3s,3.7292e-07,-2.45335512098719
C 1D;v=2s2.2p.4p,C 1Fo;v=2s2.2p.3d,5.5405e-07,-0.40173673058732007
C 1D;v=2s2.2p.4p,C 1Po;v=2s2.2p.3d,2.6205e-06,-0.37672969464636985
C 1D;v=2s2.2p.4p,C 1Do;v=2s2.2p.3d,2.7702e-06,-0.5070960718992605
C 1S;v=2s2.2p.4p,C 1Po;v=2s2.2p.4s,1.4286e-07,-0.48495300487368986
C 1S;v=2s2.2p.4p,C 1Po;v=2s2.2p.3s,1.6667e-07,-2.5131017279278893
C 1S;v=2s2.2p.4p,C 3Do;v=2s2.2p.3d,1.7857e-06,-0.4907553315074793
C 1S;v=2s2.2p.4p,C 3Po;v=2s2.2p.4s,2.6316e-05,-0.5141258137824902
C 1S;v=2s2.2p.4p,C 3Po;v=2s2.2p.3d,0.00022727,-0.3630917474301594
C 1Do;v=2s2.2p.4d,C 1D;v=2s2.2p2,6.1666e-08,-9.08843960807016
C 1Do;v=2s2.2p.4d,C 1P;v=2s2.2p.4p,3.0833e-07,-0.3638480335939498
C 1Do;v=2s2.2p.4d,C 1P;v=2s2.2p.3p,9.9663e-07,-1.8152355707418604
C 1Do;v=2s2.2p.4d,C 1D;v=2s2.2p.4p,3.2034e-06,-0.21420255823089995
C 1Do;v=2s2.2p.4d,C 1D;v=2s2.2p.3p,3.5238e-06,-1.34977243225347
C 3Fo;v=2s2.2p.4d,C 3P;v=2s2.2p2,2.2464e-07,-10.3831147335703
C 3Fo;v=2s2.2p.4d,C 3D;v=2s2.2p.4p,2.3336e-07,-0.3676046681453009
C 3Fo;v=2s2.2p.4d,C 3D;v=2s2.2p.3p,4.1726e-07,-1.7429172560946107
C 3Fo;v=2s2.2p.4d,C 1D;v=2s2.2p2,4.5368e-07,-9.11941014638476
C 3Fo;v=2s2.2p.4d,C 3P;v=2s2.2p.4p,1.6098e-05,-0.3020557345707999
C 3Do;v=2s2.2p.4d,C 3P;v=2s2.2p2,9.0608e-09,-10.3921405750007
C 3Do;v=2s2.2p.4d,C 3P;v=2s2.2p.4p,4.3627e-07,-0.31108157600120023
C 3Do;v=2s2.2p.4d,C 1S;v=2s2.2p2,5.8229e-07,-7.708192562855491
C 3Do;v=2s2.2p.4d,C 1D;v=2s2.2p2,8.999e-07,-9.12843598781516
C 3Do;v=2s2.2p.4d,C 3D;v=2s2.2p.4p,1.0531e-06,-0.3766305095757012
C 2[5/2];v=2s2.2p(2Po_1/2)4f,C 3Do;v=2s2.2p.3d,7.5886e-08,-0.697556203840179
C 2[5/2];v=2s2.2p(2Po_1/2)4f,C 3Fo;v=2s2.2p.3d,8.5635e-07,-0.709260042178439
C 2[5/2];v=2s2.2p(2Po_1/2)4f,C 3Do;v=2s.2p3,1.6193e-06,-2.4585375409293198
C 2[5/2];v=2s2.2p(2Po_1/2)4f,C 1Po;v=2s2.2p.3d,2.1603e-06,-0.6432771739197687
C 2[5/2];v=2s2.2p(2Po_1/2)4f,C 3Po;v=2s2.2p.3d,3.347e-06,-0.5698926197628591
C 2[7/2];v=2s2.2p(2Po_1/2)4f,C 1Do;v=2s2.2p.3d,1.5569e-07,-0.7744370317379605
C 2[7/2];v=2s2.2p(2Po_1/2)4f,C 3Fo;v=2s2.2p.3d,1.6511e-07,-0.7100535227437401
C 2[7/2];v=2s2.2p(2Po_1/2)4f,C 3Do;v=2s2.2p.3d,3.0849e-07,-0.6983496844054802
C 2[7/2];v=2s2.2p(2Po_1/2)4f,C 1Fo;v=2s2.2p.3d,1.7481e-06,-0.66907769042602
C 2[7/2];v=2s2.2p(2Po_1/2)4f,C 3Do;v=2s.2p3,5.2443e-06,-2.459331021494621
C 1Fo;v=2s2.2p.4d,C 1D;v=2s2.2p2,9.6133e-09,-9.14418161778286
C 1Fo;v=2s2.2p.4d,C 3P;v=2s2.2p2,3.4475e-07,-10.4078862049684
