obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""415.4235""","=""0.0006""","=""415.4237""","=""0.0005""","=""20000""","=""2.0e+08""",D,"=""15.898891""","=""18.883415""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p2.(3P).4d""","=""4F""","=""7/2""",6,8,,"=""T1619CA,LS""","=""L5883""",
"=""416.3479""","=""0.0006""","=""416.3482""","=""0.0005""","=""2500""","=""6.96e+07""",D,"=""17.397368""","=""20.375264""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""","=""3s2.3p2.(1D).4d""","=""2F""","=""7/2""",8,8,,"=""u20,LS""","=""L5883""",
"=""416.3839""","=""0.0006""","=""416.3838""","=""0.0005""","=""25000""","=""2.3e+08""",D,"=""15.944265""","=""18.921907""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""","=""3s2.3p2.(3P).4d""","=""4F""","=""9/2""",8,10,,"=""T1619CA,LS""","=""L5883""",
"=""416.6274""","=""0.0006""","=""416.6272""","=""0.0005""","=""1800""","=""8.41e+07""",D,"=""17.386313""","=""20.362216""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""","=""3s2.3p2.(1D).4d""","=""2F""","=""5/2""",6,6,,"=""u20,LS""","=""L5883""",
"=""416.9545""","=""0.0012""","=""416.9543""","=""0.0007""","=""5900*""","=""4.55e+07""",E,"=""17.790363""","=""20.763931""","=""3s2.3p2.(1D).4p""","=""2P*""","=""1/2""","=""3s2.3p2.(1D).4d""","=""2D""","=""3/2""",2,4,,"=""u20,LS""","=""L5883""",
"=""416.9545""","=""0.0012""","=""416.9559""","=""0.0007""","=""5900*""","=""6.6e+07""",E,"=""15.867045""","=""18.840602""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p2.(3P).4d""","=""4F""","=""3/2""",4,4,,"=""T1619CA,LS""","=""L5883""",
"=""417.5179""","=""0.0006""","=""417.5177""","=""0.0005""","=""7700""","=""2.10e+08""",D,"=""17.386313""","=""20.355868""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""","=""3s2.3p2.(1D).4d""","=""2G""","=""7/2""",6,8,,"=""u20,LS""","=""L5883""",
"=""417.5442""","=""0.0006""","=""417.5442""","=""0.0005""","=""13000""","=""2.40e+08""",D,"=""17.397368""","=""20.366734""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""","=""3s2.3p2.(1D).4d""","=""2G""","=""9/2""",8,10,,"=""u20,LS""","=""L5883""",
"=""418.1812""","=""0.0021""","=""418.1806""","=""0.0007""","=""370""","=""3.40e+06""",E',"=""17.397368""","=""20.362216""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""","=""3s2.3p2.(1D).4d""","=""2F""","=""5/2""",8,6,,"=""u20,LS""","=""L7425c196,L3449""",
"=""418.7097""","=""0.0006""","=""418.7104""","=""0.0005""","=""1800""","=""5.40e+07""",D,"=""17.807048""","=""20.768144""","=""3s2.3p2.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4d""","=""2D""","=""5/2""",4,6,,"=""u20,LS""","=""L5883""",
