obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""114.24089""","=""0.00020""","=""114.240909""","=""0.000003""","=""2""","=""""",,"=""3.87070388""","=""14.72357611""","=""3d4.(a 3F).4s""","=""a 4F""","=""9/2""","=""3d3.(4P).4s.4p.(1P*)""","=""4D*""","=""7/2""",10,8,,"=""""","=""L18847""",
"=""114.3229""","=""0.0005""","=""114.322842""","=""0.000003""","=""2w""","=""""",,"=""3.86441085""","=""14.70950502""","=""3d4.(a 3F).4s""","=""a 4F""","=""7/2""","=""3d3.(4P).4s.4p.(1P*)""","=""4D*""","=""5/2""",8,6,,"=""""","=""L18847""",
"=""116.75133""","=""0.00020""","=""116.751189""","=""0.000003""","=""1""","=""""",,"=""2.43395932""","=""13.05348276""","=""3d4.(5D).4s""","=""a 4D""","=""3/2""","=""3d4.(5D<1>).4f""","=""2[2]*""","=""3/2""",4,4,,"=""""","=""L18847""",
"=""116.9309""","=""0.0005""","=""116.931658""","=""0.000003""","=""4p""","=""""",,"=""2.54317577""","=""13.14630927""","=""3d5""","=""a 4G""","=""11/2""","=""3d4.(5D<4>).4f""","=""2[6]*""","=""11/2""",12,12,,"=""""","=""L18847""",
"=""116.98158""","=""0.00020""","=""116.981627""","=""0.000003""","=""3""","=""""",,"=""2.48266104""","=""13.08126538""","=""3d4.(5D).4s""","=""a 4D""","=""7/2""","=""3d4.(5D<2>).4f""","=""2[3]*""","=""7/2""",8,8,,"=""""","=""L18847""",
"=""116.99821""","=""0.00020""","=""116.998068""","=""0.000004""","=""1""","=""""",,"=""3.87070388""","=""14.4678189""","=""3d4.(a 3F).4s""","=""a 4F""","=""9/2""","=""3d3.(2F).4s.4p.(3P*)""","=""4D*""","=""7/2""",10,8,,"=""""","=""L18847""",
"=""117.08401""","=""0.00020""","=""117.083879""","=""0.000003""","=""4""","=""""",,"=""2.45462173""","=""13.04397011""","=""3d4.(5D).4s""","=""a 4D""","=""5/2""","=""3d3.(4F).4s.4p.(1P*)""","=""p 4D*""","=""7/2""",6,8,,"=""""","=""L18847""",
"=""117.11883""","=""0.00020""","=""117.118778""","=""0.000003""","=""2""","=""""",,"=""2.54317577""","=""13.12936870""","=""3d5""","=""a 4G""","=""11/2""","=""3d4.(5D<4>).4f""","=""2[6]*""","=""13/2""",12,14,,"=""""","=""L18847""",
"=""117.1321""","=""0.0005""","=""117.131253""","=""0.000003""","=""2p""","=""""",,"=""3.75653126""","=""14.34159678""","=""3d4.(3H).4s""","=""a 4H""","=""11/2""","=""3d4.(5D<3>).5f""","=""2[5]*""","=""9/2""",12,10,,"=""""","=""L18847""",
"=""117.27365""","=""0.00020""","=""117.273602""","=""0.000003""","=""3""","=""""",,"=""2.54406517""","=""13.11628226""","=""3d5""","=""a 4G""","=""9/2""","=""3d4.(5D<4>).4f""","=""2[4]*""","=""9/2""",10,10,,"=""""","=""L18847""",
"=""117.31878""","=""0.00020""","=""117.318701""","=""0.000004""","=""4""","=""""",,"=""2.43395932""","=""13.0021123""","=""3d4.(5D).4s""","=""a 4D""","=""3/2""","=""3d3.(4F).4s.4p.(1P*)""","=""p 4D*""","=""5/2""",4,6,,"=""""","=""L18847""",
"=""117.32909""","=""0.00020""","=""117.328956""","=""0.000003""","=""14""","=""""",,"=""2.54317577""","=""13.11040507""","=""3d5""","=""a 4G""","=""11/2""","=""3d4.(5D<4>).4f""","=""2[7]*""","=""13/2""",12,14,,"=""""","=""L18847""",
"=""117.3638""","=""0.0005""","=""117.363477""","=""0.000003""","=""4q""","=""""",,"=""2.54406517""","=""13.10818628""","=""3d5""","=""a 4G""","=""9/2""","=""3d4.(5D<3>).4f""","=""2[4]*""","=""7/2""",10,8,,"=""""","=""L18847""",
"=""117.39483""","=""0.00020""","=""117.394726""","=""0.000003""","=""7""","=""""",,"=""2.48266104""","=""13.04397011""","=""3d4.(5D).4s""","=""a 4D""","=""7/2""","=""3d3.(4F).4s.4p.(1P*)""","=""p 4D*""","=""7/2""",8,8,,"=""""","=""L18847""",
"=""117.39912""","=""0.00020""","=""117.399215""","=""0.000004""","=""5""","=""""",,"=""2.48266104""","=""13.0435663""","=""3d4.(5D).4s""","=""a 4D""","=""7/2""","=""3d3.(4F).4s.4p.(1P*)""","=""r 4F*""","=""9/2""",8,10,,"=""""","=""L18847""",
"=""117.48133""","=""0.00020""","=""117.481959""","=""0.000003""","=""3""","=""""",,"=""2.54406517""","=""13.09753223""","=""3d5""","=""a 4G""","=""9/2""","=""3d4.(5D<3>).4f""","=""2[5]*""","=""11/2""",10,12,,"=""""","=""L18847""",
"=""117.5254""","=""0.0005""","=""117.525358""","=""0.000008""","=""2q""","=""""",,"=""2.42119186""","=""12.9707618""","=""3d4.(5D).4s""","=""a 4D""","=""1/2""","=""3d3.(4F).4s.4p.(1P*)""","=""p 4D*""","=""3/2""",2,4,,"=""""","=""L18847""",
"=""117.54020""","=""0.00020""","=""117.539969""","=""0.000004""","=""2""","=""""",,"=""2.45462173""","=""13.0028803""","=""3d4.(5D).4s""","=""a 4D""","=""5/2""","=""3d3.(4F).4s.4p.(1P*)""","=""r 4F*""","=""7/2""",6,8,,"=""""","=""L18847""",
"=""117.54855""","=""0.00020""","=""117.548527""","=""0.000004""","=""3""","=""""",,"=""2.45462173""","=""13.0021123""","=""3d4.(5D).4s""","=""a 4D""","=""5/2""","=""3d3.(4F).4s.4p.(1P*)""","=""p 4D*""","=""5/2""",6,6,,"=""""","=""L18847""",
"=""117.59157""","=""0.00020""","=""117.591433""","=""0.000003""","=""14""","=""""",,"=""2.54406517""","=""13.08770727""","=""3d5""","=""a 4G""","=""9/2""","=""3d4.(5D<3>).4f""","=""2[6]*""","=""11/2""",10,12,,"=""""","=""L18847""",
"=""117.80081""","=""0.00020""","=""117.800732""","=""0.000003""","=""12""","=""""",,"=""2.54388199""","=""13.06879101""","=""3d5""","=""a 4G""","=""7/2""","=""3d4.(5D<2>).4f""","=""2[5]*""","=""9/2""",8,10,,"=""""","=""L18847""",
