label,energy_eV
P VIII (2p4 3P<2>),263.57
P VIII (2s2.2p4 3P<1>),264.28
P VIII (2s2.2p4 3P<0>),264.53
P VIII (2s2.2p4 1D<2>),270.05
P VIII (2s2.2p4 1S<0>),277.3
