obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""54.290""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""61.567""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""61.603""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""68.798""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""71.553""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""73.038""","=""""","=""125""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""78.807""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""78.846""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""79.136""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""80.114""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""82.934""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""104.888""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""118.680""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""120.096""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""121.930""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""124.438""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""127.914""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""131.239""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""133.297""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""133.948""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""136.308""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""137.679""","=""""","=""300r""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""137.749""","=""""","=""200r""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""142.348""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""148.123""","=""""","=""300r""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""154.346""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""159.375""","=""""","=""500r""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""164.221""","=""""","=""1000r""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""167.914""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""170.210""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""172.237""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""174.137""","=""""","=""600""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""176.886""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""184.091""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""197.195""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""201.387""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""215.796""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""230.018""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""236.889""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""239.247""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""240.623""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""241.307""","=""""","=""700""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""244.518""","=""""","=""2000""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""246.916""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""248.311""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""248.721""","=""""","=""700""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""250.925""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""252.314""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""253.942""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""256.714""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""257.410""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""261.010""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""264.471""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""269.718""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""275.214""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""281.377""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""297.974""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""354.988""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""364.046""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""370.397""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""374.576""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""374.934""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""375.313""","=""""","=""600""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""377.804""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""379.188""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""380.521""","=""""","=""600""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""381.026""","=""""","=""600""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""388.278""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
