State,Lifetime /s,Energy /eV
Mn a6S;v=3d5.4s2,,0.0
Mn a6D;v=3d6(5D)4s,2.85714,2.18668366037544
Mn z8Po;v=3d5(6S)4s.4p(3Po),0.000165563,2.28156657859859
Mn a4D;v=3d6(5D)4s,1186.24,2.95309909952354
Mn z6Po;v=3d5(6S)4s.4p(3Po),6.32911e-08,3.07217077685467
Mn z4Po;v=3d5(6S)4s.4p(3Po),4.08163e-06,3.85289366244593
Mn y6Po;v=3d5(6S)4s.4p(1Po),2.69702e-09,4.42489396496039
Mn e8S;v=3d5.4s(7S)5s,8.31255e-09,4.88874534605051
Mn e6S;v=3d5.4s(7S)5s,1.98413e-08,5.13331093403821
Mn z6Do;v=3d6(5D)4p,1.04712e-08,5.23183890360823
Mn z6Fo;v=3d6(5D)4p,1.75343e-08,5.41459979443894
Mn z4Fo;v=3d6(5D)4p,1.18947e-08,5.55618648281061
Mn x6Po;v=3d6(5D)4p,1.66667e-08,5.61129618769783
Mn z4Do;v=3d6(5D)4p,9.90982e-09,5.72420599251401
Mn y4Po;v=3d6(5D)4p,4.26276e-08,5.85417562948425
Mn e6D;v=3d5.4s(7S)4d,1.31579e-08,5.86423051602273
Mn y6Do;v=3d5(4P)4s.4p(3Po),1.00402e-07,5.88318726265323
Mn w6Po;v=3d5.4s(7S)5p,2.04082e-06,5.92412590056945
Mn y6Fo;v=3d5(4G)4s.4p(3Po),8.33333e-09,5.99054270351227
Mn f6S;v=3d5.4s(5S)5s,3.0303e-08,6.1265750279268
Mn v6Po;v=3d5(4P)4s.4p(3Po),1.30208e-07,6.20914659925388
Mn z4Ho;v=3d5(4G)4s.4p(3Po),1.51515e-08,6.2113410689423
Mn f8S;v=3d5.4s(7S)6s,5.78035e-08,6.21860637536838
Mn y4Fo;v=3d5(4G)4s.4p(3Po),3.71747e-08,6.24658896342923
Mn g6S;v=3d5.4s(7S)6s,3.0303e-06,6.31123283323394
Mn x4Po;v=3d5(4P)4s.4p(3Po),3.0303e-07,6.39158513860494
Mn z4Go;v=3d5(4G)4s.4p(3Po),1.5625e-07,6.3925893874454
Mn x6Do;v=3d5(4D)4s.4p(3Po),4e-07,6.55489335745184
Mn y4Do;v=3d5(4P)4s.4p(3Po),5.64972e-07,6.58379340741632
Mn z4So;v=3d5(4P)4s.4p(3Po),8.19672e-08,6.72209459032227
Mn x4Do;v=3d5(4D)4s.4p(3Po),1.33333e-07,6.85367598469078
Mn w4Po;v=3d5.4s(5S)5p,3.663e-08,6.87565787597651
Mn i6D;v=3d6(5D)5s,2.5e-07,7.02553891588238
Mn v4Po;v=3d5(4D)4s.4p(3Po),1.65563e-07,7.09524122429092
Mn f4D;v=3d6(5D)5s,1.24378e-08,7.13042712810868
Mn y4So;v=3d6(a3P)4p,7.14286e-08,7.154442313343
Mn y4Go;v=3d5(4G)4s.4p(1Po),1.05943e-08,7.20022862158788
Mn y4Ho;v=3d6(3H)4p,1.69492e-08,7.24389484894734
Mn z4Io;v=3d6(3H)4p,4e-08,7.29548348382601
Mn 4Do;v=3d6(a3F)4p,1.6559e-08,7.32935518545749
Mn x4Fo;v=3d6(a3F)4p,2.83849e-08,7.36649999442084
Mn u4Po;v=3d6(a3P)4p,1.99203e-08,7.38535755598067
Mn 4Do;v=3d6(a3P)4p,2.2242e-08,7.3958463772033
Mn 2Do;v=3d6(a3P)4p,1.95313e-08,7.41754311141087
