obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""392.0412""","=""""","=""8.8e+06""",E,"=""5.111906""","=""8.274435""","=""3d6.(3G).4s""","=""a 2G""","=""7/2""","=""3d6.(a 1G).4p""","=""v 2G*""","=""7/2""",8,8,,"=""T1117""","=""""",
"=""""","=""392.1745""","=""""","=""2.7e+06""",E,"=""4.685354""","=""7.846809""","=""3d6.(3G).4s""","=""b 4G""","=""5/2""","=""3d5.(4G).4s.4p.(1P*)""","=""*""","=""7/2""",6,8,,"=""T1117""","=""""",
"=""""","=""392.4428""","=""""","=""1.3e+07""",E,"=""4.246523""","=""7.405817""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(a 3F).4p""","=""x 4G*""","=""9/2""",12,10,,"=""T1117""","=""""",
"=""""","=""392.5158""","=""""","=""9.4e+07""",E,"=""3.859002""","=""7.017708""","=""3d5.(6S).4s.4p.(3P*)""","=""z 4P*""","=""1/2""","=""""","=""e 4D""","=""3/2""",2,4,,"=""T1117""","=""""",
"=""392.758""","=""392.7586""","=""120""","=""5.4e+07""",D,"=""3.843653""","=""7.000406""","=""3d5.(6S).4s.4p.(3P*)""","=""z 4P*""","=""5/2""","=""""","=""e 4D""","=""7/2""",6,8,,"=""T1117""","=""L3475""",
"=""""","=""392.9404""","=""""","=""3.9e+06""",E,"=""4.712478""","=""7.867771""","=""3d6.(3H).4s""","=""a 2H""","=""11/2""","=""3d5.(4G).4s.4p.(1P*)""","=""w 4H*""","=""11/2""",12,12,,"=""T1117""","=""""",
"=""""","=""393.0754""","=""""","=""9.2e+06""",E,"=""4.258101""","=""7.412310""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(a 3F).4p""","=""x 4G*""","=""7/2""",10,8,,"=""T1117""","=""""",
"=""""","=""393.2625""","=""""","=""8.2e+06""",E,"=""4.726300""","=""7.879009""","=""3d6.(3H).4s""","=""a 2H""","=""9/2""","=""3d6.(3G).4p""","=""2H*""","=""9/2""",10,10,,"=""T1117""","=""""",
"=""""","=""393.6639""","=""""","=""2.4e+06""",E,"=""4.246523""","=""7.396017""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(a 3F).4p""","=""x 4G*""","=""11/2""",12,12,,"=""T1117""","=""""",
"=""""","=""393.7871""","=""""","=""1.2e+07""",E,"=""4.267942""","=""7.416450""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(a 3F).4p""","=""x 4G*""","=""5/2""",8,6,,"=""T1117""","=""""",
"=""""","=""393.8863""","=""""","=""3.0e+06""",E,"=""4.258101""","=""7.405817""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(a 3F).4p""","=""x 4G*""","=""9/2""",10,10,,"=""T1117""","=""""",
"=""""","=""394.3986""","=""""","=""1.8e+06""",E,"=""3.843653""","=""6.987280""","=""3d5.(6S).4s.4p.(3P*)""","=""z 4P*""","=""5/2""","=""3d6.(5D).5s""","=""i 6D""","=""7/2""",6,8,,"=""T1117""","=""""",
"=""""","=""395.3082""","=""""","=""3.1e+07""",E,"=""4.320262""","=""7.456655""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(a 3P).4p""","=""4D*""","=""1/2""",2,2,,"=""T1117""","=""""",
"=""395.396""","=""395.3952""","=""65""","=""4.1e+07""",E,"=""4.193826""","=""7.329529""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(a 3F).4p""","=""4D*""","=""5/2""",6,6,,"=""T1117""","=""L3475""",
"=""""","=""395.5684""","=""""","=""4.6e+06""",E,"=""4.712478""","=""7.846809""","=""3d6.(3H).4s""","=""a 2H""","=""11/2""","=""3d6.(3G).4p""","=""2H*""","=""11/2""",12,12,,"=""T1117""","=""""",
"=""397.701""","=""397.7011""","=""55""","=""1.8e+07""",E,"=""4.320262""","=""7.437784""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(a 3P).4p""","=""4D*""","=""3/2""",2,4,,"=""T1117""","=""L3475""",
"=""397.820""","=""397.8203""","=""65""","=""1.6e+07""",E,"=""4.272913""","=""7.389502""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""","=""3d6.(a 3P).4p""","=""2D*""","=""5/2""",4,6,,"=""T1117""","=""L3475""",
"=""""","=""397.9903""","=""""","=""7.4e+05""",E,"=""4.258101""","=""7.373358""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(a 3P).4p""","=""4D*""","=""7/2""",10,8,,"=""T1117""","=""""",
"=""""","=""398.1269""","=""""","=""1.3e+07""",E,"=""5.087255""","=""8.201443""","=""3d6.(3G).4s""","=""a 2G""","=""9/2""","=""3d6.(3G).4p""","=""*""","=""7/2""",10,8,,"=""T1117""","=""""",
"=""""","=""398.3283""","=""""","=""3.5e+07""",E,"=""4.272913""","=""7.385527""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""","=""3d6.(a 3P).4p""","=""u 4P*""","=""1/2""",4,2,,"=""T1117""","=""""",
"=""398.371""","=""398.3710""","=""130""","=""2.3e+07""",E,"=""3.134449""","=""6.246729""","=""3d5.4s2""","=""a 4G""","=""5/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""3/2""",6,4,,"=""T1117""","=""L3475""",
"=""""","=""398.3918""","=""""","=""5.5e+07""",E,"=""5.133433""","=""8.245551""","=""3d5.4s.(7S).5s""","=""e 6S""","=""5/2""","=""3d5.(4P).4s.4p.(1P*)""","=""4S*""","=""3/2""",6,4,,"=""T1117""","=""""",
"=""""","=""398.5304""","=""""","=""2.3e+06""",E,"=""3.134449""","=""6.245485""","=""3d5.4s2""","=""a 4G""","=""5/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""5/2""",6,6,,"=""T1117""","=""""",
"=""398.637""","=""398.6368""","=""150""","=""9.7e+06""",E,"=""3.135280""","=""6.245485""","=""3d5.4s2""","=""a 4G""","=""7/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""5/2""",8,6,,"=""T1117""","=""L3475""",
"=""398.796""","=""398.7947""","=""190""","=""1.1e+07""",E,"=""3.132553""","=""6.241526""","=""3d5.4s2""","=""a 4G""","=""11/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""9/2""",12,10,,"=""T1117""","=""L3475""",
"=""398.823""","=""398.8219""","=""150""","=""1.0e+07""",E,"=""3.134994""","=""6.243755""","=""3d5.4s2""","=""a 4G""","=""9/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""7/2""",10,8,,"=""T1117""","=""L3475""",
"=""""","=""398.8586""","=""""","=""1.8e+06""",E,"=""3.135280""","=""6.243755""","=""3d5.4s2""","=""a 4G""","=""7/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""7/2""",8,8,,"=""T1117""","=""""",
"=""""","=""399.1081""","=""""","=""1.5e+06""",E,"=""3.134994""","=""6.241526""","=""3d5.4s2""","=""a 4G""","=""9/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""9/2""",10,10,,"=""T1117""","=""""",
"=""""","=""399.173""","=""""","=""4.3e+05""",E,"=""3.763442""","=""6.86947""","=""3d5.4s2""","=""b 4D""","=""7/2""","=""3d5.4s.(5S).5p""","=""w 4P*""","=""5/2""",8,6,,"=""T1117""","=""""",
"=""""","=""399.2740""","=""""","=""2.1e+07""",E,"=""3.770575""","=""6.875816""","=""3d5.4s2""","=""b 4D""","=""1/2""","=""3d5.4s.(5S).5p""","=""w 4P*""","=""1/2""",2,2,,"=""T1117""","=""""",
"=""""","=""399.4968""","=""""","=""4.4e+06""",E,"=""3.772307""","=""6.875816""","=""3d5.4s2""","=""b 4D""","=""3/2""","=""3d5.4s.(5S).5p""","=""w 4P*""","=""1/2""",4,2,,"=""T1117""","=""""",
"=""""","=""399.7213""","=""""","=""4.1e+06""",E,"=""4.272913""","=""7.374679""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""","=""3d6.(a 3P).4p""","=""u 4P*""","=""5/2""",4,6,,"=""T1117""","=""""",
"=""""","=""400.0706""","=""""","=""3.9e+05""",E,"=""4.258101""","=""7.357159""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(a 3F).4p""","=""4D*""","=""7/2""",10,8,,"=""T1117""","=""""",
