obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""34.1884""","=""0.0012""","=""""","=""8.73e+06""",D,"=""30.21271""","=""66.4777""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""",5,5,,"=""T7663c11""","=""""",
"=""""","=""""","=""34.1907""","=""0.0012""","=""""","=""5.55e+06""",E,"=""30.21271""","=""66.4753""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""",5,3,,"=""T7663c11""","=""""",
"=""""","=""""","=""34.3056""","=""0.0012""","=""""","=""1.12e+07""",E,"=""30.33740""","=""66.4785""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(4S*).3p""","=""3P""","=""0""",3,1,,"=""T7663c11""","=""""",
"=""""","=""""","=""34.3064""","=""0.0012""","=""""","=""3.27e+06""",E,"=""30.33740""","=""66.4777""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""",3,5,,"=""T7663c11""","=""""",
"=""""","=""""","=""34.3087""","=""0.0012""","=""""","=""2.34e+06""",E,"=""30.33740""","=""66.4753""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""",3,3,,"=""T7663c11""","=""""",
"=""""","=""""","=""34.3737""","=""0.0012""","=""""","=""3.72e+06""",E,"=""30.40574""","=""66.4753""","=""2s.2p5""","=""3P*""","=""0""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""",1,3,,"=""T7663c11""","=""""",
"=""""","=""""","=""34.7550""","=""0.0012""","=""""","=""7.18e-03""",D,"=""30.21271""","=""65.8864""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""",5,5,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""34.7550""","=""0.0012""","=""""","=""6.47e-01""",C,"=""30.21271""","=""65.8864""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""",5,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""34.8769""","=""0.0012""","=""""","=""2.23e-03""",D,"=""30.33740""","=""65.8864""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""",3,5,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""34.8769""","=""0.0012""","=""""","=""1.28e+00""",C,"=""30.33740""","=""65.8864""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""",3,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""34.9441""","=""0.0012""","=""""","=""3.14e-01""",C,"=""30.40574""","=""65.8864""","=""2s.2p5""","=""3P*""","=""0""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""",1,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""35.5294""","=""0.0013""","=""""","=""3.18e+02""",C+,"=""30.21271""","=""65.1089""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",5,3,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""35.5294""","=""0.0013""","=""""","=""3.49e-04""",E,"=""30.21271""","=""65.1089""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",5,3,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""35.5322""","=""0.0013""","=""""","=""7.78e-04""",D,"=""30.21271""","=""65.1062""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",5,5,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""35.5322""","=""0.0013""","=""""","=""7.16e+02""",B,"=""30.21271""","=""65.1062""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",5,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""35.5362""","=""0.0013""","=""""","=""7.75e+02""",B,"=""30.21271""","=""65.1022""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""",5,7,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""35.5362""","=""0.0013""","=""""","=""5.67e-04""",D,"=""30.21271""","=""65.1022""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""",5,7,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""35.6568""","=""0.0013""","=""""","=""8.51e-04""",E,"=""30.33740""","=""65.1089""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",3,3,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""35.6568""","=""0.0013""","=""""","=""8.36e+02""",B,"=""30.33740""","=""65.1089""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",3,3,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""35.6596""","=""0.0013""","=""""","=""8.06e+01""",C+,"=""30.33740""","=""65.1062""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",3,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""35.6596""","=""0.0013""","=""""","=""8.07e-07""",E,"=""30.33740""","=""65.1062""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",3,5,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""35.6637""","=""0.0013""","=""""","=""3.83e+02""",B,"=""30.33740""","=""65.1022""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""",3,7,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""35.7270""","=""0.0013""","=""""","=""2.09e-04""",E,"=""30.40574""","=""65.1089""","=""2s.2p5""","=""3P*""","=""0""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",1,3,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""35.7298""","=""0.0013""","=""""","=""3.60e+02""",B,"=""30.40574""","=""65.1062""","=""2s.2p5""","=""3P*""","=""0""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",1,5,E2,"=""T7663c11""","=""""",
"=""36.0760""","=""0.0002""","=""36.0761""","=""0.0004""","=""10""","=""1.38e+09""",B+,"=""8.24445""","=""42.61188""","=""2s2.2p4""","=""1S""","=""0""","=""2s.2p5""","=""1P*""","=""1""",1,3,,"=""T7663c11,T6145""","=""L3834""",
