label,energy_eV
Cl II (3p4 3P<2>),12.967633
Cl II (3p4 3P<1>),13.05392
Cl II (3p4 3P<0>),13.09118
Cl II (3p4 1D<2>),14.41249
Cl II (3p4 1S<0>),16.42406
