obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""9.1917""","=""0.0005""","=""9.1917""","=""0.0006""","=""0""","=""""",,"=""0.000""","=""134.887""","=""3s2""","=""1S""","=""0""","=""3s.7p""","=""1P*""","=""1""",1,3,,"=""""","=""L3851""",
"=""9.7793""","=""0.0005""","=""9.7793""","=""0.0006""","=""1""","=""""",,"=""0.000""","=""126.782""","=""3s2""","=""1S""","=""0""","=""3s.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L3851""",
"=""10.3086""","=""0.0005""","=""10.3086""","=""0.0007""","=""0""","=""""",,"=""16.020""","=""136.292""","=""3s.3p""","=""3P*""","=""1""","=""3s.7d""","=""3D""","=""1,2,3""",3,15,,"=""""","=""L3851""",
"=""10.3351""","=""0.0005""","=""10.3339""","=""0.0007""","=""0""","=""""",,"=""16.314""","=""136.292""","=""3s.3p""","=""3P*""","=""2""","=""3s.7d""","=""3D""","=""1,2,3""",5,15,,"=""""","=""L3851""",
"=""10.9303""","=""0.0005""","=""10.9303""","=""0.0008""","=""0""","=""""",,"=""15.882""","=""129.314""","=""3s.3p""","=""3P*""","=""0""","=""3s.6d""","=""3D""","=""1""",1,3,,"=""""","=""L3851""",
"=""10.9434""","=""0.0005""","=""10.9434""","=""0.0008""","=""1""","=""""",,"=""16.020""","=""129.316""","=""3s.3p""","=""3P*""","=""1""","=""3s.6d""","=""3D""","=""2""",3,5,,"=""""","=""L3851""",
"=""10.9535""","=""0.0005""","=""10.9535""","=""0.0008""","=""3""","=""""",,"=""0.000""","=""113.191""","=""3s2""","=""1S""","=""0""","=""3s.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L3851""",
"=""10.9711""","=""0.0005""","=""10.9711""","=""0.0008""","=""2""","=""""",,"=""16.314""","=""129.324""","=""3s.3p""","=""3P*""","=""2""","=""3s.6d""","=""3D""","=""3""",5,7,,"=""""","=""L3851""",
"=""11.3858""","=""0.0005""","=""11.3861""","=""0.0008""","=""0""","=""""",,"=""16.020""","=""124.910""","=""3s.3p""","=""3P*""","=""1""","=""3s.6s""","=""3S""","=""1""",3,3,,"=""""","=""L3851""",
"=""11.4173""","=""0.0005""","=""11.4170""","=""0.0008""","=""0""","=""""",,"=""16.314""","=""124.910""","=""3s.3p""","=""3P*""","=""2""","=""3s.6s""","=""3S""","=""1""",5,3,,"=""""","=""L3851""",
