obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""12.4417""","=""12.44162""","=""6g""","=""3.26e+10""",D,"=""0.0000""","=""99.6528""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).4d""","=""2S""","=""1/2""",4,2,,"=""T4781""","=""L1965""",
"=""12.4527""","=""12.45246""","=""3g,bl""","=""4.48e+09""",E,"=""0.0000""","=""99.5660""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).4d""","=""2D""","=""3/2""",4,4,,"=""T4781""","=""L1965""",
"=""12.4541""","=""12.45401""","=""7g,bl""","=""1.93e+10""",D,"=""0.0000""","=""99.5536""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).4d""","=""2D""","=""5/2""",4,6,,"=""T4781""","=""L1965""",
"=""12.4640""","=""12.46407""","=""5g,bl""","=""1.59e+10""",E,"=""0.0000""","=""99.4733""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).4d""","=""2P""","=""1/2""",4,2,,"=""T4781""","=""L1965""",
"=""12.4652""","=""12.46504""","=""8g,bl""","=""3.32e+10""",D,"=""0.0000""","=""99.4656""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).4d""","=""2P""","=""3/2""",4,4,,"=""T4781""","=""L1965""",
"=""12.4763""","=""12.47620""","=""5g""","=""1.87e+10""",E,"=""0.2762""","=""99.6528""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).4d""","=""2S""","=""1/2""",2,2,,"=""T4781""","=""L1965""",
"=""12.4872""","=""12.48711""","=""6g""","=""1.90e+10""",D,"=""0.2762""","=""99.5660""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).4d""","=""2D""","=""3/2""",2,4,,"=""T4781""","=""L1965""",
"=""12.4987""","=""12.49878""","=""6g,bl""","=""2.81e+10""",E,"=""0.2762""","=""99.4733""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).4d""","=""2P""","=""1/2""",2,2,,"=""T4781""","=""L1965""",
"=""12.4999""","=""12.49975""","=""5g,bl""","=""7.56e+09""",E,"=""0.2762""","=""99.4656""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).4d""","=""2P""","=""3/2""",2,4,,"=""T4781""","=""L1965""",
"=""12.5462""","=""12.54617""","=""5g""","=""""",,"=""0.0000""","=""98.8223""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1S).4s""","=""2S""","=""1/2""",4,2,,"=""""","=""L1965""",
