Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p4.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""83.99333""","=""""","=""""","=""  79             :    20  2s2.2p4.(3P).3d    4F    ""","="""""
"=""2s2.2p4.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""84.11027""","=""""","=""""","=""  77             :    11  2s2.2p4.(3P).3d    4F    ""","="""""
"=""2s2.2p4.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""84.05881""","=""""","=""""","=""  99                                               ""","="""""
"=""2s2.2p4.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""84.11439""","=""""","=""""","=""  96             :     1  2s2.2p4.(3P).3d    2D    ""","="""""
"=""2s2.2p4.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""84.19777""","=""""","=""""","=""  89             :     6  2s2.2p4.(3P).3d    2F    ""","="""""
"=""2s2.2p4.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""84.31343""","=""""","=""""","=""  82             :    11  2s2.2p4.(3P).3d    2P    ""","="""""
"=""2s2.2p4.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""84.37040""","=""""","=""""","=""  83             :     8  2s2.2p4.(3P).3d    2F    ""","="""""
"=""2s2.2p4.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""84.43613""","=""""","=""""","=""  95             :     4  2s2.2p4.(1D).3d    2P    ""","="""""
"=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""84.61584""","=""""","=""""","=""  85             :    12  2s2.2p4.(3P).3d    2D    ""","="""""
"=""2s2.2p4.(1S).3p""","=""2P*""","=""1/2""",2,"=""""","=""84.66277""","=""""","=""""","=""  99             :     1  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(1S).3p""","=""2P*""","=""3/2""",4,"=""""","=""84.66751""","=""""","=""""","=""  99                                               ""","="""""
"=""2s2.2p4.(1D).3d""","=""2G""","=""9/2""",10,"=""""","=""87.91324""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3d""","=""2G""","=""7/2""",8,"=""""","=""87.91362""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""88.23121""","=""""","=""""","=""  97             :     3  2s2.2p4.(3P).3d    2P    ""","="""""
"=""2s2.2p4.(1D).3d""","=""2P""","=""1/2""",2,"=""""","=""88.26193""","=""""","=""""","=""  90             :     7  2s2.2p4.(1D).3d    2S    ""","="""""
"=""2s2.2p4.(1D).3d""","=""2S""","=""1/2""",2,"=""""","=""88.29219""","=""""","=""""","=""  91             :     7  2s2.2p4.(1D).3d    2P    ""","="""""
"=""2s2.2p4.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""88.45169""","=""""","=""""","=""  95             :     3  2s2.2p4.(1D).3d    2F    ""","="""""
"=""2s2.2p4.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""88.48535""","=""""","=""""","=""  97             :     2  2s2.2p4.(3P).3d    2D    ""","="""""
"=""2s2.2p4.(1D).3d""","=""2F""","=""5/2""",6,"=""""","=""88.56643""","=""""","=""""","=""  97             :     3  2s2.2p4.(1D).3d    2D    ""","="""""
"=""2s2.2p4.(1D).3d""","=""2F""","=""7/2""",8,"=""""","=""88.56846""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""89.24194""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""89.39801""","=""""","=""""","=""  88             :    12  2s2.2p4.(3P).4s    2P    ""","="""""
"=""2s2.2p4.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""89.51681""","=""""","=""""","=""  98             :     2  2s2.2p4.(3P).4s    2P    ""","="""""
"=""2s2.2p4.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""89.67372""","=""""","=""""","=""  88             :    12  2s2.2p4.(3P).4s    4P    ""","="""""
"=""2s2.2p4.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""89.86577""","=""""","=""""","=""  98             :     2  2s2.2p4.(3P).4s    4P    ""","="""""
"=""2s2.2p4.(1S).3d""","=""2D""","=""5/2""",6,"=""""","=""93.35163""","=""""","=""""","=""  99             :     1  2s2.2p4.(1D).3d    2D    ""","="""""
"=""2s2.2p4.(1S).3d""","=""2D""","=""3/2""",4,"=""""","=""93.35978""","=""""","=""""","=""  99             :     1  2s2.2p4.(1D).3d    2D    ""","="""""
"=""2s2.2p4.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""93.83944""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""93.84064""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).4d""","=""4P""","=""1/2""",2,"=""""","=""95.1379""","=""?""","=""""","=""  93             :     4  2s2.2p4.(3P).4d    4D    ""","="""""
"=""2s2.2p4.(3P).4d""","=""4P""","=""3/2""",4,"=""""","=""95.193""","=""""","=""""","=""  70             :    16  2s2.2p4.(3P).4d    4F    ""","="""""
"=""2s2.2p4.(3P).4d""","=""4P""","=""5/2""",6,"=""""","=""95.2867""","=""""","=""""","=""  58             :    19  2s2.2p4.(3P).4d    4F    ""","="""""
"=""2s2.2p4.(3P).4d""","=""4F""","=""9/2""",10,"=""""","=""""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).4d""","=""4F""","=""7/2""",8,"=""""","=""""","=""""","=""""","=""  58             :    40  2s2.2p4.(3P).4d    2F    ""","="""""
"=""2s2.2p4.(3P).4d""","=""4F""","=""5/2""",6,"=""""","=""95.1565""","=""""","=""""","=""  62             :    18  2s2.2p4.(3P).4d    2F    ""","="""""
