label,energy_eV
Mg V (2p4 3P<2>),109.2654
Mg V (2s2.2p4 3P<1>),109.4865
Mg V (2s2.2p4 3P<0>),109.5781
Mg V (2s2.2p4 1D<2>),113.0997
Mg V (2s2.2p4 1S<0>),118.8468
