State,Lifetime /s,Energy /eV
H 2S;v=1s,,0.0
H 2Po;v=2p,1.59619e-09,10.1985685114677
H 2S;v=2s,400802.0,10.1985809096015
H 2Po;v=3p,5.27151e-09,12.0872134326341
H 2S;v=3s,1.58371e-07,12.0872134326341
H 2D;v=3d,1.54673e-08,12.087225830768
