obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""2.3024314""","=""0.0000013""","=""""","=""6.290e+10""",AA,"=""0.00000""","=""(538.4925)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""2.3282137""","=""0.0000014""","=""""","=""1.091e+11""",AA,"=""0.00000""","=""(532.5293)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""2.3771641""","=""0.0000014""","=""""","=""2.145e+11""",AA,"=""0.00000""","=""(521.5635)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""2.382778""","=""0.000003""","=""""","=""4.59e+01""",C,"=""0.00000""","=""(520.3346)""","=""1s2""","=""1S""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
"=""""","=""2.4900454""","=""0.0000019""","=""""","=""5.158e+11""",AA,"=""0.00000""","=""(497.9194)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""2.4914477""","=""0.0000013""","=""""","=""5.777e+07""",AA,"=""0.00000""","=""(497.6392)""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T3908""","=""""",
"=""""","=""2.505112""","=""0.000003""","=""""","=""8.36e+01""",C,"=""0.00000""","=""(494.9247)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
"=""""","=""2.8786962""","=""0.0000006""","=""""","=""1.809e+12""",AA,"=""0.00000""","=""(430.6956649)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""2.9081856""","=""0.0000006""","=""""","=""1.03e+05""",A,"=""0.00000""","=""(426.3283574)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T1494""","=""""",
"=""""","=""2.9084317""","=""0.0000006""","=""""","=""""",,"=""0.00000""","=""(426.2922780)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
"=""""","=""2.9534682""","=""0.0000006""","=""""","=""2.55e+02""",A+,"=""0.00000""","=""(419.791888)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",1,3,M1,"=""T1896,T6117""","=""""",
