obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""486.320""","=""486.3192+""","=""2h""","=""""",,"=""11.30345525""","=""13.852896""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L7408""",
"=""486.627""","=""486.6264+""","=""2h""","=""""",,"=""11.30345525""","=""13.851287""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",3,3,,"=""""","=""L7408""",
"=""486.860""","=""486.8595+""","=""1h""","=""""",,"=""11.30345525""","=""13.850067""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""0""",3,1,,"=""""","=""L7408""",
"=""491.176""","=""491.1757+""","=""2""","=""""",,"=""11.30345525""","=""13.827689""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L7408""",
"=""493.176""","=""493.1726+""","=""4h""","=""""",,"=""11.30345525""","=""13.817467""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L7408""",
"=""493.586""","=""493.5821+""","=""4h""","=""""",,"=""11.30345525""","=""13.815382""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",3,3,,"=""""","=""L7408""",
"=""493.976""","=""493.9754+""","=""2h""","=""""",,"=""11.30345525""","=""13.813382""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""",3,1,,"=""""","=""L7408""",
"=""495.665""","=""495.66535+""","=""15""","=""""",,"=""10.64363486""","=""13.1450040""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",3,5,,"=""""","=""L7408""",
"=""497.047""","=""497.04612+""","=""20""","=""""",,"=""10.64363486""","=""13.1380553""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",3,5,,"=""""","=""L7408""",
"=""497.075""","=""497.07369+""","=""15""","=""""",,"=""10.64363486""","=""13.1379169""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",3,3,,"=""""","=""L7408""",
