obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""8.882""","=""""","=""""","=""4.71e+09""",A,"=""256.712""","=""396.30""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",4,4,,"=""T5331""","=""""",
"=""""","=""""","=""9.046""","=""""","=""""","=""1.40e+09""",B+,"=""258.89""","=""395.96""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""1/2""",4,2,,"=""T5331""","=""""",
"=""""","=""""","=""9.046""","=""""","=""""","=""1.37e+08""",B+,"=""258.89""","=""395.96""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",4,4,,"=""T5331""","=""""",
"=""""","=""""","=""9.049""","=""""","=""""","=""1.24e+09""",A,"=""258.945""","=""395.96""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.6p""","=""2P*""","=""3/2""",6,4,,"=""T5331""","=""""",
"=""""","=""""","=""9.9083""","=""""","=""""","=""2.25e+10""",A+,"=""250.504""","=""375.63""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""3/2""",2,4,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""9.9083""","=""""","=""""","=""2.26e+10""",A+,"=""250.504""","=""375.63""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""1/2""",2,2,,"=""T7164,T5331""","=""""",
"=""10.38""","=""0.02""","=""10.3671""","=""""","=""*""","=""4.24e+10""",A+,"=""256.495""","=""[376.089]""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",2,4,,"=""T7164,T5331""","=""L6967""",
"=""10.38""","=""0.02""","=""10.3848""","=""""","=""*""","=""5.09e+10""",A+,"=""256.712""","=""[376.102]""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",4,6,,"=""T7164,T5331""","=""L6967""",
"=""""","=""""","=""10.3859""","=""""","=""""","=""8.48e+09""",A+,"=""256.712""","=""[376.089]""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",4,4,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""10.5160""","=""""","=""""","=""6.42e+09""",A,"=""256.495""","=""374.40""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",2,2,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""10.5354""","=""""","=""""","=""1.29e+10""",A+,"=""256.712""","=""374.40""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",4,2,,"=""T7164,T5331""","=""""",
"=""10.570""","=""0.020""","=""10.5753""","=""""","=""*""","=""""",,"=""258.89""","=""[376.13]""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.5f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L6967""",
"=""10.570""","=""0.020""","=""10.5794""","=""""","=""*""","=""""",,"=""258.945""","=""[376.138]""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.5f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L6967""",
"=""""","=""""","=""10.6202""","=""""","=""""","=""2.66e+09""",A,"=""258.89""","=""375.63""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""1/2""",4,2,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""10.6202""","=""""","=""""","=""2.63e+08""",A,"=""258.89""","=""375.63""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""3/2""",4,4,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""10.6251""","=""""","=""""","=""2.34e+09""",A,"=""258.945""","=""375.63""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.5p""","=""2P*""","=""3/2""",6,4,,"=""T7164,T5331""","=""""",
"=""14.1556""","=""0.0010""","=""14.155""","=""""","=""""","=""4.01e+10""",A+,"=""250.504""","=""338.094""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",2,4,,"=""T7164,T5331""","=""L5314""",
"=""14.1715""","=""0.0010""","=""14.171""","=""""","=""""","=""4.02e+10""",A+,"=""250.504""","=""337.996""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",2,2,,"=""T7164""","=""L5314""",
"=""""","=""""","=""14.413""","=""""","=""""","=""1.81e+09""",B,"=""335.46""","=""421.48""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""3/2""",2,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""14.413""","=""""","=""""","=""1.82e+09""",B,"=""335.46""","=""421.48""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""1/2""",2,2,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""15.029""","=""""","=""""","=""3.93e+08""",C+,"=""338.986""","=""421.48""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.9p""","=""2P*""","=""1/2""",4,2,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""15.029""","=""""","=""""","=""3.93e+07""",C+,"=""338.986""","=""421.48""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.9p""","=""2P*""","=""3/2""",4,4,,"=""T5118c4,LS""","=""""",
"=""15.0295""","=""0.0010""","=""15.030""","=""""","=""""","=""8.57e+10""",AA,"=""256.495""","=""338.986""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.4d""","=""2D""","=""3/2""",2,4,,"=""T7164,T5331""","=""L5314""",
"=""""","=""""","=""15.036""","=""""","=""""","=""3.53e+08""",C+,"=""339.027""","=""421.48""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.9p""","=""2P*""","=""3/2""",6,4,,"=""T5118c4,LS""","=""""",
"=""15.0629""","=""0.0010""","=""15.062""","=""""","=""""","=""1.03e+11""",AA,"=""256.712""","=""339.027""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""5/2""",4,6,,"=""T7164,T5331""","=""L5314""",
"=""""","=""""","=""15.070""","=""""","=""""","=""1.71e+10""",A+,"=""256.712""","=""338.986""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""3/2""",4,4,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""15.366""","=""""","=""""","=""2.58e+09""",B+,"=""335.46""","=""416.15""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",2,4,,"=""T5118c4,LS""","=""""",
