obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""0.93670""","=""14""","=""""",,"=""50.23""","=""1373.86""","=""1s2.2p2""","=""1D""","=""2""","=""1s.2p3""","=""1P*""","=""1""",5,3,,"=""""","=""L4330""",
"=""0.9384""","=""0.93830""","=""43bl*""","=""""",,"=""0.0000""","=""[1321.37]""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s2.2p""","=""1P*""","=""1""",1,3,,"=""""","=""L4330""",
"=""0.9384""","=""0.93885""","=""43bl*""","=""""",,"=""45.791""","=""[1366.39]""","=""1s2.2p2""","=""3P""","=""2""","=""1s.2p3""","=""3P*""","=""2""",5,5,,"=""""","=""L4330""",
"=""0.9393""","=""0.93930""","=""49""","=""""",,"=""33.6849""","=""1353.65""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s.(2S).2s.2p2.(2P)""","=""1P""","=""1""",3,3,,"=""""","=""L4330""",
"=""0.9411""","=""0.94116""","=""86bl*""","=""""",,"=""17.8650""","=""[1335.22]""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""2""",5,5,,"=""""","=""L4330""",
"=""0.9411""","=""0.94126""","=""*""","=""""",,"=""17.4203""","=""[1334.64]""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""1""",1,3,,"=""""","=""L4330""",
"=""0.9411""","=""0.94127""","=""*""","=""""",,"=""17.5600""","=""[1334.76]""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""0""",3,1,,"=""""","=""L4330""",
"=""0.9411""","=""0.94141""","=""*""","=""""",,"=""17.5600""","=""[1334.57]""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""2""",3,5,,"=""""","=""L4330""",
"=""0.9430""","=""0.94168""","=""32bl*""","=""""",,"=""17.8650""","=""[1334.49]""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""3""",5,7,,"=""""","=""L4330""",
"=""0.9430""","=""0.94303""","=""32bl*""","=""""",,"=""50.23""","=""[1364.97]""","=""1s2.2p2""","=""1D""","=""2""","=""1s.2p3""","=""1D*""","=""2""",5,5,,"=""""","=""L4330""",
"=""0.9430""","=""0.94475""","=""32bl*""","=""""",,"=""45.3604""","=""[1357.71]""","=""1s2.2p2""","=""3P""","=""0""","=""1s.2p3""","=""3D*""","=""1""",1,3,,"=""""","=""L4330""",
"=""0.9430""","=""0.94477""","=""32bl*""","=""""",,"=""33.6849""","=""[1346.01]""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s.(2S).2s.2p2.(2D)""","=""1D""","=""2""",3,5,,"=""""","=""L4330""",
"=""0.9430""","=""0.94487""","=""32bl*""","=""""",,"=""45.5219""","=""[1357.70]""","=""1s2.2p2""","=""3P""","=""1""","=""1s.2p3""","=""3D*""","=""2""",3,5,,"=""""","=""L4330""",
"=""0.9454""","=""0.94507""","=""25bl*""","=""""",,"=""61.9466""","=""1373.86""","=""1s2.2p2""","=""1S""","=""0""","=""1s.2p3""","=""1P*""","=""1""",1,3,,"=""""","=""L4330""",
"=""0.9454""","=""0.94516""","=""25bl*""","=""""",,"=""45.791""","=""[1357.56]""","=""1s2.2p2""","=""3P""","=""2""","=""1s.2p3""","=""3D*""","=""3""",5,7,,"=""""","=""L4330""",
"=""4.0638""","=""4.06380""","=""10g""","=""1.74e+10""",D,"=""0.0000""","=""305.094""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.7p""","=""1P*""","=""1""",1,3,,"=""c6,LS""","=""L753""",
"=""4.1803""","=""4.18030""","=""40g""","=""4.22e+10""",D,"=""0.0000""","=""296.591""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.6p""","=""1P*""","=""1""",1,3,,"=""c6,LS""","=""L753""",
"=""4.3087""","=""4.30910""","=""10""","=""2.11e+10""",D,"=""17.5600""","=""305.286""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.7d""","=""3D""","=""2""",3,5,,"=""c6,LS""","=""L753""",
"=""""","=""4.31367""","=""""","=""6.99e+09""",D,"=""17.8650""","=""305.286""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.7d""","=""3D""","=""2""",5,5,,"=""c6,LS""","=""""",
"=""4.3138""","=""4.31367""","=""20""","=""2.79e+10""",D,"=""17.8650""","=""305.286""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.7d""","=""3D""","=""3""",5,7,,"=""c6,LS""","=""L753""",
"=""""","=""4.34345""","=""""","=""9.48e+09""",D,"=""17.5600""","=""303.011""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.5p""","=""3P""","=""2""",3,5,,"=""c6,LS""","=""""",
"=""4.3481""","=""4.34809""","=""50""","=""2.83e+10""",D,"=""17.8650""","=""303.011""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.5p""","=""3P""","=""2""",5,5,,"=""c6,LS""","=""L753""",
"=""4.3843""","=""4.38429""","=""60g""","=""5.63e+10""",D,"=""0.0000""","=""282.792""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.5p""","=""1P*""","=""1""",1,3,,"=""c6,LS""","=""L753""",
"=""""","=""4.42809""","=""""","=""2.60e+10""",D,"=""0.0000""","=""279.995""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.4d""","=""1P*""","=""1""",1,3,,"=""c6,LS""","=""""",
"=""4.4373""","=""4.43723""","=""40""","=""3.92e+10""",D,"=""17.5600""","=""296.978""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.6d""","=""3D""","=""2""",3,5,,"=""c6,LS""","=""L753""",
"=""4.4420""","=""4.44208""","=""60""","=""5.22e+10""",C,"=""17.8650""","=""296.978""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D""","=""3""",5,7,,"=""c6,LS""","=""L753""",
"=""""","=""4.44208""","=""""","=""1.30e+10""",D,"=""17.8650""","=""296.978""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D""","=""2""",5,5,,"=""c6,LS""","=""""",
"=""4.4983""","=""4.4983""","=""20""","=""""",,"=""50.23""","=""325.850?""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2p.7d""","=""1F*""","=""3""",5,7,,"=""""","=""L753""",
"=""4.5635""","=""4.56349""","=""40""","=""2.83e+10""",D,"=""33.6849""","=""305.372""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.7d""","=""1D""","=""2""",3,5,,"=""c6,LS""","=""L753""",
"=""4.5980""","=""4.59799""","=""20""","=""4.17e+10""",D,"=""33.6849""","=""303.334""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p.5p""","=""1D""","=""2""",3,5,,"=""c6,LS""","=""L753""",
"=""4.6340""","=""4.6340""","=""40""","=""""",,"=""50.23""","=""317.779?""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2p.6d""","=""1F*""","=""3""",5,7,,"=""""","=""L753""",
"=""4.6657""","=""4.66573""","=""160""","=""6.54e+10""",D,"=""17.5600""","=""283.294""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D""","=""2""",3,5,,"=""c6,LS""","=""L753""",
"=""""","=""4.67109""","=""""","=""2.18e+10""",E,"=""17.8650""","=""283.294""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""2""",5,5,,"=""c6,LS""","=""""",
"=""4.6711""","=""4.67109""","=""10""","=""8.71e+10""",D,"=""17.8650""","=""283.294""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""3""",5,7,,"=""c6,LS""","=""L7429""",
"=""4.7041""","=""4.70410""","=""60""","=""3.87e+10""",D,"=""33.6849""","=""297.251""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.6d""","=""1D""","=""2""",3,5,,"=""c6,LS""","=""L753""",
"=""""","=""4.77619""","=""""","=""1.79e+10""",D,"=""17.5600""","=""277.148""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.4p""","=""3P""","=""2""",3,5,,"=""c6,LS""","=""""",
"=""4.7818""","=""4.78181""","=""10""","=""5.37e+10""",C,"=""17.8650""","=""277.148""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3P""","=""2""",5,5,,"=""c6,LS""","=""L7429""",
"=""4.7947""","=""4.79469""","=""100""","=""5.82e+10""",D,"=""17.8650""","=""276.451""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3D""","=""3""",5,7,,"=""c6,LS""","=""L7429""",
"=""4.8024""","=""4.8024""","=""10""","=""1.27e+11""",D,"=""45.791""","=""303.962""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2p.5d""","=""3D*""","=""3""",5,7,,"=""c6,LS""","=""L7429""",
"=""4.8340""","=""4.83400""","=""100g""","=""1.36e+11""",D,"=""0.0000""","=""256.484""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.4p""","=""1P*""","=""1""",1,3,,"=""c6,LS""","=""L7429""",
"=""""","=""4.8646""","=""""","=""7.94e+08""",E,"=""50.23""","=""305.094""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.7p""","=""1P*""","=""1""",5,3,,"=""c6,LS""","=""""",
"=""4.8794""","=""4.8794""","=""10""","=""1.58e+11""",D+,"=""50.23""","=""304.323""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2p.5d""","=""1F*""","=""3""",5,7,,"=""c6,LS""","=""L7429""",
"=""4.9586""","=""4.95861""","=""1""","=""7.83e+10""",D,"=""33.6849""","=""283.723""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.5d""","=""1D""","=""2""",3,5,,"=""c6,LS""","=""L7429""",
"=""""","=""5.0325""","=""""","=""3.89e+08""",E,"=""50.23""","=""296.591""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.6p""","=""1P*""","=""1""",5,3,,"=""c6,LS""","=""""",
