obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""40.5774""","=""""","=""""","=""a,w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L6851""",
"=""40.6170""","=""""","=""""","=""a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L6851""",
"=""40.6764""","=""""","=""""","=""a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L6851""",
"=""40.9259""","=""""","=""""","=""a,w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L6851""",
"=""40.9760""","=""""","=""""","=""a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L6851""",
"=""41.1016""","=""""","=""""","=""a,w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L6851""",
"=""42.2514""","=""42.2515""","=""0.0007""","=""a""","=""""",,"=""0.00000000""","=""29.3443""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).23s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
"=""42.2567""","=""42.2567""","=""0.0007""","=""a""","=""""",,"=""0.00000000""","=""29.3407""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).22s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
"=""42.2634""","=""42.2633""","=""0.0007""","=""a""","=""""",,"=""0.00000000""","=""29.3361""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).21s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
"=""42.2710""","=""42.2710""","=""0.0007""","=""a""","=""""",,"=""0.00000000""","=""29.3308""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).20s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
"=""42.2803""","=""42.2803""","=""0.0007""","=""a""","=""""",,"=""0.00000000""","=""29.3244""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).19s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
"=""42.2909""","=""42.2910""","=""0.0007""","=""a""","=""""",,"=""0.00000000""","=""29.3169""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).18s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
"=""42.3042""","=""42.3042""","=""0.0007""","=""a""","=""""",,"=""0.00000000""","=""29.3078""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).17s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
"=""42.3191""","=""42.3191""","=""0.0007""","=""a""","=""""",,"=""0.00000000""","=""29.2975""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).16s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
"=""42.3374""","=""42.3374""","=""0.0007""","=""a,w""","=""""",,"=""0.00000000""","=""29.2848""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).15s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
"=""42.3603""","=""42.3603""","=""0.0007""","=""a,w""","=""""",,"=""0.00000000""","=""29.2689""","=""3p6.4s""","=""2S""","=""1/2""","=""3p5.3d.(1P*).14s""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L6851""",
