obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""249.407""","=""0.006""","=""249.407""","=""0.004""","=""56000u""","=""""",,"=""4.07788079""","=""9.04904""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.9s""","=""3S""","=""1""",5,3,,"=""""","=""L3428""",
"=""250.025""","=""0.008""","=""250.0164""","=""0.0007""","=""*""","=""""",,"=""4.02965990""","=""8.988703""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8p""","=""3P*""","=""1""",3,3,M1+E2,"=""""","=""L18491""",
"=""250.025""","=""0.008""","=""250.0350""","=""0.0010""","=""*""","=""""",,"=""4.02965990""","=""8.988334""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8p""","=""3P*""","=""0""",3,1,M1+E2,"=""""","=""L18491""",
"=""251.00""","=""0.08""","=""251.07649""","=""0.00009""","=""*""","=""""",,"=""4.07788079""","=""9.0159855""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6h""","=""(1/2,9/2)*""","=""4""",5,9,E2,"=""""","=""L18491""",
"=""251.00""","=""0.08""","=""251.07649""","=""0.00010""","=""*""","=""""",,"=""4.07788079""","=""9.0159855""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6h""","=""(1/2,9/2)*""","=""5""",5,11,HF,"=""""","=""L18491""",
"=""251.00""","=""0.08""","=""251.07649""","=""0.00010""","=""*""","=""""",,"=""4.07788079""","=""9.0159855""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6h""","=""(1/2,11/2)*""","=""6""",5,13,HF,"=""""","=""L18491""",
"=""251.124""","=""0.015""","=""251.10538""","=""0.00008""","=""*""","=""""",,"=""4.07788079""","=""9.0154174""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6g""","=""3G""","=""3""",5,7,,"=""""","=""L18491""",
"=""251.124""","=""0.015""","=""251.10538""","=""0.00009""","=""*""","=""""",,"=""4.07788079""","=""9.0154174""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6g""","=""3G""","=""4""",5,9,HF,"=""""","=""L18491""",
"=""251.124""","=""0.015""","=""251.10538""","=""0.00009""","=""*""","=""""",,"=""4.07788079""","=""9.0154174""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6g""","=""3G""","=""5""",5,11,HF,"=""""","=""L18491""",
"=""251.241""","=""0.015""","=""251.2320""","=""0.0013""","=""*""","=""""",,"=""4.07788079""","=""9.012930""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6f""","=""3F*""","=""2""",5,5,M1+E2,"=""""","=""L18491""",
"=""251.241""","=""0.015""","=""251.2320""","=""0.0019""","=""*""","=""""",,"=""4.07788079""","=""9.01293""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6f""","=""3F*""","=""3""",5,7,M1+E2,"=""""","=""L18491""",
"=""251.241""","=""0.015""","=""251.23196""","=""0.00013""","=""*""","=""""",,"=""4.07788079""","=""9.0129296""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6f""","=""3F*""","=""4""",5,9,E2,"=""""","=""L18491""",
"=""251.6564""","=""0.0021""","=""251.6564""","=""0.0019""","=""180000""","=""""",,"=""4.07788079""","=""9.00461""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7d""","=""3D""","=""3""",5,7,,"=""""","=""L3284""",
"=""252.441""","=""0.004""","=""252.4371""","=""0.0010""","=""""","=""""",,"=""4.07788079""","=""8.989370""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8p""","=""3P*""","=""2""",5,5,M1+E2,"=""""","=""L18491""",
"=""253.085""","=""0.006""","=""253.088""","=""0.003""","=""19000r""","=""""",,"=""4.00609281""","=""8.90495""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.8s""","=""3S""","=""1""",1,3,,"=""""","=""L3428""",
"=""254.308""","=""0.006""","=""254.311""","=""0.003""","=""210000r""","=""""",,"=""4.02965990""","=""8.90495""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8s""","=""3S""","=""1""",3,3,,"=""""","=""L3428""",
"=""256.251""","=""0.015""","=""256.24821""","=""0.00009""","=""23000*""","=""""",,"=""4.00609281""","=""8.8445344""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.5f""","=""3F*""","=""4""",1,9,HF,"=""""","=""L18491""",
"=""256.251""","=""0.015""","=""256.24898""","=""0.00007""","=""23000*""","=""""",,"=""4.00609281""","=""8.8445198""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.5f""","=""3F*""","=""3""",1,7,HF,"=""""","=""L18491""",
"=""256.251""","=""0.015""","=""256.24910""","=""0.00010""","=""23000*""","=""""",,"=""4.00609281""","=""8.8445176""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.5f""","=""3F*""","=""2""",1,5,E2,"=""""","=""L18491""",
"=""256.857""","=""0.006""","=""256.852""","=""0.003""","=""250000r""","=""""",,"=""4.07788079""","=""8.90495""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8s""","=""3S""","=""1""",5,3,,"=""""","=""L3428""",
"=""257.063983""","=""0.000014""","=""257.063987""","=""0.000011""","=""480000""","=""""",,"=""4.00609281""","=""8.82917985""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6d""","=""3D""","=""1""",1,3,,"=""""","=""L9761""",
"=""257.252""","=""0.015""","=""257.28211""","=""0.00007""","=""*""","=""""",,"=""4.02965990""","=""8.8486580""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5g""","=""3G""","=""3""",3,7,HF,"=""""","=""L18491""",
"=""257.252""","=""0.015""","=""257.28211""","=""0.00008""","=""*""","=""""",,"=""4.02965990""","=""8.8486580""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5g""","=""3G""","=""4""",3,9,HF,"=""""","=""L18491""",
"=""257.252""","=""0.015""","=""257.28211""","=""0.00008""","=""*""","=""""",,"=""4.02965990""","=""8.8486580""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5g""","=""3G""","=""5""",3,11,HF,"=""""","=""L18491""",
"=""257.504""","=""0.015""","=""257.50245""","=""0.00009""","=""25000*""","=""""",,"=""4.02965990""","=""8.8445344""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5f""","=""3F*""","=""4""",3,9,HF,"=""""","=""L18491""",
"=""257.504""","=""0.015""","=""257.50323""","=""0.00007""","=""25000*""","=""""",,"=""4.02965990""","=""8.8445198""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5f""","=""3F*""","=""3""",3,7,E2,"=""""","=""L18491""",
"=""257.504""","=""0.015""","=""257.50335""","=""0.00010""","=""25000*""","=""""",,"=""4.02965990""","=""8.8445176""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5f""","=""3F*""","=""2""",3,5,M1+E2,"=""""","=""L18491""",
"=""258.279""","=""0.004""","=""258.28051""","=""0.00005""","=""""","=""""",,"=""4.02965990""","=""8.8300299""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7p""","=""1P*""","=""1""",3,3,M1+E2,"=""""","=""L18491""",
"=""258.320677""","=""0.000014""","=""258.320668""","=""0.000010""","=""810000""","=""""",,"=""4.02965990""","=""8.82928354""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6d""","=""3D""","=""2""",3,5,,"=""""","=""L9761""",
"=""258.326249""","=""0.000015""","=""258.326249""","=""0.000011""","=""220000""","=""""",,"=""4.02965990""","=""8.82917985""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6d""","=""3D""","=""1""",3,3,,"=""""","=""L9761""",
"=""258.602""","=""0.004""","=""258.59316""","=""0.00006""","=""""","=""""",,"=""4.00609281""","=""8.8006589""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7p""","=""3P*""","=""1""",1,3,M1+E2,"=""""","=""L18491""",
"=""258.622""","=""0.004""","=""258.62483""","=""0.00011""","=""""","=""""",,"=""4.00609281""","=""8.8000717""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7p""","=""3P*""","=""0""",1,1,M1+E2,"=""""","=""L18491""",
"=""259.803""","=""0.004""","=""259.80163""","=""0.00007""","=""""","=""""",,"=""4.02965990""","=""8.8019239""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7p""","=""3P*""","=""2""",3,5,M1+E2,"=""""","=""L18491""",
"=""259.871""","=""0.004""","=""259.87052""","=""0.00006""","=""""","=""""",,"=""4.02965990""","=""8.8006589""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7p""","=""3P*""","=""1""",3,3,M1+E2,"=""""","=""L18491""",
"=""259.908""","=""0.004""","=""259.90251""","=""0.00011""","=""""","=""""",,"=""4.02965990""","=""8.8000717""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7p""","=""3P*""","=""0""",3,1,M1+E2,"=""""","=""L18491""",
"=""260.110""","=""0.015""","=""260.10742""","=""0.00009""","=""28000*""","=""""",,"=""4.07788079""","=""8.8445344""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.5f""","=""3F*""","=""4""",5,9,E2,"=""""","=""L18491""",
"=""260.110""","=""0.015""","=""260.10822""","=""0.00007""","=""28000*""","=""""",,"=""4.07788079""","=""8.8445198""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.5f""","=""3F*""","=""3""",5,7,M1+E2,"=""""","=""L18491""",
"=""260.110""","=""0.015""","=""260.10834""","=""0.00010""","=""28000*""","=""""",,"=""4.07788079""","=""8.8445176""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.5f""","=""3F*""","=""2""",5,5,M1+E2,"=""""","=""L18491""",
"=""260.933669""","=""0.000014""","=""260.933667""","=""0.000013""","=""1300000""","=""""",,"=""4.07788079""","=""8.8294408""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6d""","=""3D""","=""3""",5,7,,"=""""","=""L9761""",
"=""260.942303""","=""0.000015""","=""260.942305""","=""0.000010""","=""400000""","=""""",,"=""4.07788079""","=""8.82928354""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6d""","=""3D""","=""2""",5,5,,"=""""","=""L9761""",
"=""260.94792""","=""0.00014""","=""260.948000""","=""0.000012""","=""15000""","=""""",,"=""4.07788079""","=""8.82917985""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6d""","=""3D""","=""1""",5,3,,"=""""","=""L9761""",
"=""262.457""","=""0.004""","=""262.45357""","=""0.00008""","=""11000""","=""""",,"=""4.07788079""","=""8.8019239""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7p""","=""3P*""","=""2""",5,5,M1+E2,"=""""","=""L18491""",
"=""262.528""","=""0.004""","=""262.52387""","=""0.00006""","=""""","=""""",,"=""4.07788079""","=""8.8006589""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7p""","=""3P*""","=""1""",5,3,M1+E2,"=""""","=""L18491""",
"=""267.13224""","=""0.00003""","=""267.132250""","=""0.000012""","=""170000""","=""""",,"=""4.00609281""","=""8.64739682""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7s""","=""3S""","=""1""",1,3,,"=""""","=""L9761""",
"=""268.495587""","=""0.000017""","=""268.495587""","=""0.000012""","=""430000""","=""""",,"=""4.02965990""","=""8.64739682""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7s""","=""3S""","=""1""",3,3,,"=""""","=""L9761""",
"=""271.328952""","=""0.000016""","=""271.328950""","=""0.000012""","=""520000""","=""""",,"=""4.07788079""","=""8.64739682""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7s""","=""3S""","=""1""",5,3,,"=""""","=""L9761""",
"=""273.801""","=""0.015""","=""273.80232""","=""0.00006""","=""30000*""","=""""",,"=""4.00609281""","=""8.5343304""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.4f""","=""3F*""","=""4""",1,9,HF,"=""""","=""L18491""",
"=""273.801""","=""0.015""","=""273.80352""","=""0.00010""","=""30000*""","=""""",,"=""4.00609281""","=""8.5343107""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.4f""","=""3F*""","=""3""",1,7,HF,"=""""","=""L18491""",
"=""273.801""","=""0.015""","=""273.80390""","=""0.00008""","=""30000*""","=""""",,"=""4.00609281""","=""8.5343044""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.4f""","=""3F*""","=""2""",1,5,E2,"=""""","=""L18491""",
"=""275.235""","=""0.015""","=""275.23478""","=""0.00006""","=""29000*""","=""""",,"=""4.02965990""","=""8.5343304""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.4f""","=""3F*""","=""4""",3,9,HF,"=""""","=""L18491""",
"=""275.235""","=""0.015""","=""275.23598""","=""0.00010""","=""29000*""","=""""",,"=""4.02965990""","=""8.5343107""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.4f""","=""3F*""","=""3""",3,7,E2,"=""""","=""L18491""",
"=""275.235""","=""0.015""","=""275.23637""","=""0.00008""","=""29000*""","=""""",,"=""4.02965990""","=""8.5343044""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.4f""","=""3F*""","=""2""",3,5,M1+E2,"=""""","=""L18491""",
"=""275.521""","=""0.004""","=""275.51311""","=""0.00005""","=""""","=""""",,"=""4.00609281""","=""8.5062125""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6p""","=""1P*""","=""1""",1,3,M1+E2,"=""""","=""L18491""",
"=""275.726511""","=""0.000015""","=""275.726508""","=""0.000011""","=""540000""","=""""",,"=""4.00609281""","=""8.50272969""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.5d""","=""3D""","=""1""",1,3,,"=""""","=""L9761""",
"=""276.967""","=""0.004""","=""276.96357""","=""0.00005""","=""""","=""""",,"=""4.02965990""","=""8.5062125""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6p""","=""1P*""","=""1""",3,3,M1+E2,"=""""","=""L18491""",
"=""277.167194""","=""0.000015""","=""277.167192""","=""0.000012""","=""1000000""","=""""",,"=""4.02965990""","=""8.50292377""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5d""","=""3D""","=""2""",3,5,,"=""""","=""L9761""",
"=""277.179217""","=""0.000015""","=""277.179218""","=""0.000011""","=""580000""","=""""",,"=""4.02965990""","=""8.50272969""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5d""","=""3D""","=""1""",3,3,,"=""""","=""L9761""",
"=""278.212""","=""0.015""","=""278.21295""","=""0.00006""","=""97000*""","=""""",,"=""4.07788079""","=""8.5343304""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.4f""","=""3F*""","=""4""",5,9,E2,"=""""","=""L18491""",
"=""278.212""","=""0.015""","=""278.21418""","=""0.00010""","=""97000*""","=""""",,"=""4.07788079""","=""8.5343107""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.4f""","=""3F*""","=""3""",5,7,M1+E2,"=""""","=""L18491""",
"=""278.212""","=""0.015""","=""278.21457""","=""0.00009""","=""97000*""","=""""",,"=""4.07788079""","=""8.5343044""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.4f""","=""3F*""","=""2""",5,5,M1+E2,"=""""","=""L18491""",
