obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""235.48913""","=""235.489524""","=""0.000012""","=""50""","=""""",,"=""0.06575514""","=""5.33071115""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(1G).5p""","=""v 2F*""","=""7/2""",6,8,,"=""""","=""L7610,L3475""",
"=""249.1154""","=""249.115528""","=""0.000014""","=""25""","=""""",,"=""0.06575514""","=""5.04273107""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3P).5p""","=""v 2D*""","=""5/2""",6,6,,"=""""","=""L7610,L3475""",
"=""268.2461""","=""268.24622""","=""0.00006""","=""20""","=""""",,"=""0.0000000""","=""4.6220296""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(1D).5p""","=""w 2F*""","=""5/2""",4,6,,"=""""","=""L7610,L3475""",
"=""269.5000""","=""269.50021""","=""0.00004""","=""60""","=""""",,"=""0.0000000""","=""4.6005233""","=""4d.5s2""","=""a 2D""","=""3/2""","=""5s2.(1S).6p""","=""2P*""","=""1/2""",4,2,,"=""""","=""L7610,L3475""",
"=""269.6181""","=""269.618246""","=""0.000016""","=""26""","=""""",,"=""0.06575514""","=""4.66426434""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(1D).5p""","=""w 2F*""","=""7/2""",6,8,,"=""""","=""L7610,L3475""",
"=""272.3799""","=""272.379882""","=""0.000023""","=""95""","=""""",,"=""0.06575514""","=""4.6176405""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(1D).5p""","=""w 2P*""","=""3/2""",6,4,,"=""""","=""L7610,L3475""",
"=""273.08956""","=""273.089543""","=""0.000024""","=""22""","=""""",,"=""0.06575514""","=""4.6058117""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",6,4,,"=""""","=""L7610,L3475""",
"=""274.33131""","=""274.331150""","=""0.000015""","=""70""","=""6.6e+05""",B,"=""0.0000000""","=""4.51950858""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(1D).5p""","=""w 2D*""","=""3/2""",4,4,,"=""T9421""","=""L7610,L3475""",
"=""276.0889""","=""276.088500""","=""0.000017""","=""140""","=""""",,"=""0.06575514""","=""4.55649629""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(1D).5p""","=""w 2D*""","=""5/2""",6,6,,"=""""","=""L7610,L3475""",
"=""279.2017""","=""279.201652""","=""0.000023""","=""12""","=""""",,"=""0.0000000""","=""4.4406685""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3P).5p""","=""x 4D*""","=""3/2""",4,4,,"=""""","=""L7610,L3475""",
"=""281.4486""","=""281.44840""","=""0.00003""","=""26""","=""""",,"=""0.06575514""","=""4.4709746""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3P).5p""","=""x 4D*""","=""5/2""",6,6,,"=""""","=""L7610,L3475""",
"=""281.9680""","=""281.96808""","=""0.00003""","=""18""","=""""",,"=""1.30545058""","=""5.7025510""","=""5s2.5p""","=""z 2P*""","=""1/2""","=""5p2.(3P).4d?""","=""f 2P""","=""3/2""",2,4,,"=""""","=""L7610,L3475""",
"=""282.339629""","=""282.33963""","=""0.00003""","=""45""","=""""",,"=""1.30545058""","=""5.6967646""","=""5s2.5p""","=""z 2P*""","=""1/2""","=""5p2.(3P).4d?""","=""f 2P""","=""1/2""",2,2,,"=""""","=""L7610,L3475""",
"=""288.73012""","=""288.73012""","=""0.00003""","=""95""","=""1.72e+06""",C+,"=""1.40843037""","=""5.7025510""","=""5s2.5p""","=""z 2P*""","=""3/2""","=""5p2.(3P).4d?""","=""f 2P""","=""3/2""",4,4,,"=""T9421""","=""L7610,L3475""",
"=""291.9904""","=""291.990181""","=""0.000009""","=""160""","=""""",,"=""0.0000000""","=""4.24617698""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3F).5p""","=""x 2D*""","=""5/2""",4,6,,"=""""","=""L7610,L3475""",
"=""294.9268""","=""294.926431""","=""0.000009""","=""390""","=""3.56e+07""",B+,"=""0.0000000""","=""4.20390258""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3F).5p""","=""x 2D*""","=""3/2""",4,4,,"=""T4373""","=""L7610,L3475""",
"=""296.5830""","=""296.582984""","=""0.000012""","=""350""","=""""",,"=""0.06575514""","=""4.24617698""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""x 2D*""","=""5/2""",6,6,,"=""""","=""L7610,L3475""",
"=""297.5456""","=""297.545441""","=""0.000009""","=""480""","=""3.52e+07""",B+,"=""0.0000000""","=""4.16689962""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3F).5p""","=""x 2F*""","=""5/2""",4,6,,"=""T4373""","=""L7610,L3475""",
"=""298.5125""","=""298.512355""","=""0.000020""","=""750""","=""4.78e+07""",B+,"=""0.06575514""","=""4.21915772""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""x 2F*""","=""7/2""",6,8,,"=""T4373""","=""L7610,L3475""",
"=""299.61309""","=""299.612810""","=""0.000013""","=""70""","=""5.1e+06""",B+,"=""0.06575514""","=""4.20390258""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""x 2D*""","=""3/2""",6,4,,"=""T4373""","=""L7610,L3475""",
"=""299.7813""","=""299.781687""","=""0.000009""","=""140""","=""8.4e+06""",B+,"=""0.0000000""","=""4.13581629""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3F).5p""","=""y 4D*""","=""5/2""",4,6,,"=""T4373""","=""L7610,L3475""",
"=""300.61377""","=""300.613570""","=""0.000009""","=""70""","=""4.7e+06""",B+,"=""0.0000000""","=""4.12437131""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3F).5p""","=""y 4D*""","=""3/2""",4,4,,"=""T9421""","=""L7610,L3475""",
"=""301.9831""","=""301.98314""","=""0.00003""","=""55""","=""""",,"=""1.30545058""","=""5.4111169""","=""5s2.5p""","=""z 2P*""","=""1/2""","=""5s2.7s""","=""g 2S""","=""1/2""",2,2,,"=""""","=""L7610,L3475""",
"=""302.2605""","=""302.260053""","=""0.000020""","=""130""","=""""",,"=""0.06575514""","=""4.16766002""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""y 4D*""","=""7/2""",6,8,,"=""""","=""L7610,L3475""",
"=""302.31616""","=""302.316095""","=""0.000013""","=""90""","=""6.6e+06""",B+,"=""0.06575514""","=""4.16689962""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""x 2F*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
"=""303.9351""","=""303.935284""","=""0.000013""","=""12""","=""5.2e+05""",B+,"=""0.06575514""","=""4.14505113""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""z 2G*""","=""7/2""",6,8,,"=""T9421""","=""L7610""",
"=""304.572""","=""""","=""""","=""45""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7593,L3475""",
"=""304.62488""","=""304.624904""","=""0.000013""","=""190""","=""1.07e+07""",B+,"=""0.06575514""","=""4.13581629""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""y 4D*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
"=""304.800""","=""""","=""""","=""22""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7593,L3475""",
"=""""","=""305.483922""","=""0.000013""","=""""","=""1.86e+05""",B,"=""0.06575514""","=""4.12437131""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""y 4D*""","=""3/2""",6,4,,"=""T9421""","=""""",
"=""309.26187""","=""""","=""""","=""55h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7610,L3475""",
