label,energy_eV
O IV (2p 2P*<1/2>),54.93554
O IV (2p 2P*<3/2>),54.98335
O IV (2s.2p2 4P*<1/2>),63.79291
O IV (2s.2p2 4P*<3/2>),63.80906
O IV (2s.2p2 4P*<5/2>),63.83205
O IV (2s.2p2 2D*<5/2>),70.6736
O IV (2s.2p2 2D*<3/2>),70.67532
