Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Ne+ 2D;v=2s2.2p4(3P)3d,Ne+ 2So;v=2s2.2p4(3P)3p,3.6577e-08,-3.431307519592199
Ne+ 2D;v=2s2.2p4(3P)3d,Ne+ 4Po;v=2s2.2p4(3P)3p,6.298e-08,-4.199991817231702
Ne+ 4P;v=2s2.2p4(3P)3d,Ne+ 4Po;v=2s2.2p4(3P)3p,4.3777e-09,-4.2365663120387005
Ne+ 4P;v=2s2.2p4(3P)3d,Ne+ 4So;v=2s2.2p4(3P)3p,7.6104e-09,-3.4485409256198984
Ne+ 4P;v=2s2.2p4(3P)3d,Ne+ 2Po;v=2s2.2p4(3P)3p,2.6036e-08,-3.2826538949356987
Ne+ 4P;v=2s2.2p4(3P)3d,Ne+ 2Do;v=2s2.2p4(3P)3p,5.8197e-08,-3.6260822021069004
Ne+ 4P;v=2s2.2p4(3P)3d,Ne+ 4Do;v=2s2.2p4(3P)3p,6.0696e-08,-3.834618813176199
Ne+ 4F;v=2s2.2p4(3P)3d,Ne+ 4Do;v=2s2.2p4(3P)3p,5.0217e-09,-3.856687491398702
Ne+ 4F;v=2s2.2p4(3P)3d,Ne+ 4Po;v=2s2.2p4(3P)3p,1.0596e-08,-4.2586349902612035
Ne+ 4F;v=2s2.2p4(3P)3d,Ne+ 4So;v=2s2.2p4(3P)3p,1.5743e-08,-3.4706096038424015
Ne+ 4F;v=2s2.2p4(3P)3d,Ne+ 2Do;v=2s2.2p4(3P)3p,2.0241e-07,-3.6481508803294034
Ne+ 4F;v=2s2.2p4(3P)3d,Ne+ 2So;v=2s2.2p4(3P)3p,2.6805e-07,-3.4899506926217008
Ne+ 2F;v=2s2.2p4(3P)3d,Ne+ 2Do;v=2s2.2p4(3P)3p,4.4663e-09,-3.657945406057401
Ne+ 2F;v=2s2.2p4(3P)3d,Ne+ 4Do;v=2s2.2p4(3P)3p,3.4247e-08,-3.8664820171266996
Ne+ 2F;v=2s2.2p4(3P)3d,Ne+ 4So;v=2s2.2p4(3P)3p,4.7619e-08,-3.480404129570399
Ne+ 2F;v=2s2.2p4(3P)3d,Ne+ 2Po;v=2s2.2p4(3P)3p,5e-08,-3.314517098886199
Ne+ 2F;v=2s2.2p4(3P)3d,Ne+ 4Po;v=2s2.2p4(3P)3p,1.8519e-07,-4.268429515989201
Ne+ 2P;v=2s2.2p4(3P)3d,Ne+ 2So;v=2s2.2p4(3P)3p,4.9664e-09,-3.5378074892167
Ne+ 2P;v=2s2.2p4(3P)3d,Ne+ 2Po;v=2s2.2p4(3P)3p,1.6555e-08,-3.352579369753201
Ne+ 2P;v=2s2.2p4(3P)3d,Ne+ 2Do;v=2s2.2p4(3P)3p,8.2774e-08,-3.6960076769244026
Ne+ 2P;v=2s2.2p4(3P)3d,Ne+ 4Po;v=2s2.2p4(3P)3p,1.4396e-07,-4.306491786856203
Ne+ 2P;v=2s2.2p4(3P)3d,Ne+ 4So;v=2s2.2p4(3P)3p,4.3186e-07,-3.5184664004374007
Ne+ 2[4]o;v=2s2.2p4(3P_2)4f,Ne+ 4D;v=2s2.2p4(3P)3d,2.5974e-08,-2.9021551676041994
Ne+ 2[3]o;v=2s2.2p4(3P_2)4f,Ne+ 4D;v=2s2.2p4(3P)3d,2.6042e-08,-2.9037669250025004
Ne+ 2[2]o;v=2s2.2p4(3P_2)4f,Ne+ 4D;v=2s2.2p4(3P)3d,4.2373e-08,-2.9110818239639045
Ne+ 2[5]o;v=2s2.2p4(3P_2)4f,Ne+ 4F;v=2s2.2p4(3P)3d,3.8314e-08,-2.7261016671770975
Ne+ 2[1]o;v=2s2.2p4(3P_2)4f,Ne+ 4D;v=2s2.2p4(3P)3d,2.6316e-08,-2.9217442190602014
Ne+ 2[2]o;v=2s2.2p4(3P_1)4f,Ne+ 4F;v=2s2.2p4(3P)3d,4.7619e-08,-2.7971429740395948
Ne+ 2[2]o;v=2s2.2p4(3P_1)4f,Ne+ 2F;v=2s2.2p4(3P)3d,1.9231e-07,-2.7873484483115973
Ne+ 2[4]o;v=2s2.2p4(3P_1)4f,Ne+ 4F;v=2s2.2p4(3P)3d,4.386e-08,-2.7997465821445005
Ne+ 2[4]o;v=2s2.2p4(3P_1)4f,Ne+ 2F;v=2s2.2p4(3P)3d,2.8571e-07,-2.789952056416503
Ne+ 2[3]o;v=2s2.2p4(3P_1)4f,Ne+ 4F;v=2s2.2p4(3P)3d,4.9702e-09,-2.8085492571659003
Ne+ 2[3]o;v=2s2.2p4(3P_1)4f,Ne+ 2F;v=2s2.2p4(3P)3d,3.0303e-08,-2.798754731437903
Ne+ 2[3]o;v=2s2.2p4(3P_0)4f,Ne+ 2F;v=2s2.2p4(3P)3d,4.386e-08,-2.8266505325618994
Ne+ 2[3]o;v=2s2.2p4(3P_0)4f,Ne+ 4F;v=2s2.2p4(3P)3d,2.8571e-07,-2.836445058289897
Ne+ 2G;v=2s2.2p4(1D)3d,Ne+ 2Fo;v=2s2.2p4(1D)3p,2.7548e-09,-3.843421488197599
Ne+ 2Po;v=2s2.2p4(1S)3p,Ne+ 2S;v=2s2.2p4(1S)3s,6.25e-09,-3.562093672869402
Ne+ 2P;v=2s2.2p4(1D)3d,Ne+ 2Po;v=2s2.2p4(1D)3p,4.9751e-09,-3.6041375052226954
Ne+ 2P;v=2s2.2p4(1D)3d,Ne+ 2Do;v=2s2.2p4(1D)3p,1.3158e-08,-3.5032166958229
Ne+ 2D;v=2s2.2p4(1D)3d,Ne+ 2Do;v=2s2.2p4(1D)3p,6.25e-09,-3.5876479872250044
Ne+ 2D;v=2s2.2p4(1D)3d,Ne+ 2Po;v=2s2.2p4(1D)3p,1.1628e-08,-3.6885687966248
Ne+ 2D;v=2s2.2p4(1D)3d,Ne+ 2Fo;v=2s2.2p4(1D)3p,3.8462e-08,-3.954756730017003
Ne+ 2F;v=2s2.2p4(1D)3d,Ne+ 2Do;v=2s2.2p4(1D)3p,5.2632e-09,-3.6402160746764025
Ne+ 2F;v=2s2.2p4(1D)3d,Ne+ 2Fo;v=2s2.2p4(1D)3p,7.6923e-09,-4.007324817468401
