obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""28.6308""","=""0.0005""","=""28.6308""","=""0.0005""","=""6""","=""""",,"=""0.00000000""","=""43.3045""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).8d""","=""2S""","=""1/2""",4,2,,"=""""","=""L12157""",
"=""""","=""""","=""28.6949""","=""0.0006""","=""m""","=""""",,"=""0.09676024""","=""43.3045""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).8d""","=""2S""","=""1/2""",2,2,,"=""""","=""L12157""",
"=""28.8073""","=""0.0003""","=""28.80732""","=""0.00025""","=""12""","=""""",,"=""0.00000000""","=""43.0391""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).7d""","=""2S""","=""1/2""",4,2,,"=""""","=""L12157""",
"=""28.8720""","=""0.0010""","=""28.8722""","=""0.0003""","=""6""","=""""",,"=""0.09676024""","=""43.0391""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).7d""","=""2S""","=""1/2""",2,2,,"=""""","=""L12157""",
"=""29.0831""","=""0.0003""","=""29.0830""","=""0.0003""","=""48""","=""""",,"=""0.00000000""","=""42.6311""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).6d""","=""2S""","=""1/2""",4,2,,"=""""","=""L12157""",
"=""29.1492""","=""0.0003""","=""29.1492""","=""0.0003""","=""25""","=""""",,"=""0.09676024""","=""42.6311""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).6d""","=""2S""","=""1/2""",2,2,,"=""""","=""L12157""",
"=""29.5168""","=""0.0003""","=""29.516919""","=""0.000010""","=""22""","=""""",,"=""0.00000000""","=""42.004452""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1S).4s""","=""2S""","=""1/2""",4,2,,"=""""","=""L12157c153""",
"=""29.5851""","=""0.0003""","=""29.585070""","=""0.000011""","=""10""","=""""",,"=""0.09676024""","=""42.004452""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1S).4s""","=""2S""","=""1/2""",2,2,,"=""""","=""L12157c153""",
"=""29.6329""","=""0.0003""","=""29.633024""","=""0.000018""","=""88""","=""""",,"=""0.00000000""","=""41.839874""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).5d""","=""2S""","=""1/2""",4,2,,"=""""","=""L12157""",
"=""29.7019""","=""0.0003""","=""29.701713""","=""0.000018""","=""45""","=""""",,"=""0.09676024""","=""41.839874""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).5d""","=""2S""","=""1/2""",2,2,,"=""""","=""L12157""",
"=""30.3814""","=""0.0003""","=""30.381399""","=""0.000009""","=""""","=""""",,"=""0.00000000""","=""40.809246""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).5s""","=""2D""","=""3/2""",4,4,,"=""""","=""L1406c153""",
"=""30.3814""","=""0.0003""","=""30.381412""","=""0.000009""","=""13""","=""""",,"=""0.00000000""","=""40.809229""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).5s""","=""2D""","=""5/2""",4,6,,"=""""","=""L12157c153""",
"=""30.4536""","=""0.0003""","=""30.453605""","=""0.000009""","=""12""","=""""",,"=""0.09676024""","=""40.809246""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).5s""","=""2D""","=""3/2""",2,4,,"=""""","=""L12157c153""",
"=""""","=""""","=""30.458282""","=""0.000009""","=""""","=""""",,"=""0.00000000""","=""40.706235""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).4d""","=""2F""","=""5/2""",4,6,,"=""""","=""""",
"=""30.4728""","=""0.0005""","=""30.4728""","=""0.0005""","=""13""","=""""",,"=""0.00000000""","=""40.6869?""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).12d""","=""2F""","=""5/2""",4,6,,"=""""","=""L12157""",
"=""30.4798""","=""0.0003""","=""30.4798""","=""0.0003""","=""9""","=""""",,"=""0.00000000""","=""40.6775?""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).4d""","=""2D""","=""5/2""",4,6,,"=""""","=""L12157""",
