obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""10.689""","=""0.005""","=""10.6874+""","=""80a""","=""""",,"=""0.0000""","=""116.010""","=""5s2""","=""1S""","=""0""","=""4d9.5s2.5f""","=""1P*""","=""1""",1,3,,"=""""","=""L5852""",
"=""11.343""","=""0.005""","=""11.3413+""","=""50a""","=""""",,"=""0.0000""","=""109.321""","=""5s2""","=""1S""","=""0""","=""4d9.5s2.5f""","=""3P*""","=""1""",1,3,,"=""""","=""L5852""",
"=""11.825""","=""0.005""","=""11.8238+""","=""30a""","=""""",,"=""0.0000""","=""104.860""","=""5s2""","=""1S""","=""0""","=""4d9.5s2.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L5852""",
"=""11.975""","=""0.005""","=""11.9745+""","=""10a""","=""""",,"=""0.0000""","=""103.540""","=""5s2""","=""1S""","=""0""","=""4d9.5s2.6p""","=""3P*""","=""1""",1,3,,"=""""","=""L5852""",
"=""12.3242""","=""0.0008""","=""12.32420+""","=""30""","=""""",,"=""0.0000""","=""100.6023""","=""5s2""","=""1S""","=""0""","=""4d9.5s2.4f""","=""1P*""","=""1""",1,3,,"=""""","=""L11882""",
"=""14.638""","=""0.005""","=""14.6381+""","=""""","=""""",,"=""0.0000""","=""84.700""","=""5s2""","=""1S""","=""0""","=""4d9.5s2.4f""","=""3D*""","=""1""",1,3,,"=""""","=""L5691""",
"=""15.383""","=""0.005""","=""15.3827+""","=""""","=""""",,"=""0.0000""","=""80.600""","=""5s2""","=""1S""","=""0""","=""4d9.5s2.4f""","=""3P*""","=""1""",1,3,,"=""""","=""L5691""",
"=""18.1876""","=""0.0008""","=""18.1875+""","=""20""","=""""",,"=""0.0000""","=""68.1700""","=""5s2""","=""1S""","=""0""","=""4d9.5s2.5p""","=""3D*""","=""1""",1,3,,"=""""","=""L11882""",
"=""18.5438""","=""0.0008""","=""18.5438+""","=""50""","=""""",,"=""0.0000""","=""66.8602""","=""5s2""","=""1S""","=""0""","=""4d9.5s2.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L11882""",
"=""24.5215""","=""0.0008""","=""24.5217+""","=""75""","=""""",,"=""0.0000""","=""50.5610""","=""5s2""","=""1S""","=""0""","=""5s.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L11882""",
"=""24.9445""","=""0.0008""","=""24.9443+""","=""25""","=""""",,"=""0.0000""","=""49.7044""","=""5s2""","=""1S""","=""0""","=""5s.6p""","=""3P*""","=""1""",1,3,,"=""""","=""L11882""",
"=""36.035""","=""0.002""","=""36.038+""","=""1""","=""""",,"=""31.2258""","=""65.630""","=""5p2""","=""3P""","=""2""","=""5s.7p""","=""3P*""","=""2""",5,5,,"=""""","=""L11900""",
"=""36.6168""","=""0.0008""","=""36.6169+""","=""55""","=""""",,"=""17.7619""","=""51.6217""","=""5s.5p""","=""1P*""","=""1""","=""4f.5p""","=""1D""","=""2""",3,5,,"=""""","=""L11882""",
"=""38.6560""","=""0.0008""","=""38.6560+""","=""35""","=""""",,"=""11.9200""","=""43.9937""","=""5s.5p""","=""3P*""","=""0""","=""5s.6s""","=""3S""","=""1""",1,3,,"=""""","=""L11882""",
"=""39.3114""","=""0.0008""","=""39.3110+""","=""64""","=""""",,"=""12.4543""","=""43.9937""","=""5s.5p""","=""3P*""","=""1""","=""5s.6s""","=""3S""","=""1""",3,3,,"=""""","=""L11882""",
"=""39.3919""","=""0.0008""","=""39.3923+""","=""54""","=""""",,"=""29.2727""","=""60.7469""","=""5p2""","=""1D""","=""2""","=""5p.6s""","=""1P*""","=""1""",5,3,,"=""""","=""L11882""",
"=""40.4635""","=""0.0008""","=""40.4642+""","=""33""","=""""",,"=""27.7319""","=""58.3724""","=""5p2""","=""3P""","=""0""","=""5p.6s""","=""3P*""","=""1""",1,3,,"=""""","=""L11882""",
"=""41.0585""","=""0.0008""","=""41.0590+""","=""25?""","=""""",,"=""17.7619""","=""47.9585""","=""5s.5p""","=""1P*""","=""1""","=""4f.5p""","=""3F""","=""2""",3,5,,"=""""","=""L11882""",
"=""41.395""","=""0.002""","=""41.396+""","=""1""","=""""",,"=""35.6792""","=""65.630""","=""5s.5d""","=""3D""","=""1""","=""5s.7p""","=""3P*""","=""2""",3,5,,"=""""","=""L11900""",
"=""41.4666""","=""0.0008""","=""41.4668+""","=""81""","=""""",,"=""14.0940""","=""43.9937""","=""5s.5p""","=""3P*""","=""2""","=""5s.6s""","=""3S""","=""1""",5,3,,"=""""","=""L11882""",
"=""41.9989""","=""0.0008""","=""41.9985+""","=""81""","=""""",,"=""31.2258""","=""60.7469""","=""5p2""","=""3P""","=""2""","=""5p.6s""","=""1P*""","=""1""",5,3,,"=""""","=""L11882""",
