Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Ca 3Po;v=3p6.4s.4p,Ca 1S;v=3p6.4s2,0.00038461,-1.88576855411723
Ca 1Po;v=3p6.4s.4p,Ca 1S;v=3p6.4s2,4.5872e-09,-2.93244380855794
Ca 3S;v=3p6.4s.5s,Ca 3Po;v=3p6.4s.4p,1.1628e-08,-2.02454086610884
Ca 3Fo;v=3p6.3d.4p,Ca 3D;v=3p6.3d.4s,1.9106e-08,-1.9087100611627204
Ca 1Do;v=3p6.3d.4p,Ca 3D;v=3p6.3d.4s,9.6154e-08,-1.9217157035534198
Ca 3Po;v=3p6.4s.5p,Ca 3D;v=3p6.3d.4s,4.5454e-08,-2.01002761084514
Ca 1Po;v=3p6.4s.5p,Ca 1D;v=3p6.3d.4s,8.3333e-08,-1.8450860619638303
Ca 1Po;v=3p6.4s.5p,Ca 1S;v=3p6.4s2,3.7037e-06,-4.55403292696383
Ca 3D;v=3p6.4s.4d,Ca 3Po;v=3p6.4s.4p,1.1567e-08,-2.7943038013918198
Ca 3Do;v=3p6.3d.4p,Ca 3D;v=3p6.3d.4s,1.7544e-08,-2.21393971799477
Ca 3Do;v=3p6.3d.4p,Ca 1S;v=3p6.4s2,6.25e-05,-4.73514486599477
Ca 3P;v=3p6.4p2,Ca 3Po;v=3p6.4s.4p,5.0251e-09,-2.8772845111353904
Ca 3Po;v=3p6.3d.4p,Ca 3D;v=3p6.3d.4s,1.6667e-08,-2.3554024250281103
Ca 3Po;v=3p6.3d.4p,Ca 1S;v=3p6.4s2,5.8823e-05,-4.87660757302811
Ca 3S;v=3p6.4s.6s,Ca 3Po;v=3p6.4s.4p,3.2637e-08,-3.13227692967655
Ca 1D;v=3p6.4p2,Ca 1Po;v=3p6.4s.4p,1.5151e-08,-2.11605149192943
Ca 1Po;v=3p6.4s.6p,Ca 1D;v=3p6.3d.4s,3.0303e-08,-2.4584713352125003
Ca 1Po;v=3p6.4s.6p,Ca 1S;v=3p6.4s2,5.988e-08,-5.1674182002125
Ca 1S;v=3p6.4p2,Ca 1Po;v=3p6.4s.4p,9.0909e-09,-2.2482775892572597
Ca 3Fo;v=3p6.4s.4f,Ca 3D;v=3p6.3d.4s,4.7174e-08,-2.7071126855996903
Ca 1Fo;v=3p6.4s.4f,Ca 1D;v=3p6.3d.4s,5.3192e-08,-2.5408693326659297
Ca 3D;v=3p6.4s.5d,Ca 3Po;v=3p6.4s.4p,2.6702e-08,-3.4135657900772802
Ca 1D;v=3p6.4s.5d,Ca 1Po;v=3p6.4s.4p,2.5e-08,-2.3887236493163
Ca w1Po;v=3p6.4s.np,Ca 1D;v=3p6.3d.4s,2.439e-08,-2.7379872624751296
Ca w1Po;v=3p6.4s.np,Ca 1S;v=3p6.4s2,3.3223e-08,-5.44693412747513
Ca 3Fo;v=3p6.4s.5f,Ca 3D;v=3p6.3d.4s,7.5999e-08,-3.02852190708367
Ca 1Fo;v=3p6.4s.5f,Ca 1D;v=3p6.3d.4s,5.2632e-08,-2.8460246006949794
Ca 1D;v=3p6.4s.6d,Ca 1Po;v=3p6.4s.4p,1.25e-07,-2.64545180659407
Ca 3D;v=3p6.4s.6d,Ca 3Po;v=3p6.4s.4p,3.7327e-08,-3.6994791543976797
Ca 3Fo;v=3p6.4s.6f,Ca 3D;v=3p6.3d.4s,1.2173e-07,-3.20234374342086
Ca 1Fo;v=3p6.4s.6f,Ca 1D;v=3p6.3d.4s,1.1111e-08,-3.01680889424312
Ca 3P;v=3p6.3d2,Ca 3Po;v=3p6.4s.4p,6.3291e-09,-4.1303143050908
