obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""432.796""","=""432.7953+""","=""""","=""""",,"=""5.7224717""","=""8.587203""","=""6d""","=""2D""","=""5/2""","=""7f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L6094""",
"=""433.084""","=""433.0834+""","=""""","=""9.39e+05""",B,"=""6.2006159""","=""9.063441""","=""7p""","=""2P*""","=""3/2""","=""10d""","=""2D""","=""3/2""",4,4,,"=""T3225,T7387""","=""L6094""",
"=""440.647""","=""440.6463+""","=""""","=""3.9e+06""",E,"=""6.2006159""","=""9.014306""","=""7p""","=""2P*""","=""3/2""","=""11s""","=""2S""","=""1/2""",4,2,,"=""T4515""","=""L6094""",
"=""451.089""","=""451.0890+""","=""""","=""1.2e+06""",E,"=""6.0111671""","=""8.7597198""","=""4f""","=""2F*""","=""7/2""","=""9d""","=""2D""","=""5/2""",8,6,,"=""T4515""","=""L6094""",
"=""452.6195""","=""452.6195+""","=""188""","=""6.63e+07""",B,"=""2.5121134""","=""5.2513724""","=""6p""","=""2P*""","=""1/2""","=""7s""","=""2S""","=""1/2""",2,2,,"=""T3225,T7387""","=""L9224""",
"=""455.5310""","=""455.53098+""","=""9300""","=""1.11e+08""",B,"=""0.0000000""","=""2.7217512""","=""6s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T5855""","=""L9224""",
"=""471.026""","=""471.0221+""","=""""","=""8.47e+06""",B,"=""6.1235575""","=""8.7557947""","=""7p""","=""2P*""","=""1/2""","=""9d""","=""2D""","=""3/2""",2,4,,"=""T3225,T7387""","=""L6094""",
"=""484.481""","=""484.4829+""","=""""","=""9.34e+06""",B,"=""6.2006159""","=""8.7597198""","=""7p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""5/2""",4,6,,"=""T3225,T7387""","=""L6094""",
"=""484.849""","=""484.8541+""","=""""","=""3.5e+06""",C+,"=""6.1235575""","=""8.6807021""","=""7p""","=""2P*""","=""1/2""","=""10s""","=""2S""","=""1/2""",2,2,,"=""T3225,T7387""","=""L6094""",
"=""485.220""","=""485.2271+""","=""""","=""1.55e+06""",B,"=""6.2006159""","=""8.7557947""","=""7p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""3/2""",4,4,,"=""T3225,T7387""","=""L6094""",
"=""490.1295""","=""490.1295+""","=""273""","=""1.04e+08""",B,"=""2.7217512""","=""5.2513724""","=""6p""","=""2P*""","=""3/2""","=""7s""","=""2S""","=""1/2""",4,2,,"=""T3225,T7387""","=""L9224""",
"=""493.5454""","=""493.54539+""","=""6900""","=""9.53e+07""",B,"=""0.0000000""","=""2.5121134""","=""6s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T5855""","=""L9224""",
"=""495.8475""","=""495.8478+""","=""10""","=""5.1e+07""",C,"=""5.9833059""","=""8.4837545u""","=""4f""","=""2F*""","=""5/2""","=""6g""","=""2G""","=""7/2""",6,8,,"=""T3225,T7387""","=""L9224""",
"=""499.920""","=""499.9189+""","=""""","=""6.4e+06""",C+,"=""6.2006159""","=""8.6807021""","=""7p""","=""2P*""","=""3/2""","=""10s""","=""2S""","=""1/2""",4,2,,"=""T3225,T7387""","=""L6094""",
"=""501.4352""","=""501.4350+""","=""5*""","=""5.2e+07""",C,"=""6.0111671""","=""8.4837545u""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""9/2""",8,10,,"=""T3225,T7387""","=""L9224""",
"=""501.4352""","=""501.4350+""","=""5*""","=""1.9e+06""",C,"=""6.0111671""","=""8.4837545u""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""7/2""",8,8,,"=""T3225,T7387""","=""L9224""",
"=""536.284""","=""536.283+""","=""""","=""4.0e+06""",C+,"=""5.6970085""","=""8.008924""","=""6d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",4,6,,"=""T3225,T7387""","=""L6094""",
"=""539.310""","=""539.309+""","=""""","=""4.2e+06""",C+,"=""5.7224717""","=""8.021416""","=""6d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",6,8,,"=""T3225,T7387""","=""L6094""",
"=""542.256""","=""542.256+""","=""""","=""2.8e+05""",C+,"=""5.7224717""","=""8.008924""","=""6d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",6,6,,"=""T3225,T7387""","=""L6094""",
