obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""68.3529""","=""68.35274""","=""2g""","=""""",,"=""0.000000""","=""18.138878""","=""2p6.3s2""","=""1S""","=""0""","=""3s.10p""","=""1P*""","=""1""",1,3,,"=""""","=""L4575""",
"=""68.9936""","=""68.99354""","=""5g""","=""""",,"=""0.000000""","=""17.970406""","=""2p6.3s2""","=""1S""","=""0""","=""3s.9p""","=""1P*""","=""1""",1,3,,"=""""","=""L4575""",
"=""69.9489""","=""69.94905""","=""10g""","=""""",,"=""0.000000""","=""17.724930""","=""2p6.3s2""","=""1S""","=""0""","=""3s.8p""","=""1P*""","=""1""",1,3,,"=""""","=""L4575""",
"=""71.4695""","=""71.46993""","=""20g""","=""""",,"=""0.000000""","=""17.347743""","=""2p6.3s2""","=""1S""","=""0""","=""3s.7p""","=""1P*""","=""1""",1,3,,"=""""","=""L4575""",
"=""74.1182""","=""74.11833""","=""25g""","=""""",,"=""0.000000""","=""16.727874""","=""2p6.3s2""","=""1S""","=""0""","=""3s.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L4575""",
"=""79.4475""","=""79.447670""","=""20g""","=""""",,"=""0.000000""","=""15.6057689""","=""2p6.3s2""","=""1S""","=""0""","=""3s.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L4575""",
"=""90.5152""","=""90.51550""","=""20""","=""""",,"=""4.659052""","=""18.35662""","=""3s.3p""","=""3P*""","=""2""","=""3s.12s""","=""3S""","=""1""",5,3,,"=""""","=""L4575""",
"=""90.8342""","=""90.83491""","=""1""","=""1.16e+04""",A+,"=""0.000000""","=""13.649399""","=""2p6.3s2""","=""1S""","=""0""","=""3s.3d""","=""1D""","=""2""",1,5,E2,"=""c41""","=""L6526""",
"=""91.0916""","=""91.09166""","=""10""","=""""",,"=""4.643693""","=""18.254621""","=""3s.3p""","=""3P*""","=""1""","=""3s.11s""","=""3S""","=""1""",3,3,,"=""""","=""L4575""",
"=""91.1497""","=""91.14997""","=""10""","=""""",,"=""4.659052""","=""18.261273""","=""3s.3p""","=""3P*""","=""2""","=""3s.10d""","=""3D""","=""3""",5,7,,"=""""","=""L4575""",
"=""91.19457""","=""91.19456""","=""40""","=""""",,"=""4.659052""","=""18.254621""","=""3s.3p""","=""3P*""","=""2""","=""3s.11s""","=""3S""","=""1""",5,3,,"=""""","=""L3460""",
"=""91.9672""","=""91.96705""","=""30""","=""""",,"=""4.643693""","=""18.12506""","=""3s.3p""","=""3P*""","=""1""","=""3s.9d""","=""3D""","=""2""",3,5,,"=""""","=""L4575""",
"=""92.03166""","=""92.03169""","=""50""","=""""",,"=""4.643693""","=""18.115597""","=""3s.3p""","=""3P*""","=""1""","=""3s.10s""","=""3S""","=""1""",3,3,,"=""""","=""L3460""",
"=""92.07160""","=""92.07161""","=""50""","=""""",,"=""4.659052""","=""18.12511""","=""3s.3p""","=""3P*""","=""2""","=""3s.9d""","=""3D""","=""3""",5,7,,"=""""","=""L3460""",
"=""92.13670""","=""92.13673""","=""75""","=""""",,"=""4.659052""","=""18.115597""","=""3s.3p""","=""3P*""","=""2""","=""3s.10s""","=""3S""","=""1""",5,3,,"=""""","=""L3460""",
"=""93.24075""","=""93.24099""","=""20""","=""""",,"=""4.636145""","=""17.93332""","=""3s.3p""","=""3P*""","=""0""","=""3s.8d""","=""3D""","=""1""",1,3,,"=""""","=""L3460""",
"=""93.29385""","=""93.29379""","=""40""","=""""",,"=""4.643693""","=""17.933345""","=""3s.3p""","=""3P*""","=""1""","=""3s.8d""","=""3D""","=""2""",3,5,,"=""""","=""L3460""",
"=""93.34077""","=""93.34077""","=""50""","=""""",,"=""4.636145""","=""17.919108""","=""3s.3p""","=""3P*""","=""0""","=""3s.9s""","=""3S""","=""1""",1,3,,"=""""","=""L3460""",
"=""93.39382""","=""93.39384""","=""75""","=""""",,"=""4.643693""","=""17.919108""","=""3s.3p""","=""3P*""","=""1""","=""3s.9s""","=""3S""","=""1""",3,3,,"=""""","=""L3460""",
"=""93.40150""","=""93.40150""","=""100""","=""""",,"=""4.659052""","=""17.933378""","=""3s.3p""","=""3P*""","=""2""","=""3s.8d""","=""3D""","=""3""",5,7,,"=""""","=""L3460""",
"=""93.50198""","=""93.50202""","=""100""","=""""",,"=""4.659052""","=""17.919108""","=""3s.3p""","=""3P*""","=""2""","=""3s.9s""","=""3S""","=""1""",5,3,,"=""""","=""L3460""",
"=""93.52752""","=""93.52738""","=""100g""","=""""",,"=""0.000000""","=""13.256460""","=""2p6.3s2""","=""1S""","=""0""","=""3s.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L3460""",
"=""95.26301""","=""95.26304""","=""75""","=""""",,"=""4.636145""","=""17.651077""","=""3s.3p""","=""3P*""","=""0""","=""3s.7d""","=""3D""","=""1""",1,3,,"=""""","=""L3460""",
"=""95.31822""","=""95.31818""","=""100""","=""""",,"=""4.643693""","=""17.651096""","=""3s.3p""","=""3P*""","=""1""","=""3s.7d""","=""3D""","=""2""",3,5,,"=""""","=""L3460""",
"=""95.43050""","=""95.43060""","=""125""","=""""",,"=""4.659052""","=""17.651132""","=""3s.3p""","=""3P*""","=""2""","=""3s.7d""","=""3D""","=""3""",5,7,,"=""""","=""L3460""",
"=""95.48466""","=""95.48451""","=""100""","=""""",,"=""4.643693""","=""17.628438""","=""3s.3p""","=""3P*""","=""1""","=""3s.8s""","=""3S""","=""1""",3,3,,"=""""","=""L3460""",
"=""95.59766""","=""95.59759""","=""125""","=""""",,"=""4.659052""","=""17.628438""","=""3s.3p""","=""3P*""","=""2""","=""3s.8s""","=""3S""","=""1""",5,3,,"=""""","=""L3460""",
"=""98.59802""","=""98.59809""","=""100""","=""9.29e+06""",D,"=""4.636145""","=""17.210850""","=""3s.3p""","=""3P*""","=""0""","=""3s.6d""","=""3D""","=""1""",1,3,,"=""T6298c4,LS""","=""L3460""",
"=""98.65712""","=""98.65731""","=""125""","=""1.25e+07""",D,"=""4.643693""","=""17.210850""","=""3s.3p""","=""3P*""","=""1""","=""3s.6d""","=""3D""","=""2""",3,5,,"=""T6298c4,LS""","=""L3460""",
"=""""","=""98.65731""","=""""","=""6.99e+06""",D,"=""4.643693""","=""17.210850""","=""3s.3p""","=""3P*""","=""1""","=""3s.6d""","=""3D""","=""1""",3,3,,"=""T6298c4,LS""","=""""",
"=""98.77772""","=""98.77779""","=""150""","=""1.67e+07""",C,"=""4.659052""","=""17.210881""","=""3s.3p""","=""3P*""","=""2""","=""3s.6d""","=""3D""","=""3""",5,7,,"=""T6298c4,LS""","=""L3460""",
"=""""","=""98.77804""","=""""","=""4.63e+05""",E,"=""4.659052""","=""17.210850""","=""3s.3p""","=""3P*""","=""2""","=""3s.6d""","=""3D""","=""1""",5,3,,"=""T6298c4,LS""","=""""",
"=""""","=""98.77804""","=""""","=""4.16e+06""",D,"=""4.659052""","=""17.210850""","=""3s.3p""","=""3P*""","=""2""","=""3s.6d""","=""3D""","=""2""",5,5,,"=""T6298c4,LS""","=""""",
"=""98.90525""","=""98.90526""","=""75""","=""""",,"=""4.636145""","=""17.171798""","=""3s.3p""","=""3P*""","=""0""","=""3s.7s""","=""3S""","=""1""",1,3,,"=""""","=""L3460""",
"=""98.96475""","=""98.96485""","=""100""","=""""",,"=""4.643693""","=""17.171798""","=""3s.3p""","=""3P*""","=""1""","=""3s.7s""","=""3S""","=""1""",3,3,,"=""""","=""L3460""",
"=""99.08623""","=""99.08632""","=""125""","=""""",,"=""4.659052""","=""17.171798""","=""3s.3p""","=""3P*""","=""2""","=""3s.7s""","=""3S""","=""1""",5,3,,"=""""","=""L3460""",
"=""104.78893""","=""104.78894""","=""150""","=""2.33e+07""",C,"=""4.636145""","=""16.467947""","=""3s.3p""","=""3P*""","=""0""","=""3s.5d""","=""3D""","=""1""",1,3,,"=""T6298c4,LS""","=""L3460""",
"=""""","=""104.85583""","=""""","=""1.75e+07""",D,"=""4.643693""","=""16.467947""","=""3s.3p""","=""3P*""","=""1""","=""3s.5d""","=""3D""","=""1""",3,3,,"=""T6298c4,LS""","=""""",
"=""104.85588""","=""104.85600""","=""170""","=""3.14e+07""",C,"=""4.643693""","=""16.467928""","=""3s.3p""","=""3P*""","=""1""","=""3s.5d""","=""3D""","=""2""",3,5,,"=""T6298c4,LS""","=""L3460""",
"=""""","=""104.99221""","=""""","=""1.16e+06""",E,"=""4.659052""","=""16.467947""","=""3s.3p""","=""3P*""","=""2""","=""3s.5d""","=""3D""","=""1""",5,3,,"=""T6298c4,LS""","=""""",
"=""104.99233""","=""104.99228""","=""190""","=""4.17e+07""",C+,"=""4.659052""","=""16.467940""","=""3s.3p""","=""3P*""","=""2""","=""3s.5d""","=""3D""","=""3""",5,7,,"=""T6298c4,LS""","=""L3460""",
"=""""","=""104.99238""","=""""","=""1.04e+07""",D,"=""4.659052""","=""16.467928""","=""3s.3p""","=""3P*""","=""2""","=""3s.5d""","=""3D""","=""2""",5,5,,"=""T6298c4,LS""","=""""",
"=""105.46031""","=""105.46022""","=""100""","=""1.18e+07""",D,"=""4.636145""","=""16.3926349""","=""3s.3p""","=""3P*""","=""0""","=""3s.6s""","=""3S""","=""1""",1,3,,"=""T6298c4,LS""","=""L3460""",
"=""105.52802""","=""105.52797""","=""125""","=""3.53e+07""",C,"=""4.643693""","=""16.3926349""","=""3s.3p""","=""3P*""","=""1""","=""3s.6s""","=""3S""","=""1""",3,3,,"=""T6298c4,LS""","=""L3460""",
"=""105.66613""","=""105.66611""","=""150""","=""5.85e+07""",C,"=""4.659052""","=""16.3926349""","=""3s.3p""","=""3P*""","=""2""","=""3s.6s""","=""3S""","=""1""",5,3,,"=""T6298c4,LS""","=""L3460""",
"=""113.2726""","=""113.27195""","=""35""","=""""",,"=""7.420705""","=""18.366415""","=""3s.3p""","=""1P*""","=""1""","=""3s.11d""","=""1D""","=""2""",3,5,,"=""""","=""L3460""",
