obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""96.926""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""100.086""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""100.104""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""100.296""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""101.714""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""101.731""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""101.757""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""102.833""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""103.047""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""103.089""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""103.323""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""103.345""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""103.369""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""103.593""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""103.603""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""104.017""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""104.053""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""104.506""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""104.514""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""105.913""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""106.015""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""106.104""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""106.268""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""106.432""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""106.443""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""106.623""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""106.841""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""110.061""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""110.143""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""110.288""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""111.719""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""113.275""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""113.667""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""116.143""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""118.765""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""120.638""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""120.913""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""121.112""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""122.107""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""122.190""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""122.565""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""122.865""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""123.188""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""123.296""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""123.620""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""123.851""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""125.261""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""125.902""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""126.186""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""126.234""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""126.361""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""126.421""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""128.705""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""145.527""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""158.460""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""160.319""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""167.925""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""169.028""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""169.289""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""169.664""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""170.148""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""170.743""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""170.778""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""176.281""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""176.692""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""176.917""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""182.726""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
