State,Lifetime /s,Energy /eV
Ti a3F;v=3d2.4s2,,0.0
Ti v3Fo;v=3d2(1G)4s.4p(3Po),5.6243e-09,4.21297266335471
Ti z1Ho;v=3d3(2G)4p,1.62075e-07,4.30217723628239
Ti y3So;v=3d2(3P)4s.4p(1Po),1.36986e-08,4.39381184344133
Ti y3Ho;v=3d3(2G)4p,2.03252e-08,4.39564676724859
Ti w5Do;v=3d3(4P)4p,1.16686e-08,4.40175904722821
Ti e5F;v=3d2.4s(4F)5s,1.35591e-08,4.45825734310472
Ti y1Go;v=3d2(1G)4s.4p(1Po),4.7619e-08,4.4633405779762
Ti y5Po;v=3d3(4P)4p,2.27273e-08,4.50556862181104
Ti w3Po;v=3d3(2D{2})4p,3.3557e-08,4.60875828970223
Ti y5So;v=3d3(4P)4p,3.125e-08,4.63184361489909
Ti e3F;v=3d2.4s(4F)5s,3.44828e-08,4.6541230613968
Ti v3Go;v=3d3(2G)4p,1.78891e-08,4.65613155907773
Ti x1Fo;v=3d.4s2.4p,3.125e-07,4.66450029941493
Ti u3Fo;v=3d3(2D{2})4p,9.68054e-09,4.66848010037529
Ti u3Do;v=3d2(3P)4s.4p(1Po),5.55556e-09,4.69291682215993
Ti t3Fo;v=3d3(2G)4p,1e-08,4.76724363448814
Ti t3Do;v=3d3(2P)4p,2.12766e-07,4.80611178405426
Ti z3Io;v=3d3(2H)4p,1.92308e-08,4.80798390226303
Ti x1Go;v=3d3(2G)4p,7.29927e-09,4.83025095062691
Ti x3Ho;v=3d3(2H)4p,1.88679e-08,4.84965403007539
Ti s3Do;v=3d3(2D{2})4p,1.04167e-08,4.91736023893684
Ti v3Po;v=3d.4s2.4p,2e-08,5.00506463767074
Ti y1Ho;v=3d3(2H)4p,3.0303e-08,5.08818172688647
Ti e1F;v=3d2.4s(2F)5s,1.21951e-08,5.09407084045709
Ti 3Go;v=3d3(2H)4p,1.2987e-07,5.10431169900307
Ti s3Fo;v=3d.4s2.4p,8.33333e-08,5.12510336944083
Ti 3F;v=3d2.4s(2F)5s,2.94118e-08,5.14289469149104
Ti v1Fo;v=3d3(2G)4p,7.69231e-09,5.15575155627575
Ti e5G;v=3d2.4s(4F)4d,6.8055e-09,5.18475079131089
Ti g3F;v=3d2.4s(4F)4d,3.52113e-08,5.19133420037616
Ti e5H;v=3d2.4s(4F)4d,7.53693e-09,5.19695055500246
Ti e5D;v=3d2.4s(4F)4d,3.22581e-08,5.20207098427545
Ti q3Do;v=3d.4s2.4p,1.11111e-07,5.2458116004379
Ti r3Fo;v=3d2.4s(4F)5p,1.44928e-08,5.38915882381384
Ti f5H;v=3d3(4F)4d,1.81818e-08,5.45164541833163
Ti o3Do;v=3d2.4s(4F)5p,7.69231e-09,5.46507259727266
Ti 3Go;v=3d2.4s(4F)5p,4.34783e-08,5.47447038271799
Ti 3Po;v=3d2.4s(2P)4p,2.43902e-09,5.58421866340678
Ti g5G;v=3d2.4p2,4.27899e-09,5.82016754838062
Ti z5Fo;v=3d2(3F)4s.4p(3Po),,2.0850140037
Ti a1D;v=3d2.4s2,,0.899528623
Ti a1G;v=3d2.4s2,,1.5024545825
Ti a3P;v=3d2.4s2,,1.0459831906
Ti a3D;v=3d3(2D{2})4s,,2.1534974516
Ti a3G;v=3d3(2G)4s,,1.8731238214
Ti b1G;v=3d3(2G)4s,,2.2673154197
Ti a1H;v=3d3(2H)4s,,2.5782666913
Ti a3H;v=3d3(2H)4s,,2.2362778075
Ti a5F;v=3d3(4F)4s,,0.8129249305
Ti b3F;v=3d3(4F)4s,,1.4297231621
Ti a5P;v=3d3(4P)4s,,1.7334789288
Ti c3P;v=3d3(4P)4s,,2.3330930988
