label,energy_eV
O V (2s2 1S<0>),77.4135
O V (2s.2p 3P*<0>),87.57308
O V (2s.2p 3P*<1>),87.58995
O V (2s.2p 3P*<2>),87.62798
O V (2s.2p 1P*<1>),97.10191
O V (2p2 3P<0>),103.87948
O V (2p2 3P<1>),103.89878
O V (2p2 3P<2>),103.93211
O V (2p2 1D<2>),106.14329
O V (2p2 1S<0>),113.10983
