obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""8.5420""","=""0.0006""","=""8.54201+""","=""3""","=""""",,"=""0.0000""","=""145.1464""","=""4d10""","=""1S""","=""0""","=""4d9.6f""","=""1P*""","=""1""",1,3,,"=""""","=""L11883""",
"=""8.7517""","=""0.0006""","=""8.75170+""","=""2""","=""""",,"=""0.0000""","=""141.6687?""","=""4d10""","=""1S""","=""0""","=""4d9.7p""","=""1P*""","=""1""",1,3,,"=""""","=""L11883""",
"=""8.8444""","=""0.0006""","=""8.8444+""","=""5?""","=""""",,"=""0.0000""","=""140.184""","=""4d10""","=""1S""","=""0""","=""4d9.7p""","=""3P*""","=""1""",1,3,,"=""""","=""L11883""",
"=""9.6449""","=""0.0003""","=""9.64487+""","=""35""","=""""",,"=""0.0000""","=""128.5494""","=""4d10""","=""1S""","=""0""","=""4d9.5f""","=""1P*""","=""1""",1,3,,"=""""","=""L9885""",
"=""9.9553""","=""0.0003""","=""9.95527+""","=""10""","=""""",,"=""0.0000""","=""124.5413""","=""4d10""","=""1S""","=""0""","=""4d9.5f""","=""3D*""","=""1""",1,3,,"=""""","=""L9885""",
"=""10.2815""","=""0.0003""","=""10.28151+""","=""10""","=""""",,"=""0.0000""","=""120.5895""","=""4d10""","=""1S""","=""0""","=""4d9.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L11883""",
"=""10.3808""","=""0.0003""","=""10.38077+""","=""12""","=""""",,"=""0.0000""","=""119.4365""","=""4d10""","=""1S""","=""0""","=""4d9.6p""","=""3P*""","=""1""",1,3,,"=""""","=""L11883""",
"=""12.0133""","=""0.0003""","=""12.01325+""","=""200""","=""""",,"=""0.0000""","=""103.2062""","=""4d10""","=""1S""","=""0""","=""4d9.4f""","=""1P*""","=""1""",1,3,,"=""""","=""L9885""",
"=""14.3614""","=""0.0003""","=""14.36138+""","=""90""","=""""",,"=""0.0000""","=""86.3317""","=""4d10""","=""1S""","=""0""","=""4d9.4f""","=""3D*""","=""1""",1,3,,"=""""","=""L9885""",
"=""15.0275""","=""0.0003""","=""15.02749+""","=""5""","=""""",,"=""0.0000""","=""82.5049?""","=""4d10""","=""1S""","=""0""","=""4d9.4f""","=""3P*""","=""1""",1,3,,"=""""","=""L9885""",
