label,energy_eV
Be III (1s2 1S<0>),18.21115
Be III (1s.2s 3S<1>),136.802739
Be III (1s.2s 1S<0>),139.8614
Be III (1s.2p 3P*),140.13328
Be III (1s.2p 1P*<1>),141.87947
