label,energy_eV
B II (2s2 1S<0>),8.298019
B II (2s.2p 3P*<0>),12.927036
B II (2s.2p 3P*<1>),12.927794
B II (2s.2p 3P*<2>),12.929796
B II (2s.2p 1P*<1>),17.398027
B II (1s.2s2.2p 3P*),200.68
B II (1s.2s2.2p 1P*),202.66
