Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
B 4P;v=2s.2p2,B 2Po;v=2s2.2p,6.3898,-3.5517429916449
B 2S;v=2s2.3s,B 2Po;v=2s2.2p,3.9682e-09,-4.96417559228985
B 2D;v=2s.2p2,B 2Po;v=2s2.2p,2.3116e-08,-5.93338730654262
B 2Po;v=2s2.3p,B 2S;v=2s2.3s,5.814e-08,-1.0627928284234596
B 2Po;v=2s2.3p,B 2D;v=2s.2p2,0.00035714,-0.09358111417068926
B 2D;v=2s2.3d,B 2Po;v=2s2.3p,7.8678e-08,-0.7632043224853806
B 2D;v=2s2.3d,B 2Po;v=2s2.2p,4.9044e-09,-6.79017274319869
B 2S;v=2s2.4s,B 2Po;v=2s2.3p,6.006e-08,-0.7932697970301508
B 2S;v=2s2.4s,B 2Po;v=2s2.2p,1.0707e-08,-6.82023821774346
B 2Po;v=2s2.4p,B 2S;v=2s2.3s,4.4444e-06,-2.2002596169224597
B 2Po;v=2s2.4p,B 2D;v=2s.2p2,0.00028571,-1.2310479026696894
B 2Po;v=2s2.4p,B 2D;v=2s2.3d,5.618e-07,-0.37426246601361957
B 2Po;v=2s2.4p,B 2S;v=2s2.4s,3.7453e-07,-0.3441969914688494
B 2D;v=2s2.4d,B 2Po;v=2s2.3p,0.0029674,-1.4110936021910003
B 2D;v=2s2.4d,B 2Po;v=2s2.4p,4.0667e-07,-0.27362681369200015
B 2D;v=2s2.4d,B 2Po;v=2s2.2p,9.6246e-09,-7.43806202290431
B 2Fo;v=2s2.4f,B 2D;v=2s.2p2,2.9171e-07,-1.5093488128166896
B 2Fo;v=2s2.4f,B 2D;v=2s2.3d,7.9064e-08,-0.6525633761606198
B 2S;v=2s.2p2,B 2Po;v=2s2.2p,7.5415e-09,-7.88032825299136
B 2P;v=2s.2p2,B 2Po;v=2s2.3p,1.3514e-06,-2.964517780783641
B 2P;v=2s.2p2,B 2Po;v=2s2.4p,1.0428e-05,-1.827050992284641
B 2P;v=2s.2p2,B 2Po;v=2s2.2p,4.8686e-10,-8.99148620149695
B 4Po;v=2s.2p(3Po)3s,B 4P;v=2s.2p2,4.5872e-09,-5.9962086506739
B 2P;v=2s.2p(3Po)3p,B 2Po;v=2s2.3p,2.9412e-07,-4.7420010340043905
B 2P;v=2s.2p(3Po)3p,B 2Po;v=2s2.4p,1.1628e-06,-3.6045342455053904
B 2P;v=2s.2p(3Po)3p,B 2Po;v=2s2.2p,3.4188e-09,-10.7689694547177
B 2Do;v=2s.2p(3Po)3d,B 2D;v=2s.2p2,1.6051e-07,-5.188383444523879
B 2Do;v=2s.2p(3Po)3d,B 2D;v=2s2.3d,9.434e-07,-4.331598007867809
B 2Do;v=2s.2p(3Po)3d,B 2D;v=2s2.4d,4.5249e-06,-3.6837087281621894
B 2Do;v=2s.2p(3Po)3d,B 2D;v=2s2.5d,1.1682e-05,-3.3747343389664994
B 4Po;v=2s.2p(3Po)3d,B 4P;v=2s.2p2,5.9524e-09,-7.8106507408505
B 2P;v=2s.2p(3Po)4p,B 2Po;v=2s2.3p,3.9526e-07,-5.80672797130579
B 2P;v=2s.2p(3Po)4p,B 2Po;v=2s2.4p,2.0747e-06,-4.66926118280679
B 2P;v=2s.2p(3Po)4p,B 2Po;v=2s2.2p,4.7619e-08,-11.8336963920191
B 4So;v=2p3,B 4P;v=2s.2p2,5e-10,-8.4596682507349
