obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""27.182""","=""""","=""27.1822""","=""0.0022""","=""150""","=""""",,"=""0.00000""","=""45.612""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""",5,3,,"=""""","=""L497""",
"=""27.306""","=""0.002""","=""27.3063""","=""0.0022""","=""100""","=""""",,"=""0.20726""","=""45.612""","=""3s2.3p4""","=""3P""","=""1""","=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""",3,3,,"=""""","=""L3496,L497""",
"=""27.355""","=""""","=""27.3548""","=""0.0022""","=""50""","=""""",,"=""0.28779""","=""45.612""","=""3s2.3p4""","=""3P""","=""0""","=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""",1,3,,"=""""","=""L497""",
"=""34.046""","=""0.002""","=""34.0460""","=""0.0020""","=""300""","=""1.85e+09""",,"=""0.00000""","=""36.4166""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""",5,5,,"=""T4943""","=""L3496""",
"=""34.074""","=""0.002""","=""34.0749""","=""0.0020""","=""150""","=""9.38e+08""",,"=""0.00000""","=""36.3858""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""",5,3,,"=""T4943""","=""L3496""",
"=""34.241""","=""0.002""","=""34.2409""","=""0.0020""","=""150""","=""9.44e+08""",,"=""0.20726""","=""36.4166""","=""3s2.3p4""","=""3P""","=""1""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""",3,5,,"=""T4943""","=""L3496""",
"=""34.280""","=""0.002""","=""34.2806""","=""0.0020""","=""100""","=""2.72e+09""",,"=""0.20726""","=""36.3747""","=""3s2.3p4""","=""3P""","=""1""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""0""",3,1,,"=""T4943""","=""L3496""",
"=""35.414""","=""""","=""35.4144""","=""0.0020""","=""300""","=""""",,"=""0.00000""","=""35.0095""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(2D*).4s""","=""1D*""","=""2""",5,5,,"=""""","=""L497""",
"=""35.493""","=""""","=""35.4927""","=""0.0023""","=""300""","=""3.25e+09""",,"=""2.03136""","=""36.9637""","=""3s2.3p4""","=""1D""","=""2""","=""3s2.3p3.(2P*).4s""","=""1P*""","=""1""",5,3,,"=""T4943""","=""L497""",
"=""35.626""","=""""","=""35.6253""","=""0.0020""","=""150""","=""""",,"=""0.20726""","=""35.0095""","=""3s2.3p4""","=""3P""","=""1""","=""3s2.3p3.(2D*).4s""","=""1D*""","=""2""",3,5,,"=""""","=""L497""",
