State,Lifetime /s,Energy /eV
Ar 1S;v=3s2.3p6,,0.0
Ar 2[7/2]o_4;v=3s2.3p5(2Po_3/2)5d,4.06504e-07,15.1301866043123
Ar 2[3/2]o_2;v=3s2.3p5(2Po_3/2)5d,3.71195e-07,15.1365096525671
Ar 2[7/2]o_3;v=3s2.3p5(2Po_3/2)5d,6.09013e-07,15.1455602902651
Ar 2[5/2]o_2;v=3s2.3p5(2Po_3/2)5d,1.1655e-06,15.1606860135412
Ar 2[5/2]o_3;v=3s2.3p5(2Po_3/2)5d,2.2779e-06,15.166637117781
Ar 2[3/2]o_1;v=3s2.3p5(2Po_3/2)5d,4.01606e-06,15.1894496840336
Ar 2[3/2]o_2;v=3s2.3p5(2Po_1/2)5d,2.85144e-07,15.2959496536581
Ar 2[5/2]o_2;v=3s2.3p5(2Po_1/2)5d,3.92788e-07,15.3123151903176
Ar 2[5/2]o_3;v=3s2.3p5(2Po_1/2)5d,5.58659e-07,15.3187622199107
Ar 2[3/2]o_1;v=3s2.3p5(2Po_1/2)5d,1.2987e-05,15.3508733865379
Ar 2[1/2]o_0;v=3s2.3p5(2Po_1/2)4s,,11.7228899554
Ar 2[7/2]o_4;v=3s2.3p5(2Po_3/2)3d,,13.9789148657
Ar 2[3/2]o_2;v=3s2.3p5(2Po_3/2)4s,,11.5480880218
