obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""80.2859""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""80.6471""","=""""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""80.6869""","=""""","=""""","=""60""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""80.7218""","=""""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""80.7653""","=""""","=""""","=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""80.9927""","=""""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""81.6232""","=""""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""81.6464""","=""""","=""""","=""70""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""82.0124""","=""""","=""""","=""80""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""82.5346""","=""""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""82.6365""","=""""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""83.4392""","=""""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""83.5002""","=""""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""84.2805""","=""""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2131""",
"=""86.6800""","=""86.680000""","=""""","=""180""","=""3.13e+08""",C+,"=""0.00000000""","=""14.3036684""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",1,3,,"=""T1355,T1618n""","=""L2131""",
"=""86.9754""","=""86.975415""","=""""","=""150""","=""3.50e+07""",C,"=""0.00000000""","=""14.2550856""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",1,3,,"=""T1355,T1618n,T1372""","=""L2131""",
"=""87.6058""","=""87.605770""","=""""","=""180r""","=""2.70e+08""",C+,"=""0.00000000""","=""14.1525151""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",1,3,,"=""T1355,T1618n""","=""L2131""",
"=""87.9947""","=""87.994660""","=""""","=""180r""","=""7.7e+07""",C,"=""0.00000000""","=""14.0899685""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",1,3,,"=""T1355,T1618n,T1372""","=""L2131""",
"=""89.4310""","=""89.43102""","=""0.00004""","=""150""","=""""",,"=""0.00000000""","=""13.8636686""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L2131""",
"=""104.8220""","=""104.8219924""","=""""","=""1000r""","=""5.32e+08""",AA,"=""0.00000000""","=""11.82807116""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",1,3,,"=""T7574""","=""L2131""",
