obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""297.748""","=""""","=""130""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""297.892""","=""""","=""320""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""298.005""","=""""","=""230""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""298.189""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""300.462""","=""""","=""320""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""301.420""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""302.072""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""302.135""","=""""","=""350""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""302.892""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""303.180""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""303.727""","=""""","=""350bl""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""305.573""","=""""","=""690""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""306.100""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""306.552""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""309.597""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""310.013""","=""""","=""280""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""310.748""","=""""","=""690""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""311.178""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""312.683""","=""""","=""320""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""313.009""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""313.067""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""313.439""","=""""","=""350""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""313.959""","=""""","=""690""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""315.658""","=""""","=""290""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""315.791""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""316.523""","=""""","=""540""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
