obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1861.85""","=""0.06""","=""""","=""1.998e+06""",AA,"=""[73.462319]""","=""[74.128238]""","=""1s.5d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""1864.83""","=""0.06""","=""""","=""1.320e+05""",AA,"=""[73.463023]""","=""[74.127877]""","=""1s.5f""","=""3F*""","=""3""","=""1s.6d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""1865.18""","=""0.06""","=""""","=""5.0019e+05""",AAA,"=""[73.463147]""","=""[74.127877]""","=""1s.5f""","=""1F*""","=""3""","=""1s.6d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""1866.89""","=""0.05""","=""""","=""1.4559e+03""",AAA,"=""[73.463023]""","=""[74.127143]""","=""1s.5f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""1866.89""","=""0.05""","=""""","=""3.9841e+04""",AAA,"=""[73.463023]""","=""[74.127143]""","=""1s.5f""","=""3F*""","=""3""","=""1s.6d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""1866.89""","=""0.05""","=""""","=""5.8964e+05""",AAA,"=""[73.463023]""","=""[74.127143]""","=""1s.5f""","=""3F*""","=""4""","=""1s.6d""","=""3D""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""1867.12""","=""0.05""","=""""","=""7.1326e+04""",AAA,"=""[73.463023]""","=""[74.127061]""","=""1s.5f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""1867.12""","=""0.05""","=""""","=""4.5215e+05""",AAA,"=""[73.463023]""","=""[74.127061]""","=""1s.5f""","=""3F*""","=""3""","=""1s.6d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""1867.24""","=""0.05""","=""""","=""1.111e+04""",AA,"=""[73.463147]""","=""[74.127143]""","=""1s.5f""","=""1F*""","=""3""","=""1s.6d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""1867.26""","=""0.08""","=""""","=""6.4204e+05""",AAA,"=""[73.463023]""","=""[74.127013]""","=""1s.5f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
