Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d2.(3F).4p""","=""z 4F*""","=""7/2""",8,"=""""","=""3.85760423""","=""""","=""0.00000007""","=""  98                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 4F*""","=""9/2""",10,"=""""","=""3.88083749""","=""""","=""0.00000009""","=""  99                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 2F*""","=""5/2""",6,"=""""","=""3.86923825""","=""""","=""0.00000009""","=""  85                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 2F*""","=""7/2""",8,"=""""","=""3.90437619""","=""""","=""0.00000007""","=""  88                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 2D*""","=""3/2""",4,"=""""","=""3.93732163""","=""""","=""0.00000011""","=""  82                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 2D*""","=""5/2""",6,"=""""","=""3.97066729""","=""""","=""0.00000009""","=""  77                                            ""","=""L17885"""
"=""3d2.(1S).4s""","=""a 2S""","=""1/2""",2,"=""""","=""3.9412015""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""d 2D1""","=""3/2""",4,"=""""","=""4.00165030""","=""""","=""0.00000020""","=""  58         :    25  3d.4s2              c 2D  ""","=""L17885"""
"=""3d3""","=""d 2D1""","=""5/2""",6,"=""""","=""4.00876907""","=""""","=""0.00000012""","=""  57         :    27  3d.4s2              c 2D  ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 4D*""","=""1/2""",2,"=""""","=""4.03349786""","=""""","=""0.00000010""","=""  97                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 4D*""","=""3/2""",4,"=""""","=""4.04221051""","=""""","=""0.00000007""","=""  94                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 4D*""","=""5/2""",6,"=""""","=""4.05404799""","=""""","=""0.00000007""","=""  90                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 4D*""","=""7/2""",8,"=""""","=""4.06261454""","=""""","=""0.00000012""","=""  96                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 2G*""","=""7/2""",8,"=""""","=""4.28283327""","=""""","=""0.00000010""","=""  95                                            ""","=""L17885"""
"=""3d2.(3F).4p""","=""z 2G*""","=""9/2""",10,"=""""","=""4.30826569""","=""""","=""0.00000010""","=""  95                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""z 2S*""","=""1/2""",2,"=""""","=""4.64081303""","=""""","=""0.00000009""","=""  99                                            ""","=""L17885"""
"=""3d2.(1D).4p""","=""z 2P*""","=""3/2""",4,"=""""","=""4.86432355""","=""""","=""0.00000009""","=""  58         :    36  3d2.(1D).4p         y 2D* ""","=""L17885"""
"=""3d2.(1D).4p""","=""z 2P*""","=""1/2""",2,"=""""","=""4.91904352""","=""""","=""0.00000011""","=""  98                                            ""","=""L17885"""
"=""3d2.(1D).4p""","=""y 2D*""","=""5/2""",6,"=""""","=""4.89451483""","=""""","=""0.00000009""","=""  55         :    25  3d2.(1D).4p         y 2F* ""","=""L17885"""
"=""3d2.(1D).4p""","=""y 2D*""","=""3/2""",4,"=""""","=""4.91012941""","=""""","=""0.00000009""","=""  48         :    36  3d2.(1D).4p         z 2P* ""","=""L17885"""
"=""3d2.(1D).4p""","=""y 2F*""","=""5/2""",6,"=""""","=""4.95029467""","=""""","=""0.00000010""","=""  63         :    25  3d2.(1D).4p         y 2D* ""","=""L17885"""
"=""3d2.(1D).4p""","=""y 2F*""","=""7/2""",8,"=""""","=""4.96862592""","=""""","=""0.00000009""","=""  85                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""z 4S*""","=""3/2""",4,"=""""","=""4.96274032""","=""""","=""0.00000010""","=""  95                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""y 4D*""","=""1/2""",2,"=""""","=""5.00032200""","=""""","=""0.00000014""","=""  97                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""y 4D*""","=""3/2""",4,"=""""","=""5.01215028""","=""""","=""0.00000014""","=""  96                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""y 4D*""","=""5/2""",6,"=""""","=""5.03148088""","=""""","=""0.00000009""","=""  96                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""y 4D*""","=""7/2""",8,"=""""","=""5.05836105""","=""""","=""0.00000011""","=""  93                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""z 4P*""","=""1/2""",2,"=""""","=""5.20693336""","=""""","=""0.00000015""","=""  97                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""z 4P*""","=""3/2""",4,"=""""","=""5.21587241""","=""""","=""0.00000022""","=""  97                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""z 4P*""","=""5/2""",6,"=""""","=""5.23322711""","=""""","=""0.00000012""","=""  97                                            ""","=""L17885"""
"=""3d2.(1G).4p""","=""y 2G*""","=""7/2""",8,"=""""","=""5.42316403""","=""""","=""0.00000021""","=""  95                                            ""","=""L17885"""
"=""3d2.(1G).4p""","=""y 2G*""","=""9/2""",10,"=""""","=""5.42814640""","=""""","=""0.00000010""","=""  95                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""x 2D*""","=""5/2""",6,"=""""","=""5.56719371""","=""""","=""0.00000010""","=""  82                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""x 2D*""","=""3/2""",4,"=""""","=""5.56873456""","=""""","=""0.00000011""","=""  80                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""y 2P*""","=""1/2""",2,"=""""","=""5.63786549""","=""""","=""0.00000011""","=""  95                                            ""","=""L17885"""
"=""3d2.(3P).4p""","=""y 2P*""","=""3/2""",4,"=""""","=""5.64734724""","=""""","=""0.00000011""","=""  94                                            ""","=""L17885"""
"=""3d2.(1G).4p""","=""z 2H*""","=""9/2""",10,"=""""","=""5.66282503""","=""""","=""0.00000017""","=""  99                                            ""","=""L17885"""
"=""3d2.(1G).4p""","=""z 2H*""","=""11/2""",12,"=""""","=""5.69194831""","=""""","=""0.00000014""","="" 100                                            ""","=""L17885"""
"=""3d2.(1G).4p""","=""x 2F*""","=""7/2""",8,"=""""","=""5.88512669""","=""""","=""0.00000011""","=""  91                                            ""","=""L17885"""
"=""3d2.(1G).4p""","=""x 2F*""","=""5/2""",6,"=""""","=""5.90475346""","=""""","=""0.00000014""","=""  92                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""",4,"=""""","=""6.4880793""","=""""","=""0.0000004""","=""  95                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""4F*""","=""5/2""",6,"=""""","=""6.50568584""","=""""","=""0.00000025""","=""  93                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""4F*""","=""7/2""",8,"=""""","=""6.53461713""","=""""","=""0.00000020""","=""  94                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""4F*""","=""9/2""",10,"=""""","=""6.5831339""","=""""","=""0.0000004""","=""  99                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""4D*""","=""1/2""",2,"=""""","=""6.4892390""","=""""","=""0.0000004""","=""  97                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""4D*""","=""3/2""",4,"=""""","=""6.5041360""","=""""","=""0.0000004""","=""  94                                            ""","=""L17885"""
