obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""123.903""","=""""","=""123.903003""","=""0.000003""","=""0:""","=""""",,"=""0.15074407""","=""10.15729722""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3F).4f""","=""2H*""","=""9/2""",10,10,,"=""""","=""L5432""",
"=""123.913""","=""""","=""123.912569""","=""0.000003""","=""2:""","=""""",,"=""0.12199000""","=""10.12777063""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).4f""","=""2G*""","=""7/2""",6,8,,"=""""","=""L5432""",
"=""123.956""","=""""","=""123.956066""","=""0.000003""","=""1:""","=""""",,"=""0.15074407""","=""10.15301359""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3F).4f""","=""4I*""","=""11/2""",10,12,,"=""""","=""L5432""",
"=""123.991""","=""""","=""123.991127""","=""0.000003""","=""0:""","=""""",,"=""0.13481497""","=""10.13425616""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).4f""","=""4I*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""124.002""","=""""","=""124.001917""","=""0.000003""","=""0:""","=""""",,"=""0.12199000""","=""10.12056107""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).4f""","=""4H*""","=""7/2""",6,8,,"=""""","=""L5432""",
"=""124.029""","=""""","=""124.0288370""","=""0.0000023""","=""0:""","=""""",,"=""0.15074407""","=""10.14714502""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3F).4f""","=""2G*""","=""9/2""",10,10,,"=""""","=""L5432""",
"=""124.072""","=""""","=""124.071599""","=""0.000003""","=""0:""","=""""",,"=""0.13481497""","=""10.12777063""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).4f""","=""2G*""","=""7/2""",8,8,,"=""""","=""L5432""",
"=""124.086""","=""""","=""124.086283""","=""0.000003""","=""2:""","=""""",,"=""0.13481497""","=""10.12658806""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).4f""","=""4H*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""124.165""","=""""","=""124.164519""","=""0.000003""","=""1:""","=""""",,"=""0.15074407""","=""10.13622136""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3F).4f""","=""4H*""","=""11/2""",10,12,,"=""""","=""L5432""",
"=""136.699""","=""""","=""136.698535""","=""0.000004""","=""0:""","=""""",,"=""1.11558346""","=""10.18548304""","=""3d3""","=""a 2G""","=""7/2""","=""3d2.(3F).4f""","=""2F*""","=""7/2""",8,8,,"=""""","=""L5432""",
"=""136.835""","=""""","=""136.834895""","=""0.000006""","=""1:""","=""""",,"=""1.11558346""","=""10.1764446""","=""3d3""","=""a 2G""","=""7/2""","=""3d2.(3F).4f""","=""4G*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""136.864""","=""""","=""136.864087""","=""0.000004""","=""3:""","=""""",,"=""1.13052324""","=""10.18945178""","=""3d3""","=""a 2G""","=""9/2""","=""3d2.(3F).4f""","=""2H*""","=""11/2""",10,12,,"=""""","=""L5432""",
"=""136.924""","=""""","=""136.924074""","=""0.000004""","=""0:""","=""""",,"=""1.13052324""","=""10.18548304""","=""3d3""","=""a 2G""","=""9/2""","=""3d2.(3F).4f""","=""2F*""","=""7/2""",10,8,,"=""""","=""L5432""",
"=""136.957""","=""""","=""136.956524""","=""0.000004""","=""0:""","=""""",,"=""1.13052324""","=""10.18333756""","=""3d3""","=""a 2G""","=""9/2""","=""3d2.(3F).4f""","=""4D*""","=""7/2""",10,8,,"=""""","=""L5432""",
"=""137.061""","=""""","=""137.060885""","=""0.000006""","=""2:""","=""""",,"=""1.13052324""","=""10.1764446""","=""3d3""","=""a 2G""","=""9/2""","=""3d2.(3F).4f""","=""4G*""","=""9/2""",10,10,,"=""""","=""L5432""",
"=""137.089""","=""""","=""137.088411""","=""0.000004""","=""0:""","=""""",,"=""1.11558346""","=""10.15968845""","=""3d3""","=""a 2G""","=""7/2""","=""3d2.(3F).4f""","=""4F*""","=""5/2""",8,6,,"=""""","=""L5432""",
"=""137.125""","=""""","=""137.124667""","=""0.000004""","=""2:""","=""""",,"=""1.11558346""","=""10.15729722""","=""3d3""","=""a 2G""","=""7/2""","=""3d2.(3F).4f""","=""2H*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""137.160""","=""""","=""137.159451""","=""0.000003""","=""0:""","=""""",,"=""0.02798372""","=""9.06740444""","=""3d2.(3F).4s""","=""a 4F""","=""7/2""","=""3d2.(3F).5p""","=""2G*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""137.244""","=""""","=""137.243416""","=""0.000004""","=""0:""","=""""",,"=""1.11558346""","=""10.14947389""","=""3d3""","=""a 2G""","=""7/2""","=""3d2.(3F).4f""","=""4G*""","=""7/2""",8,8,,"=""""","=""L5432""",
"=""137.265""","=""""","=""137.264470""","=""0.000008""","=""1:""","=""""",,"=""1.18010040""","=""10.2126052""","=""3d3""","=""a 4P""","=""5/2""","=""3d2.(3F).4f""","=""4S*""","=""3/2""",6,4,,"=""""","=""L5432""",
"=""137.279""","=""""","=""137.278806""","=""0.000003""","=""0:""","=""""",,"=""1.11558346""","=""10.14714502""","=""3d3""","=""a 2G""","=""7/2""","=""3d2.(3F).4f""","=""2G*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""137.417""","=""""","=""137.416826""","=""0.000004""","=""0:""","=""""",,"=""1.13052324""","=""10.15301359""","=""3d3""","=""a 2G""","=""9/2""","=""3d2.(3F).4f""","=""4I*""","=""11/2""",10,12,,"=""""","=""L5432""",
"=""137.475""","=""""","=""137.474995""","=""0.000004""","=""1:""","=""""",,"=""1.11558346""","=""10.13425616""","=""3d3""","=""a 2G""","=""7/2""","=""3d2.(3F).4f""","=""4I*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""137.498""","=""""","=""137.497938""","=""0.000006""","=""0:""","=""""",,"=""1.18010040""","=""10.1972682""","=""3d3""","=""a 4P""","=""5/2""","=""3d2.(3F).4f""","=""4P*""","=""5/2""",6,6,,"=""""","=""L5432""",
"=""137.507""","=""""","=""137.506265""","=""0.000003""","=""1:""","=""""",,"=""1.13052324""","=""10.14714502""","=""3d3""","=""a 2G""","=""9/2""","=""3d2.(3F).4f""","=""2G*""","=""9/2""",10,10,,"=""""","=""L5432""",
"=""137.574""","=""""","=""137.573927""","=""0.000004""","=""1:""","=""""",,"=""1.11558346""","=""10.12777063""","=""3d3""","=""a 2G""","=""7/2""","=""3d2.(3F).4f""","=""2G*""","=""7/2""",8,8,,"=""""","=""L5432""",
"=""137.673""","=""""","=""137.673056""","=""0.000004""","=""0:""","=""""",,"=""1.13052324""","=""10.13622136""","=""3d3""","=""a 2G""","=""9/2""","=""3d2.(3F).4f""","=""4H*""","=""11/2""",10,12,,"=""""","=""L5432""",
"=""137.711""","=""""","=""137.710688""","=""0.000004""","=""0:""","=""""",,"=""1.18010040""","=""10.18333756""","=""3d3""","=""a 4P""","=""5/2""","=""3d2.(3F).4f""","=""4D*""","=""7/2""",6,8,,"=""""","=""L5432""",
"=""137.739""","=""""","=""137.738764""","=""0.000009""","=""1:""","=""""",,"=""1.16493098""","=""10.1663329""","=""3d3""","=""a 4P""","=""3/2""","=""3d2.(3F).4f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L5432""",
"=""137.841""","=""""","=""137.840513""","=""0.000006""","=""0:""","=""""",,"=""1.16493098""","=""10.15968845""","=""3d3""","=""a 4P""","=""3/2""","=""3d2.(3F).4f""","=""4F*""","=""5/2""",4,6,,"=""""","=""L5432""",
"=""137.895""","=""""","=""137.894513""","=""0.000008""","=""0:""","=""""",,"=""1.22137014""","=""10.2126052""","=""3d3""","=""a 2P""","=""1/2""","=""3d2.(3F).4f""","=""4S*""","=""3/2""",2,4,,"=""""","=""L5432""",
"=""137.923""","=""""","=""137.923171""","=""0.000006""","=""1:""","=""""",,"=""1.16095611""","=""10.1503230""","=""3d3""","=""a 4P""","=""1/2""","=""3d2.(3F).4f""","=""4F*""","=""3/2""",2,4,,"=""""","=""L5432""",
"=""138.073""","=""""","=""138.073370""","=""0.000004""","=""1:""","=""""",,"=""1.18010040""","=""10.15968845""","=""3d3""","=""a 4P""","=""5/2""","=""3d2.(3F).4f""","=""4F*""","=""5/2""",6,6,,"=""""","=""L5432""",
"=""138.131""","=""""","=""138.131288""","=""0.000004""","=""1:""","=""""",,"=""1.18010040""","=""10.15592331""","=""3d3""","=""a 4P""","=""5/2""","=""3d2.(3F).4f""","=""4F*""","=""7/2""",6,8,,"=""""","=""L5432""",
"=""138.163""","=""""","=""138.162851""","=""0.000006""","=""0:""","=""""",,"=""1.16493098""","=""10.13870343""","=""3d3""","=""a 4P""","=""3/2""","=""3d2.(3F).4f""","=""4D*""","=""5/2""",4,6,,"=""""","=""L5432""",
"=""138.258""","=""""","=""138.258033""","=""0.000006""","=""1:""","=""""",,"=""1.16493098""","=""10.13252555""","=""3d3""","=""a 4P""","=""3/2""","=""3d2.(3F).4f""","=""4G*""","=""5/2""",4,6,,"=""""","=""L5432""",
"=""138.369""","=""""","=""138.3689443""","=""0.0000025""","=""0:""","=""""",,"=""0.00000000""","=""8.96040647""","=""3d2.(3F).4s""","=""a 4F""","=""3/2""","=""3d2.(3F).5p""","=""4D*""","=""1/2""",4,2,,"=""""","=""L5432""",
